Orthogroup	Azeb	Sbro
OG0001086	mikado.HiC_scaffold_16.0G840.1	EVM0007725.1
OG0001086	mikado.HiC_scaffold_16.0G839.1	EVM0001882.1, EVM0009443.1, EVM0008239.1
OG0001087	mikado.HiC_scaffold_16.0G1140.1, mikado.HiC_scaffold_16.0G903.1, mikado.HiC_scaffold_16.0G900.1, mikado.HiC_scaffold_16.0G905.1	EVM0023770.1, EVM0023398.1
OG0001089	mikado.HiC_scaffold_16.0G1175.1	EVM0001268.1, EVM0006728.1, EVM0009964.1, EVM0008284.1, EVM0017906.1
OG0001090	mikado.HiC_scaffold_16.0G1350.1, mikado.HiC_scaffold_16.0G1325.1, mikado.HiC_scaffold_16.0G1351.1, mikado.HiC_scaffold_16.0G1326.1	EVM0023638.1
OG0001091	mikado.HiC_scaffold_16.0G1455.1, mikado.HiC_scaffold_16.0G1455.4	EVM0004080.2
OG0001092	mikado.HiC_scaffold_16.0G1514.1	EVM0020652.1
OG0001092	mikado.HiC_scaffold_16.0G1513.1	EVM0018504.1
OG0001092	mikado.HiC_scaffold_16.0G1512.1	EVM0016898.1
OG0001093	mikado.HiC_scaffold_12.3160685G1624.1, mikado.HiC_scaffold_16.0G1579.1, mikado.HiC_scaffold_12.3160685G1621.1, mikado.HiC_scaffold_12.3160685G1623.1, mikado.HiC_scaffold_12.3160685G1620.1	EVM0004541.1
OG0001094	mikado.HiC_scaffold_16.0G1825.1	EVM0023982.1, EVM0021653.1, EVM0005987.1
OG0001095	mikado.HiC_scaffold_17.0G94.1, mikado.HiC_scaffold_17.0G267.1	EVM0007802.1, EVM0016411.1, EVM0016174.1
OG0001096	mikado.HiC_scaffold_17.0G406.1, mikado.HiC_scaffold_17.0G1051.1, mikado.HiC_scaffold_17.0G408.1, mikado.HiC_scaffold_17.0G125.1, mikado.HiC_scaffold_17.0G124.1	EVM0003661.1, EVM0010374.1
OG0001097	mikado.HiC_scaffold_17.0G257.1, mikado.HiC_scaffold_17.0G1108.1	EVM0011750.1, EVM0004050.1
OG0001098	mikado.HiC_scaffold_17.0G329.1, mikado.HiC_scaffold_17.0G356.1	EVM0013521.1, EVM0023934.1, EVM0020480.1, EVM0008739.1, EVM0003058.1
OG0001099	mikado.HiC_scaffold_17.0G395.1	EVM0011813.1, EVM0003015.1, EVM0003876.1, EVM0005566.1
OG0001101	mikado.HiC_scaffold_17.0G1020.1	EVM0007425.1, EVM0018933.1
OG0001102	mikado.HiC_scaffold_17.0G1091.1, mikado.HiC_scaffold_17.0G1090.1	EVM0019064.1
OG0001103	mikado.HiC_scaffold_17.0G1135.1	EVM0006579.1, EVM0010074.1, EVM0006913.1, EVM0003359.1
OG0001105	mikado.HiC_scaffold_18.0G9.1	EVM0019356.1, EVM0014831.1, EVM0013672.1, EVM0012357.1, EVM0023791.1, EVM0006196.1
OG0001106	mikado.HiC_scaffold_18.0G168.1, mikado.HiC_scaffold_18.0G168.3, mikado.HiC_scaffold_18.0G168.4	EVM0006432.1, EVM0000566.1, EVM0005161.1
OG0001107	mikado.HiC_scaffold_18.0G255.1, mikado.HiC_scaffold_18.0G256.1, mikado.HiC_scaffold_18.0G257.1, mikado.HiC_scaffold_18.0G258.1	EVM0014095.2, EVM0003999.1
OG0001108	mikado.HiC_scaffold_18.0G305.1	EVM0014141.1
OG0001108	mikado.HiC_scaffold_18.0G309.1	EVM0018032.1
OG0001109	mikado.HiC_scaffold_18.0G846.1	EVM0010760.1
OG0001109	mikado.HiC_scaffold_18.0G844.1	EVM0023334.1
OG0001110	mikado.HiC_scaffold_18.0G866.1, mikado.HiC_scaffold_19.0G1331.1	EVM0020939.1
OG0001110	mikado.HiC_scaffold_18.0G1079.1	EVM0023681.1, EVM0010683.1, EVM0004316.1
OG0001111	mikado.HiC_scaffold_18.0G1160.1, mikado.HiC_scaffold_18.0G975.1	EVM0012888.1, EVM0022263.1, EVM0008677.1
OG0001112	mikado.HiC_scaffold_18.0G1116.1, mikado.HiC_scaffold_18.0G1115.1	EVM0009680.1, EVM0020607.1, EVM0010658.1, EVM0017118.1
OG0001113	mikado.HiC_scaffold_18.0G1249.1	EVM0022411.1
OG0001113	mikado.HiC_scaffold_18.0G1208.1, mikado.HiC_scaffold_18.0G1209.1	EVM0004104.1
OG0001114	mikado.HiC_scaffold_19.0G1.1, mikado.HiC_scaffold_19.0G1.2, mikado.HiC_scaffold_19.0G2.1	EVM0012030.1, EVM0008974.1
OG0001116	mikado.HiC_scaffold_19.0G36.1, mikado.HiC_scaffold_19.0G280.1	EVM0015656.1
OG0001116	mikado.HiC_scaffold_19.0G42.1	EVM0000358.1
OG0001117	mikado.HiC_scaffold_19.0G144.1, mikado.HiC_scaffold_19.0G1323.3, mikado.HiC_scaffold_19.0G1323.1, mikado.HiC_scaffold_19.0G1323.2	EVM0010315.1, EVM0022414.1
OG0001118	mikado.HiC_scaffold_19.0G323.1	EVM0019854.1
OG0001119	mikado.HiC_scaffold_19.0G542.1	EVM0010457.1, EVM0013552.1
OG0001120	mikado.HiC_scaffold_19.0G651.1	EVM0000137.1
OG0001121	mikado.HiC_scaffold_19.0G679.1, mikado.HiC_scaffold_19.0G678.1, mikado.HiC_scaffold_19.0G680.2, mikado.HiC_scaffold_19.0G680.1, mikado.HiC_scaffold_19.0G677.1	EVM0000549.1
OG0001122	mikado.HiC_scaffold_19.0G699.1, mikado.HiC_scaffold_19.0G698.1, mikado.HiC_scaffold_19.0G701.1, mikado.HiC_scaffold_19.0G700.1, mikado.HiC_scaffold_19.0G702.1	EVM0001483.1
OG0001123	mikado.HiC_scaffold_19.0G888.1	EVM0020462.1, EVM0019241.1, EVM0023079.1, EVM0008009.1
OG0001124	mikado.HiC_scaffold_19.0G999.1	EVM0004351.1
OG0001125	mikado.HiC_scaffold_19.0G1062.1	EVM0000885.1, EVM0008678.1, EVM0023830.1
OG0001127	mikado.HiC_scaffold_19.0G1223.1, mikado.HiC_scaffold_19.0G1222.1, mikado.HiC_scaffold_19.0G1224.1, mikado.HiC_scaffold_19.0G1224.2	EVM0023859.1
OG0001128	mikado.HiC_scaffold_19.0G1268.1	EVM0010770.1, EVM0019317.1, EVM0016966.1, EVM0020790.1, EVM0009990.1, EVM0003749.1
OG0001129	mikado.HiC_scaffold_19.0G1358.1	EVM0007570.1, EVM0016941.1, EVM0006510.1, EVM0019157.1, EVM0012907.1, EVM0004604.1
OG0001130	mikado.HiC_scaffold_19.0G1365.1	EVM0014510.1, EVM0020930.1, EVM0013023.1, EVM0012757.1, EVM0011475.1
OG0001131	mikado.HiC_scaffold_19.0G1418.1, mikado.HiC_scaffold_19.0G1418.3	EVM0006442.1, EVM0004952.1, EVM0003128.1
OG0001132	mikado.HiC_scaffold_21.0G739.1, mikado.HiC_scaffold_21.0G742.1	EVM0014224.1
OG0001132	mikado.HiC_scaffold_21.0G119.1	EVM0016349.1
OG0001133	mikado.HiC_scaffold_21.0G180.1, mikado.HiC_scaffold_21.0G179.1, mikado.HiC_scaffold_21.0G178.1	EVM0023585.1, EVM0004209.1, EVM0004516.1
OG0001134	mikado.HiC_scaffold_21.0G213.1	EVM0004089.1
OG0001135	mikado.HiC_scaffold_21.0G263.1, mikado.HiC_scaffold_21.0G265.1	EVM0013568.1, EVM0003050.1, EVM0007661.1
OG0001136	mikado.HiC_scaffold_21.0G393.1, mikado.HiC_scaffold_21.0G392.1, mikado.HiC_scaffold_21.0G395.1, mikado.HiC_scaffold_21.0G404.1, mikado.HiC_scaffold_21.0G394.1, mikado.HiC_scaffold_21.0G396.1	EVM0012340.1
OG0001137	mikado.HiC_scaffold_21.0G414.1, mikado.HiC_scaffold_21.0G412.1	EVM0001392.1, EVM0018543.1, EVM0005061.1, EVM0012445.1
OG0001138	mikado.HiC_scaffold_21.0G524.1, mikado.HiC_scaffold_21.0G525.1, mikado.HiC_scaffold_21.0G526.1	EVM0009234.1, EVM0008714.1, EVM0015616.1, EVM0011513.1
OG0001139	mikado.HiC_scaffold_21.0G592.1, mikado.HiC_scaffold_21.0G590.1	EVM0009115.1, EVM0002471.1, EVM0021671.1
OG0001141	mikado.HiC_scaffold_21.0G799.1	EVM0018912.1, EVM0008653.1, EVM0006833.1, EVM0011370.1
OG0001142	mikado.HiC_scaffold_4334G3.1, mikado.HiC_scaffold_21.0G1260.1	EVM0007064.1, EVM0013857.1, EVM0011287.1
OG0001143	mikado.HiC_scaffold_407G1.1	EVM0017359.1, EVM0021029.1, EVM0017866.1
OG0001143	mikado.HiC_scaffold_8.8335562G442.1	EVM0000293.1, EVM0000855.1
OG0001144	mikado.HiC_scaffold_8.8335562G282.1, mikado.HiC_scaffold_8.8335562G278.1, mikado.HiC_scaffold_8.8335562G279.1	EVM0020629.1, EVM0023651.1, EVM0008253.1
OG0001145	mikado.HiC_scaffold_8.8335562G294.2, mikado.HiC_scaffold_8.8335562G294.1, mikado.HiC_scaffold_8.8335562G294.5	EVM0011997.1
OG0001146	mikado.HiC_scaffold_8.8335562G308.1	EVM0014364.1
OG0001147	mikado.HiC_scaffold_8.8335562G473.1	EVM0010303.1, EVM0015745.1, EVM0021740.1
OG0001148	mikado.HiC_scaffold_8.8335562G594.1, mikado.HiC_scaffold_8.8335562G592.1, mikado.HiC_scaffold_8.8335562G593.1, mikado.HiC_scaffold_8.8335562G593.2	EVM0014720.1, EVM0003621.1
OG0001149	mikado.HiC_scaffold_8.8335562G773.1	EVM0010188.1
OG0001149	mikado.HiC_scaffold_8.8335562G772.1	EVM0018558.1
OG0001150	mikado.HiC_scaffold_8.8335562G781.1	EVM0009555.1
OG0001150	mikado.HiC_scaffold_8.8335562G781.2	EVM0018581.1, EVM0007057.1
OG0001151	mikado.HiC_scaffold_8.8335562G1230.1, mikado.HiC_scaffold_8.8335562G1231.1	EVM0018886.1
OG0001151	mikado.HiC_scaffold_8.8335562G1085.1, mikado.HiC_scaffold_8.8335562G1086.1	EVM0010539.1
OG0001152	mikado.HiC_scaffold_8.8335562G1209.1, mikado.HiC_scaffold_8.8335562G1209.2	EVM0020561.1
OG0001152	mikado.HiC_scaffold_8.8335562G1207.1	EVM0002148.1
OG0001153	mikado.HiC_scaffold_12.3160685G216.1	EVM0009600.1
OG0001155	mikado.HiC_scaffold_12.3160685G492.1	EVM0008612.1
OG0001156	mikado.HiC_scaffold_12.3160685G743.1, mikado.HiC_scaffold_12.3160685G744.2, mikado.HiC_scaffold_12.3160685G744.3, mikado.HiC_scaffold_12.3160685G744.1, mikado.HiC_scaffold_12.3160685G742.1	EVM0008354.1
OG0001157	mikado.HiC_scaffold_12.3160685G749.1	EVM0019318.1, EVM0017317.1, EVM0023236.1
OG0001158	mikado.HiC_scaffold_12.3160685G1003.1	EVM0007846.1
OG0001158	mikado.HiC_scaffold_12.3160685G1004.1	EVM0022396.1, EVM0004868.1
OG0001159	mikado.HiC_scaffold_12.3160685G1200.1	EVM0003548.1, EVM0006248.1, EVM0021298.1, EVM0009892.1, EVM0011444.1
OG0001160	mikado.HiC_scaffold_12.3160685G1207.1	EVM0019334.1, EVM0001634.1
OG0001161	mikado.HiC_scaffold_12.3160685G1373.1	EVM0011260.1, EVM0013165.1, EVM0005188.1, EVM0013950.1
OG0001162	mikado.HiC_scaffold_12.3160685G1429.1	EVM0022140.1, EVM0009967.1, EVM0016453.1, EVM0010589.1, EVM0012675.1
OG0001163	mikado.HiC_scaffold_12.3160685G1461.1	EVM0002414.1, EVM0009180.1, EVM0022884.1
OG0001164	mikado.HiC_scaffold_12.3160685G1538.1, mikado.HiC_scaffold_12.3160685G1538.2, mikado.HiC_scaffold_12.3160685G1539.1, mikado.HiC_scaffold_12.3160685G1626.1, mikado.HiC_scaffold_12.3160685G1540.1, mikado.HiC_scaffold_12.3160685G1538.3	EVM0013976.1
OG0001165	mikado.HiC_scaffold_12.3160685G1586.1	EVM0022667.1
OG0001166	mikado.HiC_scaffold_12.3160685G1604.1	EVM0001608.1, EVM0012244.1, EVM0021072.1, EVM0016268.1
OG0001223	Azeb-opnGo1	Sbro-opnGo
OG0001223	mikado.HiC_scaffold_12.3160685G1248.1	EVM0011785.1
OG0001224	mikado.HiC_scaffold_1.0G39.1, mikado.HiC_scaffold_1.0G36.1	EVM0009688.1, EVM0022666.1
OG0001225	mikado.HiC_scaffold_2.0G1302.1, mikado.HiC_scaffold_2.0G1301.1, mikado.HiC_scaffold_2.0G1300.1, mikado.HiC_scaffold_1.0G42.1	EVM0022436.1, EVM0016673.1
OG0001227	mikado.HiC_scaffold_2.0G848.1, mikado.HiC_scaffold_1.0G148.1	EVM0016315.1, EVM0017876.1
OG0001228	mikado.HiC_scaffold_16.0G440.1, mikado.HiC_scaffold_13.0G359.1, mikado.HiC_scaffold_1.0G155.1, mikado.HiC_scaffold_16.0G441.1	EVM0013449.1
OG0001230	mikado.HiC_scaffold_1.0G207.1, mikado.HiC_scaffold_1.0G204.1, mikado.HiC_scaffold_1.0G206.1, mikado.HiC_scaffold_1.0G205.1	EVM0011913.1
OG0001232	mikado.HiC_scaffold_1.0G260.1, mikado.HiC_scaffold_1.0G258.1, mikado.HiC_scaffold_1.0G231.1, mikado.HiC_scaffold_17.0G817.1	EVM0005312.1
OG0001234	mikado.HiC_scaffold_19.0G970.1	EVM0011403.1
OG0001234	mikado.HiC_scaffold_1.0G346.1, mikado.HiC_scaffold_8.8335562G1003.1	EVM0004586.1
OG0001235	mikado.HiC_scaffold_1.0G367.1	EVM0021618.1
OG0001235	mikado.HiC_scaffold_1.0G366.1, mikado.HiC_scaffold_1.0G365.1	EVM0010331.1
OG0001236	mikado.HiC_scaffold_1.0G451.1	EVM0020101.1, EVM0003549.1, EVM0012604.1
OG0001237	mikado.HiC_scaffold_1.0G507.1	EVM0021125.1
OG0001237	mikado.HiC_scaffold_1.0G508.1	EVM0016936.1
OG0001238	mikado.HiC_scaffold_12.3160685G1574.1, mikado.HiC_scaffold_3.0G13.1, mikado.HiC_scaffold_3.0G12.1, mikado.HiC_scaffold_1.0G535.1, mikado.HiC_scaffold_13.0G653.1	EVM0019608.1
OG0001239	mikado.HiC_scaffold_10.0G333.1	EVM0009491.1
OG0001239	mikado.HiC_scaffold_1.0G597.1	EVM0001571.1
OG0001240	mikado.HiC_scaffold_388G2.1	EVM0003221.1
OG0001241	mikado.HiC_scaffold_13.0G461.1, mikado.HiC_scaffold_11.0G415.1, mikado.HiC_scaffold_1.0G663.1	EVM0008071.1, EVM0004724.1, EVM0008434.1
OG0001243	mikado.HiC_scaffold_1.0G729.1	EVM0018168.1, EVM0014216.1
OG0001246	mikado.HiC_scaffold_1.0G960.1, mikado.HiC_scaffold_14.0G506.1, mikado.HiC_scaffold_14.0G508.1	EVM0014152.1, EVM0022005.1
OG0001247	mikado.HiC_scaffold_1.0G978.1, mikado.HiC_scaffold_1.0G979.1	EVM0013427.1
OG0001249	mikado.HiC_scaffold_1.0G1044.1	EVM0010181.1, EVM0016481.1
OG0001250	mikado.HiC_scaffold_1.0G1071.1, mikado.HiC_scaffold_19.0G1194.1, mikado.HiC_scaffold_9.0G1015.1, mikado.HiC_scaffold_9.0G1014.1	EVM0003683.1
OG0001251	mikado.HiC_scaffold_1.0G1091.1, mikado.HiC_scaffold_12.3160685G47.1	EVM0023793.1
OG0001252	mikado.HiC_scaffold_2.0G46.1, mikado.HiC_scaffold_2.0G26.1, mikado.HiC_scaffold_14.0G476.1, mikado.HiC_scaffold_2.0G24.1	EVM0011816.1
OG0001253	mikado.HiC_scaffold_2.0G211.1, mikado.HiC_scaffold_12.3160685G697.1	EVM0016398.1, EVM0011320.1
OG0001254	mikado.HiC_scaffold_2.0G349.1, mikado.HiC_scaffold_2.0G349.3, mikado.HiC_scaffold_2.0G349.2	EVM0006087.1
OG0001255	mikado.HiC_scaffold_19.0G561.1, mikado.HiC_scaffold_19.0G561.2, mikado.HiC_scaffold_2.0G356.1, mikado.HiC_scaffold_21.0G554.1, mikado.HiC_scaffold_21.0G549.1	EVM0003638.1
OG0001258	mikado.HiC_scaffold_2.0G861.1, mikado.HiC_scaffold_2.0G865.1	EVM0008569.1
OG0001259	mikado.HiC_scaffold_15.0G142.1	EVM0009845.1
OG0001260	mikado.HiC_scaffold_2.0G903.1	EVM0012254.1
OG0001260	mikado.HiC_scaffold_2.0G904.1	EVM0012010.1
OG0001261	mikado.HiC_scaffold_2.0G909.1	EVM0009965.1
OG0001262	mikado.HiC_scaffold_2.0G1128.1, mikado.HiC_scaffold_2.0G917.1, mikado.HiC_scaffold_2.0G914.1	EVM0013401.1, EVM0000113.1
OG0001263	mikado.HiC_scaffold_2.0G918.1	EVM0022285.1, EVM0013716.1, EVM0020326.1, EVM0016361.1, EVM0005393.1
OG0001264	mikado.HiC_scaffold_2.0G931.1, mikado.HiC_scaffold_2.0G927.1, mikado.HiC_scaffold_2.0G926.1, mikado.HiC_scaffold_2.0G930.1	EVM0017131.1
OG0001265	mikado.HiC_scaffold_2.0G957.2, mikado.HiC_scaffold_2.0G957.1	EVM0015216.1, EVM0013971.1, EVM0017125.1
OG0001266	mikado.HiC_scaffold_2.0G1014.2, mikado.HiC_scaffold_2.0G1014.3, mikado.HiC_scaffold_2.0G1014.1	EVM0005111.1, EVM0011464.1, EVM0020714.1
OG0001267	mikado.HiC_scaffold_2.0G1017.1, mikado.HiC_scaffold_12.3160685G1080.1, mikado.HiC_scaffold_11.0G563.1, mikado.HiC_scaffold_11.0G240.1, mikado.HiC_scaffold_10.0G780.1	EVM0008799.1
OG0001268	mikado.HiC_scaffold_2.0G1055.1	EVM0012152.1
OG0001268	mikado.HiC_scaffold_17.0G456.1	EVM0006785.1
OG0001269	mikado.HiC_scaffold_3.0G213.1, mikado.HiC_scaffold_2.0G1062.1, mikado.HiC_scaffold_2.0G1059.1	EVM0013829.1
OG0001270	mikado.HiC_scaffold_16.0G1479.1	EVM0008211.1
OG0001270	mikado.HiC_scaffold_2.0G1144.1, mikado.HiC_scaffold_16.0G1481.1	EVM0000154.1
OG0001271	mikado.HiC_scaffold_2.0G1276.1, mikado.HiC_scaffold_2.0G1279.1, mikado.HiC_scaffold_2.0G1278.1, mikado.HiC_scaffold_2.0G1277.1	EVM0006487.1, EVM0015005.1
OG0001272	mikado.HiC_scaffold_2.0G1345.1, mikado.HiC_scaffold_2.0G1339.1, mikado.HiC_scaffold_2.0G1340.1, mikado.HiC_scaffold_2.0G1338.1	EVM0014925.1
OG0001274	mikado.HiC_scaffold_2.0G1477.1	EVM0019343.1, EVM0014356.1
OG0001274	mikado.HiC_scaffold_2.0G1478.1	EVM0012883.1
OG0001275	mikado.HiC_scaffold_2.0G1529.1, mikado.HiC_scaffold_18.0G389.1	EVM0006553.1
OG0001276	mikado.HiC_scaffold_3.0G36.2, mikado.HiC_scaffold_3.0G46.1, mikado.HiC_scaffold_3.0G36.1	EVM0005459.1, EVM0000958.1
OG0001277	mikado.HiC_scaffold_3.0G235.1, mikado.HiC_scaffold_3.0G236.1, mikado.HiC_scaffold_3.0G237.1, mikado.HiC_scaffold_3.0G234.1, mikado.HiC_scaffold_16.0G642.1	EVM0005825.1
OG0001279	mikado.HiC_scaffold_3.0G266.1	EVM0003195.1, EVM0000913.1, EVM0009841.1, EVM0014999.1
OG0001280	mikado.HiC_scaffold_3.0G324.1, mikado.HiC_scaffold_3.0G322.1, mikado.HiC_scaffold_3.0G321.1	EVM0021638.1, EVM0008663.1
OG0001281	mikado.HiC_scaffold_3.0G432.1	EVM0009079.1
OG0001281	mikado.HiC_scaffold_3.0G431.1	EVM0019374.1
OG0001282	mikado.HiC_scaffold_3.0G460.1, mikado.HiC_scaffold_3.0G459.1, mikado.HiC_scaffold_3.0G461.2, mikado.HiC_scaffold_3.0G461.1	EVM0003488.1, EVM0006509.1
OG0001283	mikado.HiC_scaffold_3.0G486.1	EVM0010333.1
OG0001283	mikado.HiC_scaffold_3.0G487.1	EVM0011855.1
OG0001284	mikado.HiC_scaffold_3.0G593.1, mikado.HiC_scaffold_12.3160685G1375.1, mikado.HiC_scaffold_12.3160685G1552.1, mikado.HiC_scaffold_16.0G657.1, mikado.HiC_scaffold_16.0G658.1	EVM0013490.1
OG0001285	mikado.HiC_scaffold_3.0G625.2, mikado.HiC_scaffold_3.0G625.1, mikado.HiC_scaffold_3.0G893.1, mikado.HiC_scaffold_3.0G625.3	EVM0006799.1
OG0001287	mikado.HiC_scaffold_5.0G1302.1, mikado.HiC_scaffold_5.0G627.1, mikado.HiC_scaffold_3.0G639.1, mikado.HiC_scaffold_3.0G640.1	EVM0019307.1
OG0001288	mikado.HiC_scaffold_3.0G721.1, mikado.HiC_scaffold_3.0G722.1	EVM0007336.1
OG0001289	mikado.HiC_scaffold_9.0G563.1, mikado.HiC_scaffold_9.0G564.1, mikado.HiC_scaffold_3.0G873.1, mikado.HiC_scaffold_3.0G871.1	EVM0006045.1
OG0001290	mikado.HiC_scaffold_3.0G918.1	EVM0010394.1, EVM0019436.1
OG0001291	mikado.HiC_scaffold_3.0G928.1, mikado.HiC_scaffold_3.0G925.1, mikado.HiC_scaffold_11.0G70.1, mikado.HiC_scaffold_17.0G489.1	EVM0009729.1
OG0001292	mikado.HiC_scaffold_3.0G926.1, mikado.HiC_scaffold_3.0G927.1, mikado.HiC_scaffold_16.0G133.1	EVM0014654.1
OG0001294	mikado.HiC_scaffold_3.0G971.1, mikado.HiC_scaffold_19.0G1292.1	EVM0014971.1
OG0001295	mikado.HiC_scaffold_3.0G1020.1, mikado.HiC_scaffold_3.0G1020.2, mikado.HiC_scaffold_3.0G1020.3	EVM0014660.1
OG0001298	mikado.HiC_scaffold_7.0G1165.1, mikado.HiC_scaffold_11.0G108.1, mikado.HiC_scaffold_19.0G1096.1, mikado.HiC_scaffold_4.0G56.1	EVM0006037.1, EVM0016503.1
OG0001301	mikado.HiC_scaffold_4.0G137.1, mikado.HiC_scaffold_4.0G129.1, mikado.HiC_scaffold_8.0G20.1, mikado.HiC_scaffold_8.0G20.2, mikado.HiC_scaffold_12.3160685G1272.1	EVM0022150.1
OG0001302	mikado.HiC_scaffold_4.0G147.1, mikado.HiC_scaffold_7.0G979.1	EVM0010515.1, EVM0000362.1, EVM0010902.1
OG0001303	mikado.HiC_scaffold_4.0G150.1, mikado.HiC_scaffold_4.0G151.1, mikado.HiC_scaffold_4.0G148.1	EVM0000132.1
OG0001304	mikado.HiC_scaffold_4.0G174.1, mikado.HiC_scaffold_4.0G173.1, mikado.HiC_scaffold_4.0G640.2, mikado.HiC_scaffold_4.0G640.1, mikado.HiC_scaffold_4.0G638.1	EVM0007027.1
OG0001306	mikado.HiC_scaffold_4.0G214.1, mikado.HiC_scaffold_4.0G213.1	EVM0005833.1, EVM0006112.1
OG0001307	mikado.HiC_scaffold_4.0G220.1, mikado.HiC_scaffold_4.0G221.1, mikado.HiC_scaffold_4.0G224.1	EVM0002833.1
OG0001308	mikado.HiC_scaffold_7.0G1100.1	EVM0001086.1
OG0001308	mikado.HiC_scaffold_4.0G280.1	EVM0016923.1
OG0001309	mikado.HiC_scaffold_4.0G304.1, mikado.HiC_scaffold_4.0G304.2	EVM0011852.1
OG0001310	mikado.HiC_scaffold_21.0G934.1, mikado.HiC_scaffold_4.0G350.1, mikado.HiC_scaffold_9.0G684.1, mikado.HiC_scaffold_21.0G709.1, mikado.HiC_scaffold_21.0G914.1	EVM0005921.1
OG0001311	mikado.HiC_scaffold_4.0G361.1, mikado.HiC_scaffold_4.0G365.1, mikado.HiC_scaffold_4.0G366.1	EVM0009212.1, EVM0010779.1
OG0001313	mikado.HiC_scaffold_4.0G459.1, mikado.HiC_scaffold_4.0G459.2	EVM0003476.1, EVM0023324.1, EVM0013717.1
OG0001314	mikado.HiC_scaffold_4.0G461.1	EVM0018711.1
OG0001315	mikado.HiC_scaffold_4.0G514.1, mikado.HiC_scaffold_4.0G799.1	EVM0007587.1
OG0001316	mikado.HiC_scaffold_4.0G535.1, mikado.HiC_scaffold_10.0G394.1, mikado.HiC_scaffold_4.0G534.1	EVM0021047.1
OG0001318	mikado.HiC_scaffold_4.0G614.2	EVM0022619.1, EVM0010746.1
OG0001318	mikado.HiC_scaffold_4.0G616.1	EVM0020804.1
OG0001319	mikado.HiC_scaffold_4.0G764.1	EVM0019882.1
OG0001319	mikado.HiC_scaffold_4.0G705.2, mikado.HiC_scaffold_4.0G705.1	EVM0015756.1
OG0001320	mikado.HiC_scaffold_4.0G733.1, mikado.HiC_scaffold_7.0G71.3, mikado.HiC_scaffold_7.0G71.2, mikado.HiC_scaffold_7.0G71.1	EVM0016145.1
OG0001321	mikado.HiC_scaffold_11.0G457.1	EVM0019669.1
OG0001322	mikado.HiC_scaffold_4.0G763.5, mikado.HiC_scaffold_4.0G763.2, mikado.HiC_scaffold_4.0G763.6, mikado.HiC_scaffold_4.0G763.1	EVM0003397.1
OG0001323	mikado.HiC_scaffold_4.0G831.2, mikado.HiC_scaffold_4.0G831.1	EVM0004399.1
OG0001324	mikado.HiC_scaffold_4.0G836.1, mikado.HiC_scaffold_4.0G834.1, mikado.HiC_scaffold_4.0G835.1	EVM0002593.1, EVM0008263.1
OG0001325	mikado.HiC_scaffold_4.0G841.1, mikado.HiC_scaffold_4.0G845.1	EVM0002723.1
OG0001326	mikado.HiC_scaffold_14.0G467.1, mikado.HiC_scaffold_4.0G881.1, mikado.HiC_scaffold_4.0G882.1, mikado.HiC_scaffold_4.0G880.1	EVM0019780.1
OG0001327	mikado.HiC_scaffold_4.0G898.1	EVM0010178.1
OG0001328	mikado.HiC_scaffold_4.0G987.1, mikado.HiC_scaffold_4.0G985.1, mikado.HiC_scaffold_4.0G984.1	EVM0017510.1
OG0001329	mikado.HiC_scaffold_14.0G1058.1, mikado.HiC_scaffold_4.0G991.1	EVM0021628.1, EVM0019268.1
OG0001330	mikado.HiC_scaffold_4.0G999.1	EVM0017933.1
OG0001330	mikado.HiC_scaffold_4.0G998.1, mikado.HiC_scaffold_4.0G997.1	EVM0009724.1
OG0001331	mikado.HiC_scaffold_4.0G1017.1, mikado.HiC_scaffold_4.0G1014.1, mikado.HiC_scaffold_4.0G1015.1, mikado.HiC_scaffold_4.0G1016.1	EVM0000948.1
OG0001332	mikado.HiC_scaffold_5.0G20.1	EVM0022991.1, EVM0022494.1, EVM0020031.1
OG0001333	mikado.HiC_scaffold_5.0G485.1	EVM0006566.1
OG0001333	mikado.HiC_scaffold_5.0G21.1	EVM0011039.1
OG0001334	mikado.HiC_scaffold_5.0G22.1	EVM0013471.1
OG0001334	mikado.HiC_scaffold_5.0G801.2, mikado.HiC_scaffold_5.0G801.1	EVM0009416.1
OG0001335	mikado.HiC_scaffold_5.0G27.1, mikado.HiC_scaffold_5.0G28.1	EVM0007006.1, EVM0023539.1
OG0001336	mikado.HiC_scaffold_5.0G45.1	EVM0021108.1
OG0001336	mikado.HiC_scaffold_5.0G44.1	EVM0012668.1
OG0001337	mikado.HiC_scaffold_5.0G60.1	EVM0018513.1
OG0001338	mikado.HiC_scaffold_5.0G76.1, mikado.HiC_scaffold_5.0G80.1, mikado.HiC_scaffold_5.0G77.1, mikado.HiC_scaffold_5.0G79.1	EVM0004324.1
OG0001339	mikado.HiC_scaffold_5.0G108.1	EVM0019422.1, EVM0004981.1, EVM0021278.1, EVM0004364.1
OG0001340	mikado.HiC_scaffold_5.0G190.1, mikado.HiC_scaffold_5.0G191.1	EVM0004379.1
OG0001341	mikado.HiC_scaffold_5.0G214.1	EVM0018648.1
OG0001341	mikado.HiC_scaffold_5.0G215.1	EVM0009856.1
OG0001342	mikado.HiC_scaffold_5.0G226.1	EVM0006255.1
