HOG	OG	Gene Tree Parent Clade	Azeb	Sbro	Tgra
N0.HOG0002585	OG0001972	n0	mikado.HiC_scaffold_3.0G163.1	EVM0020660.1, EVM0012842.1, EVM0017178.1, EVM0017199.1	
N0.HOG0002586	OG0001973	n0	mikado.HiC_scaffold_8.8335562G150.1, mikado.HiC_scaffold_3.0G881.1, mikado.HiC_scaffold_3.0G173.1, mikado.HiC_scaffold_3.0G175.1, mikado.HiC_scaffold_12.3160685G831.1		
N0.HOG0002587	OG0001974	n0	mikado.HiC_scaffold_3.0G182.1, mikado.HiC_scaffold_3.0G182.2	EVM0012110.1, EVM0000306.1	KUTeg_000187
N0.HOG0002588	OG0001975	n0	mikado.HiC_scaffold_3.0G187.1	EVM0001050.1, EVM0019429.1	KUTeg_001195, KUTeg_001193
N0.HOG0002589	OG0001976	n0	mikado.HiC_scaffold_3.0G207.1	EVM0007226.1, EVM0021307.1	KUTeg_000545, KUTeg_000553
N0.HOG0002590	OG0001977	n1	mikado.HiC_scaffold_3.0G807.1	EVM0003785.1	
N0.HOG0002591	OG0001977	n2	mikado.HiC_scaffold_3.0G223.1, mikado.HiC_scaffold_3.0G808.1	EVM0006543.1	
N0.HOG0002592	OG0001978	n0	mikado.HiC_scaffold_13.0G1123.1, mikado.HiC_scaffold_3.0G259.1		KUTeg_016652, KUTeg_018319, KUTeg_016649
N0.HOG0002593	OG0001979	n0	mikado.HiC_scaffold_3.0G261.2, mikado.HiC_scaffold_3.0G261.1	EVM0007140.1	KUTeg_000404, KUTeg_000405
N0.HOG0002594	OG0001980	n0	mikado.HiC_scaffold_7.0G191.1, mikado.HiC_scaffold_7.0G191.2, mikado.HiC_scaffold_12.3160685G411.1, mikado.HiC_scaffold_3.0G293.1, mikado.HiC_scaffold_3.0G294.1		
N0.HOG0002595	OG0001981	n0	mikado.HiC_scaffold_15.0G1147.1, mikado.HiC_scaffold_15.0G1148.1, mikado.HiC_scaffold_3.0G323.1, mikado.HiC_scaffold_15.0G1149.1	EVM0011209.1	
N0.HOG0002596	OG0001982	n0	mikado.HiC_scaffold_3.0G325.1, mikado.HiC_scaffold_3.0G326.1		KUTeg_000765, KUTeg_000764, KUTeg_014481
N0.HOG0002597	OG0001983	n0	mikado.HiC_scaffold_3.0G369.1	EVM0006333.1	KUTeg_000701, KUTeg_000707, KUTeg_000843
N0.HOG0002598	OG0001984	n0	mikado.HiC_scaffold_3.0G391.1, mikado.HiC_scaffold_3.0G390.1, mikado.HiC_scaffold_3.0G372.1	EVM0012537.1	KUTeg_000841
N0.HOG0002599	OG0001985	n0	mikado.HiC_scaffold_3.0G375.1, mikado.HiC_scaffold_5.0G1105.1, mikado.HiC_scaffold_3.0G392.1, mikado.HiC_scaffold_5.0G1069.1, mikado.HiC_scaffold_3.0G376.1		
N0.HOG0002600	OG0001986	n0	mikado.HiC_scaffold_3.0G474.1, mikado.HiC_scaffold_3.0G472.1	EVM0007306.1	KUTeg_000440, KUTeg_000446
N0.HOG0002601	OG0001987	n1	mikado.HiC_scaffold_3.0G475.1	EVM0021322.1	KUTeg_000668
N0.HOG0002602	OG0001987	n3	mikado.HiC_scaffold_3.0G473.1		KUTeg_000329
N0.HOG0002603	OG0001988	n0	mikado.HiC_scaffold_3.0G496.1	EVM0007490.1, EVM0005768.1, EVM0018202.1	KUTeg_018656
N0.HOG0002604	OG0001989	n0	mikado.HiC_scaffold_3.0G548.1	EVM0015177.1	KUTeg_000443, KUTeg_000556, KUTeg_000444
N0.HOG0002605	OG0001990	n0	mikado.HiC_scaffold_9.0G590.1, mikado.HiC_scaffold_3.0G551.1, mikado.HiC_scaffold_4.0G717.1, mikado.HiC_scaffold_4.0G717.2		KUTeg_015314
N0.HOG0002606	OG0001991	n0	mikado.HiC_scaffold_3.0G561.1	EVM0021388.1	KUTeg_023137, KUTeg_023136, KUTeg_023529
N0.HOG0002607	OG0001992	n0	mikado.HiC_scaffold_3.0G613.2	EVM0007839.1, EVM0020556.1	KUTeg_014616, KUTeg_006563
N0.HOG0002608	OG0001993	n0	mikado.HiC_scaffold_3.0G624.1, mikado.HiC_scaffold_3.0G623.1	EVM0020333.1, EVM0015627.1, EVM0002206.1	
N0.HOG0002609	OG0001994	n0	mikado.HiC_scaffold_4.0G506.1, mikado.HiC_scaffold_4.0G504.1, mikado.HiC_scaffold_3.0G631.1, mikado.HiC_scaffold_7.0G164.1	EVM0019134.1	
N0.HOG0002610	OG0001995	n0	mikado.HiC_scaffold_3.0G653.1	EVM0006343.1, EVM0012862.1	KUTeg_000449, KUTeg_000457
N0.HOG0002611	OG0001996	n0	mikado.HiC_scaffold_3.0G657.1, mikado.HiC_scaffold_3.0G657.2	EVM0018404.1, EVM0019022.1	KUTeg_000649
N0.HOG0002612	OG0001997	n0	mikado.HiC_scaffold_3.0G673.1, mikado.HiC_scaffold_4.0G194.1	EVM0019943.1, EVM0017378.1	KUTeg_000165
N0.HOG0002613	OG0001998	n0	mikado.HiC_scaffold_3.0G686.1, mikado.HiC_scaffold_3.0G687.1	EVM0011480.1	KUTeg_000598, KUTeg_000796
N0.HOG0002614	OG0001999	n0	mikado.HiC_scaffold_3.0G696.1, mikado.HiC_scaffold_3.0G696.3	EVM0006187.1	KUTeg_000087, KUTeg_000094
N0.HOG0002615	OG0002000	n0	mikado.HiC_scaffold_3.0G699.1, mikado.HiC_scaffold_3.0G698.1	EVM0009163.1	KUTeg_000093, KUTeg_000095
N0.HOG0002616	OG0002001	n0	mikado.HiC_scaffold_3.0G733.1, mikado.HiC_scaffold_3.0G823.1, mikado.HiC_scaffold_10.0G586.1, mikado.HiC_scaffold_10.0G577.1		KUTeg_012268
N0.HOG0002617	OG0002002	n1	mikado.HiC_scaffold_3.0G780.1	EVM0023437.1	KUTeg_000652
N0.HOG0002618	OG0002002	n3	mikado.HiC_scaffold_3.0G787.1		KUTeg_020959
N0.HOG0002619	OG0002003	n0	mikado.HiC_scaffold_3.0G839.1, mikado.HiC_scaffold_3.0G839.5, mikado.HiC_scaffold_3.0G839.2	EVM0018177.1	KUTeg_000658
N0.HOG0002620	OG0002004	n0	mikado.HiC_scaffold_3.0G840.1	EVM0003830.1, EVM0017885.1	KUTeg_009949, KUTeg_001576
N0.HOG0002621	OG0002005	n1	mikado.HiC_scaffold_3.0G853.1	EVM0020776.1	KUTeg_000582
N0.HOG0002622	OG0002005	n3	mikado.HiC_scaffold_3.0G850.1	EVM0010780.1	
N0.HOG0002623	OG0002006	n0	mikado.HiC_scaffold_3.0G855.1	EVM0008737.1, EVM0014584.1	KUTeg_000768, KUTeg_000769
N0.HOG0002624	OG0002007	n0	mikado.HiC_scaffold_3.0G885.1, mikado.HiC_scaffold_3.0G885.2	EVM0017960.1	KUTeg_000369, KUTeg_000368
N0.HOG0002625	OG0002008	n0	mikado.HiC_scaffold_3.0G887.1	EVM0007765.1, EVM0015474.1	KUTeg_000565, KUTeg_000363
N0.HOG0002626	OG0002009	n0	mikado.HiC_scaffold_15.0G833.1, mikado.HiC_scaffold_3.0G891.1, mikado.HiC_scaffold_3.0G891.2	EVM0012007.1	KUTeg_020324
N0.HOG0002627	OG0002010	n0	mikado.HiC_scaffold_3.0G941.1, mikado.HiC_scaffold_9.0G334.1	EVM0015016.1	KUTeg_017228, KUTeg_003557
N0.HOG0002628	OG0002011	n0	mikado.HiC_scaffold_3.0G949.1, mikado.HiC_scaffold_3.0G946.1	EVM0002399.1	KUTeg_000636, KUTeg_000141
N0.HOG0002629	OG0002012	n0	mikado.HiC_scaffold_7.0G1344.1, mikado.HiC_scaffold_13.0G1165.1, mikado.HiC_scaffold_21.0G185.1, mikado.HiC_scaffold_3.0G980.1, mikado.HiC_scaffold_3.0G982.1		
N0.HOG0002630	OG0002013	n0	mikado.HiC_scaffold_3.0G986.1	EVM0005538.1, EVM0023438.1	KUTeg_006502, KUTeg_001083
N0.HOG0002631	OG0002014	n0	mikado.HiC_scaffold_3.0G1034.1	EVM0012107.1, EVM0012336.1	KUTeg_000233, KUTeg_001097
N0.HOG0002632	OG0002015	n0	mikado.HiC_scaffold_3.0G1051.1, mikado.HiC_scaffold_3.0G1049.1, mikado.HiC_scaffold_3.0G1050.1	EVM0019202.1	KUTeg_000481
N0.HOG0002633	OG0002016	n0	mikado.HiC_scaffold_4.0G14.3, mikado.HiC_scaffold_4.0G14.1, mikado.HiC_scaffold_4.0G14.2	EVM0008946.1	KUTeg_015617
N0.HOG0002634	OG0002017	n0	mikado.HiC_scaffold_15.0G2506.1, mikado.HiC_scaffold_15.0G2505.1, mikado.HiC_scaffold_4.0G57.1, mikado.HiC_scaffold_21.0G791.1, mikado.HiC_scaffold_4.0G61.1		
N0.HOG0002635	OG0002018	n0	mikado.HiC_scaffold_4.0G69.1	EVM0008652.1	KUTeg_015522, KUTeg_015520, KUTeg_015521
N0.HOG0002636	OG0002019	n0	mikado.HiC_scaffold_4.0G77.1, mikado.HiC_scaffold_4.0G76.1	EVM0009695.1, EVM0000059.1	KUTeg_014883
N0.HOG0002637	OG0002020	n0	mikado.HiC_scaffold_301G1.1, mikado.HiC_scaffold_4.0G98.1, mikado.HiC_scaffold_301G2.1	EVM0023477.1	KUTeg_019807
N0.HOG0002638	OG0002021	n0	mikado.HiC_scaffold_11.0G525.1, mikado.HiC_scaffold_4.0G111.1, mikado.HiC_scaffold_4.0G386.1, mikado.HiC_scaffold_13.0G1050.2, mikado.HiC_scaffold_13.0G1050.1		
N0.HOG0002639	OG0002022	n0	mikado.HiC_scaffold_4.0G135.1, mikado.HiC_scaffold_4.0G132.1	EVM0000908.1	KUTeg_014877, KUTeg_015399
N0.HOG0002640	OG0002023	n0	mikado.HiC_scaffold_4.0G131.1, mikado.HiC_scaffold_4.0G134.1, mikado.HiC_scaffold_4.0G136.1, mikado.HiC_scaffold_4.0G133.1	EVM0009546.1	
N0.HOG0002641	OG0002024	n0	mikado.HiC_scaffold_4.0G167.1, mikado.HiC_scaffold_4.0G165.1, mikado.HiC_scaffold_4.0G168.1	EVM0006449.1	KUTeg_015393
N0.HOG0002642	OG0002025	n0	mikado.HiC_scaffold_4.0G237.1		KUTeg_015478, KUTeg_015477, KUTeg_015150, KUTeg_015479
N0.HOG0002643	OG0002026	n1	mikado.HiC_scaffold_4.0G296.1	EVM0021232.1	
N0.HOG0002644	OG0002026	n2	mikado.HiC_scaffold_15.0G1283.1	EVM0013578.1	KUTeg_021077
N0.HOG0002645	OG0002027	n0	mikado.HiC_scaffold_21.0G481.1, mikado.HiC_scaffold_4.0G339.1, mikado.HiC_scaffold_4.0G914.1	EVM0013968.1, EVM0018703.1	
N0.HOG0002646	OG0002028	n0	mikado.HiC_scaffold_4.0G364.1, mikado.HiC_scaffold_4.0G363.1, mikado.HiC_scaffold_4.0G360.1, mikado.HiC_scaffold_4.0G359.1, mikado.HiC_scaffold_4.0G362.1		
N0.HOG0002647	OG0002029	n0	mikado.HiC_scaffold_4.0G367.1, mikado.HiC_scaffold_10.0G580.1, mikado.HiC_scaffold_10.0G593.1, mikado.HiC_scaffold_21.0G202.1, mikado.HiC_scaffold_21.0G203.1		
N0.HOG0002648	OG0002030	n0	mikado.HiC_scaffold_4.0G681.1, mikado.HiC_scaffold_4.0G964.1, mikado.HiC_scaffold_4.0G963.1, mikado.HiC_scaffold_4.0G373.1, mikado.HiC_scaffold_13.0G1456.1		
N0.HOG0002649	OG0002031	n0	mikado.HiC_scaffold_4.0G420.1	EVM0004823.1, EVM0021803.1	KUTeg_006192, KUTeg_006190
N0.HOG0002650	OG0002032	n0	mikado.HiC_scaffold_14.0G1176.1, mikado.HiC_scaffold_4.0G594.1, mikado.HiC_scaffold_4.0G590.1, mikado.HiC_scaffold_4.0G446.1, mikado.HiC_scaffold_4.0G593.1		
N0.HOG0002651	OG0002033	n0	mikado.HiC_scaffold_4.0G483.1, mikado.HiC_scaffold_4.0G481.1	EVM0010354.1, EVM0009913.1	KUTeg_015599
N0.HOG0002652	OG0002034	n0	mikado.HiC_scaffold_18.0G782.1, mikado.HiC_scaffold_21.0G760.1, mikado.HiC_scaffold_14.0G927.1, mikado.HiC_scaffold_4.0G484.1, mikado.HiC_scaffold_15.0G1943.1		
N0.HOG0002653	OG0002035	n0	mikado.HiC_scaffold_9.0G182.1, mikado.HiC_scaffold_4.0G531.1	EVM0014284.1, EVM0022058.1, EVM0003320.1	
N0.HOG0002654	OG0002036	n0	mikado.HiC_scaffold_4.0G579.1	EVM0000975.1	KUTeg_015443, KUTeg_015449, KUTeg_015444
N0.HOG0002655	OG0002037	n0	mikado.HiC_scaffold_4.0G609.1, mikado.HiC_scaffold_4.0G610.1, mikado.HiC_scaffold_16.0G248.1	EVM0000816.1	KUTeg_015092
N0.HOG0002656	OG0002038	n0	mikado.HiC_scaffold_4.0G615.2, mikado.HiC_scaffold_4.0G615.1	EVM0010561.1	KUTeg_012794, KUTeg_012797
N0.HOG0002657	OG0002039	n0	mikado.HiC_scaffold_4.0G622.1	EVM0016191.1	KUTeg_002825, KUTeg_002823, KUTeg_014650
N0.HOG0002658	OG0002040	n0	mikado.HiC_scaffold_4.0G751.1, mikado.HiC_scaffold_4.0G752.1, mikado.HiC_scaffold_5.0G1038.1	EVM0019721.1	KUTeg_015488
N0.HOG0002659	OG0002041	n0	mikado.HiC_scaffold_4.0G769.1	EVM0012464.1, EVM0018546.1	KUTeg_011262, KUTeg_015000
N0.HOG0002660	OG0002042	n0	mikado.HiC_scaffold_4.0G771.1	EVM0006927.1, EVM0005113.1, EVM0009987.1, EVM0007200.1	
N0.HOG0002661	OG0002043	n0	mikado.HiC_scaffold_4.0G776.2, mikado.HiC_scaffold_4.0G776.1, mikado.HiC_scaffold_10.0G536.1	EVM0003450.1	KUTeg_011039
N0.HOG0002662	OG0002044	n0	mikado.HiC_scaffold_4.0G781.1	EVM0016486.1, EVM0021693.1, EVM0014792.1	KUTeg_023572
N0.HOG0002663	OG0002045	n0	mikado.HiC_scaffold_5.0G1242.1, mikado.HiC_scaffold_4.0G825.1, mikado.HiC_scaffold_5.0G1243.1, mikado.HiC_scaffold_7.0G1113.1, mikado.HiC_scaffold_14.0G1220.1		
N0.HOG0002664	OG0002046	n0	mikado.HiC_scaffold_5.0G876.1, mikado.HiC_scaffold_4.0G861.1, mikado.HiC_scaffold_4.0G861.2		KUTeg_017804, KUTeg_017806
N0.HOG0002665	OG0002047	n0	mikado.HiC_scaffold_4.0G891.1	EVM0017201.1, EVM0018847.1	KUTeg_005762, KUTeg_014963
N0.HOG0002666	OG0002048	n0	mikado.HiC_scaffold_4.0G909.1, mikado.HiC_scaffold_4.0G909.2	EVM0014237.1	KUTeg_015212, KUTeg_014944
N0.HOG0002667	OG0002049	n0	mikado.HiC_scaffold_4.0G929.1, mikado.HiC_scaffold_4.0G929.4, mikado.HiC_scaffold_4.0G929.2	EVM0002138.1	KUTeg_015613
N0.HOG0002668	OG0002050	n0	mikado.HiC_scaffold_4.0G957.1	EVM0005167.1	KUTeg_015428, KUTeg_015427, KUTeg_015422
N0.HOG0002669	OG0002051	n1	mikado.HiC_scaffold_4.0G965.1	EVM0003565.1	
N0.HOG0002670	OG0002051	n2	mikado.HiC_scaffold_4.0G966.1	EVM0013942.1	KUTeg_010587
N0.HOG0002671	OG0002052	n0	mikado.HiC_scaffold_14.0G646.1, mikado.HiC_scaffold_4.0G976.1, mikado.HiC_scaffold_14.0G648.1	EVM0006521.1	KUTeg_005067
N0.HOG0002672	OG0002053	n1	mikado.HiC_scaffold_16.0G1025.1	EVM0020375.1	
N0.HOG0002673	OG0002053	n2	mikado.HiC_scaffold_4.0G982.1, mikado.HiC_scaffold_5.0G744.1	EVM0012179.1	
N0.HOG0002674	OG0002054	n0	mikado.HiC_scaffold_21.0G562.1, mikado.HiC_scaffold_41G2.1, mikado.HiC_scaffold_135G2.1, mikado.HiC_scaffold_21.0G413.1, mikado.HiC_scaffold_21.0G144.1		
N0.HOG0002675	OG0002055	n0	mikado.HiC_scaffold_5.0G11.2, mikado.HiC_scaffold_5.0G11.1	EVM0011503.2	KUTeg_017950, KUTeg_024834
N0.HOG0002676	OG0002056	n0	mikado.HiC_scaffold_5.0G23.2, mikado.HiC_scaffold_5.0G23.1	EVM0001206.1	KUTeg_010620, KUTeg_017704
N0.HOG0002677	OG0002057	n0	mikado.HiC_scaffold_5.0G24.1, mikado.HiC_scaffold_5.0G25.1	EVM0011486.1, EVM0005728.1	KUTeg_018526
N0.HOG0002678	OG0002058	n0	mikado.HiC_scaffold_5.0G88.1, mikado.HiC_scaffold_5.0G91.1, mikado.HiC_scaffold_5.0G90.1, mikado.HiC_scaffold_16.0G1209.1, mikado.HiC_scaffold_5.0G89.1		
N0.HOG0002679	OG0002059	n0	mikado.HiC_scaffold_19.0G937.1, mikado.HiC_scaffold_19.0G113.1, mikado.HiC_scaffold_19.0G114.1, mikado.HiC_scaffold_5.0G107.1, mikado.HiC_scaffold_7.0G1063.1		
N0.HOG0002680	OG0002060	n0	mikado.HiC_scaffold_5.0G118.1, mikado.HiC_scaffold_5.0G117.1, mikado.HiC_scaffold_5.0G112.1	EVM0020161.1	KUTeg_018513
N0.HOG0002681	OG0002061	n0	mikado.HiC_scaffold_5.0G128.1	EVM0023257.1, EVM0010389.1, EVM0011712.1	KUTeg_017973
N0.HOG0002682	OG0002062	n0	mikado.HiC_scaffold_5.0G146.1	EVM0011155.1	KUTeg_017519, KUTeg_020007, KUTeg_020006
N0.HOG0002683	OG0002063	n0	mikado.HiC_scaffold_5.0G167.1, mikado.HiC_scaffold_5.0G166.1	EVM0017404.1, EVM0001451.1, EVM0020675.1	
N0.HOG0002684	OG0002064	n0	mikado.HiC_scaffold_5.0G171.2, mikado.HiC_scaffold_5.0G171.1	EVM0004960.1	KUTeg_017444, KUTeg_017420
N0.HOG0002685	OG0002065	n0	mikado.HiC_scaffold_5.0G186.1	EVM0010292.1, EVM0016360.1, EVM0017150.1	KUTeg_017453
N0.HOG0002686	OG0002066	n2	mikado.HiC_scaffold_5.0G198.1		KUTeg_017729
N0.HOG0002687	OG0002066	n3	mikado.HiC_scaffold_5.0G209.1		KUTeg_017725
N0.HOG0002688	OG0002067	n0	mikado.HiC_scaffold_5.0G230.1, mikado.HiC_scaffold_5.0G229.1, mikado.HiC_scaffold_5.0G232.1	EVM0019054.1	KUTeg_018300
N0.HOG0002689	OG0002068	n0	mikado.HiC_scaffold_7.0G465.1, mikado.HiC_scaffold_7.0G464.1, mikado.HiC_scaffold_5.0G244.1	EVM0020152.1	KUTeg_018143
N0.HOG0002690	OG0002069	n0	mikado.HiC_scaffold_5.0G289.1, mikado.HiC_scaffold_5.0G283.1, mikado.HiC_scaffold_5.0G294.1	EVM0011955.1	KUTeg_018052
N0.HOG0002691	OG0002070	n0	mikado.HiC_scaffold_5.0G284.1, mikado.HiC_scaffold_5.0G290.1	EVM0013892.1	KUTeg_018058, KUTeg_009003
N0.HOG0002692	OG0002071	n0	mikado.HiC_scaffold_5.0G308.1, mikado.HiC_scaffold_5.0G308.3, mikado.HiC_scaffold_5.0G308.2	EVM0018479.1	KUTeg_018477
N0.HOG0002693	OG0002072	n1	mikado.HiC_scaffold_5.0G320.1	EVM0018330.1	
N0.HOG0002694	OG0002072	n2	mikado.HiC_scaffold_5.0G321.1	EVM0002966.1	KUTeg_018342
N0.HOG0002695	OG0002073	n0	mikado.HiC_scaffold_5.0G327.1	EVM0003571.1, EVM0023621.1	KUTeg_018139, KUTeg_018136
N0.HOG0002696	OG0002074	n0	mikado.HiC_scaffold_5.0G328.1	EVM0004935.1, EVM0015357.1	KUTeg_017435, KUTeg_018140
N0.HOG0002697	OG0002075	n0	mikado.HiC_scaffold_17.0G461.1, mikado.HiC_scaffold_17.0G460.1, mikado.HiC_scaffold_5.0G343.1	EVM0019367.1	KUTeg_008374
N0.HOG0002698	OG0002076	n0	mikado.HiC_scaffold_17.0G597.1, mikado.HiC_scaffold_5.0G375.1, mikado.HiC_scaffold_5.0G376.1	EVM0003220.1	KUTeg_018119
N0.HOG0002699	OG0002077	n0	mikado.HiC_scaffold_17.0G886.1, mikado.HiC_scaffold_5.0G377.1, mikado.HiC_scaffold_17.0G6.1, mikado.HiC_scaffold_10.0G85.1, mikado.HiC_scaffold_16.0G188.1		
N0.HOG0002700	OG0002078	n0	mikado.HiC_scaffold_5.0G383.1, mikado.HiC_scaffold_5.0G383.2	EVM0015513.1, EVM0016015.1	KUTeg_018419
N0.HOG0002701	OG0002079	n0	mikado.HiC_scaffold_5.0G391.1, mikado.HiC_scaffold_5.0G391.2	EVM0018005.1	KUTeg_018417, KUTeg_011520
N0.HOG0002702	OG0002080	n0	mikado.HiC_scaffold_10.0G689.1, mikado.HiC_scaffold_14.0G545.1, mikado.HiC_scaffold_15.0G1013.1, mikado.HiC_scaffold_5.0G720.1, mikado.HiC_scaffold_5.0G412.1		
N0.HOG0002703	OG0002081	n0	mikado.HiC_scaffold_5.0G448.1	EVM0015400.1, EVM0005980.1	KUTeg_000021, KUTeg_018339
N0.HOG0002704	OG0002082	n0	mikado.HiC_scaffold_5.0G471.1	EVM0000468.1	KUTeg_017971, KUTeg_018053, KUTeg_018054
N0.HOG0002705	OG0002083	n0	mikado.HiC_scaffold_15.0G1910.1, mikado.HiC_scaffold_5.0G478.1	EVM0002797.1	KUTeg_019145, KUTeg_019143
N0.HOG0002706	OG0002084	n0	mikado.HiC_scaffold_5.0G536.1, mikado.HiC_scaffold_5.0G538.1	EVM0017492.1	KUTeg_017927, KUTeg_014590
N0.HOG0002707	OG0002085	n0	mikado.HiC_scaffold_17.0G324.1, mikado.HiC_scaffold_17.0G323.1, mikado.HiC_scaffold_5.0G1033.1, mikado.HiC_scaffold_5.0G541.1, mikado.HiC_scaffold_17.0G322.1		
N0.HOG0002708	OG0002086	n0	mikado.HiC_scaffold_5.0G570.1, mikado.HiC_scaffold_5.0G570.2, mikado.HiC_scaffold_5.0G571.1	EVM0005150.1	KUTeg_017610
N0.HOG0002709	OG0002087	n0	mikado.HiC_scaffold_5.0G596.1, mikado.HiC_scaffold_5.0G598.1	EVM0006705.1, EVM0004822.1	KUTeg_017656
N0.HOG0002710	OG0002088	n0	mikado.HiC_scaffold_5.0G643.1	EVM0016609.1	KUTeg_018276, KUTeg_018278, KUTeg_018279
N0.HOG0002711	OG0002089	n0	mikado.HiC_scaffold_5.0G680.1, mikado.HiC_scaffold_5.0G680.2	EVM0004310.1	KUTeg_007688, KUTeg_017490
N0.HOG0002712	OG0002090	n0	mikado.HiC_scaffold_8.8335562G328.1, mikado.HiC_scaffold_5.0G691.1, mikado.HiC_scaffold_900G1.1, mikado.HiC_scaffold_8.8335562G334.1	EVM0018888.1	
N0.HOG0002713	OG0002091	n1	mikado.HiC_scaffold_5.0G697.1	EVM0002112.1	KUTeg_018131
N0.HOG0002714	OG0002091	n3	mikado.HiC_scaffold_5.0G696.1	EVM0023742.1	
N0.HOG0002715	OG0002092	n1	mikado.HiC_scaffold_5.0G701.1		KUTeg_018078
N0.HOG0002716	OG0002092	n2	mikado.HiC_scaffold_5.0G702.1	EVM0018232.1	KUTeg_018077
N0.HOG0002717	OG0002093	n0	mikado.HiC_scaffold_5.0G717.2, mikado.HiC_scaffold_5.0G717.1, mikado.HiC_scaffold_5.0G718.1	EVM0004810.1	KUTeg_017572
N0.HOG0002718	OG0002094	n0	mikado.HiC_scaffold_5.0G728.1, mikado.HiC_scaffold_5.0G728.3, mikado.HiC_scaffold_5.0G728.2	EVM0018993.1	KUTeg_017555
N0.HOG0002719	OG0002095	n0	mikado.HiC_scaffold_5.0G734.1	EVM0001166.1, EVM0023946.1	KUTeg_018142, KUTeg_018141
N0.HOG0002720	OG0002096	n0	mikado.HiC_scaffold_5.0G762.4, mikado.HiC_scaffold_5.0G762.3, mikado.HiC_scaffold_5.0G762.1	EVM0023975.1	KUTeg_018559
N0.HOG0002721	OG0002097	n0	mikado.HiC_scaffold_5.0G767.1, mikado.HiC_scaffold_5.0G767.2	EVM0014431.1	KUTeg_018040, KUTeg_018037
N0.HOG0002722	OG0002098	n0	mikado.HiC_scaffold_5.0G881.1, mikado.HiC_scaffold_5.0G885.1, mikado.HiC_scaffold_5.0G884.1	EVM0006615.1, EVM0018569.1	
N0.HOG0002723	OG0002099	n0	mikado.HiC_scaffold_301G3.1, mikado.HiC_scaffold_17.0G3.1, mikado.HiC_scaffold_134G4.1, mikado.HiC_scaffold_5.0G889.1		KUTeg_018790
N0.HOG0002724	OG0002100	n0	mikado.HiC_scaffold_5.0G890.1	EVM0018210.1, EVM0009387.1	KUTeg_018194, KUTeg_019095
N0.HOG0002725	OG0002101	n0	mikado.HiC_scaffold_5.0G951.1	EVM0008369.1	KUTeg_018152, KUTeg_018153, KUTeg_018129
N0.HOG0002726	OG0002102	n0	mikado.HiC_scaffold_5.0G976.1	EVM0001713.1, EVM0009880.1, EVM0016108.1	KUTeg_017734
N0.HOG0002727	OG0002103	n0	mikado.HiC_scaffold_5.0G1029.1	EVM0008360.1	KUTeg_017860, KUTeg_017859, KUTeg_017863
N0.HOG0002728	OG0002104	n1	mikado.HiC_scaffold_17.0G424.1	EVM0012116.1	
N0.HOG0002729	OG0002104	n2	mikado.HiC_scaffold_5.0G1057.1	EVM0012384.1, EVM0013001.1	
N0.HOG0002730	OG0002105	n0	mikado.HiC_scaffold_5.0G1109.1	EVM0019621.1, EVM0015340.1	KUTeg_017523, KUTeg_017526
N0.HOG0002731	OG0002106	n0	mikado.HiC_scaffold_5.0G1131.1	EVM0002873.1, EVM0001921.1, EVM0021719.1, EVM0022356.1	
N0.HOG0002732	OG0002107	n0	mikado.HiC_scaffold_5.0G1204.1	EVM0022487.1, EVM0008027.1	KUTeg_018085, KUTeg_017743
N0.HOG0002733	OG0002108	n0	mikado.HiC_scaffold_5.0G1214.1, mikado.HiC_scaffold_5.0G1216.1	EVM0021509.1	KUTeg_018258, KUTeg_017828
N0.HOG0002734	OG0002109	n0	mikado.HiC_scaffold_5.0G1232.3, mikado.HiC_scaffold_5.0G1232.1, mikado.HiC_scaffold_5.0G1232.2	EVM0016798.1	KUTeg_018461
N0.HOG0002735	OG0002110	n0	mikado.HiC_scaffold_5.0G1254.1, mikado.HiC_scaffold_5.0G1253.1, mikado.HiC_scaffold_5.0G1257.1	EVM0019575.1	KUTeg_018567
N0.HOG0002736	OG0002111	n0	mikado.HiC_scaffold_5.0G1271.1	EVM0020275.1, EVM0013981.1	KUTeg_018370, KUTeg_017928
N0.HOG0002737	OG0002112	n0	mikado.HiC_scaffold_5.0G1276.3, mikado.HiC_scaffold_5.0G1276.1, mikado.HiC_scaffold_5.0G1276.4	EVM0006135.2	KUTeg_018305
N0.HOG0002738	OG0002113	n0	mikado.HiC_scaffold_5.0G1288.1, mikado.HiC_scaffold_5.0G1289.1	EVM0019741.1, EVM0006393.1	KUTeg_017989
N0.HOG0002739	OG0002114	n0	mikado.HiC_scaffold_5.0G1290.1, mikado.HiC_scaffold_13.0G160.1, mikado.HiC_scaffold_12.3160685G1497.1	EVM0022768.1	KUTeg_007597
N0.HOG0002740	OG0002115	n0	mikado.HiC_scaffold_5.0G1332.1	EVM0013156.1, EVM0012056.1	KUTeg_017575, KUTeg_017574
N0.HOG0002741	OG0002116	n0	mikado.HiC_scaffold_7.0G11.1	EVM0007413.1, EVM0015981.1	KUTeg_024651, KUTeg_024645
N0.HOG0002742	OG0002117	n0	mikado.HiC_scaffold_7.0G34.1, mikado.HiC_scaffold_7.0G20.1, mikado.HiC_scaffold_7.0G1110.1, mikado.HiC_scaffold_7.0G1172.1, mikado.HiC_scaffold_7.0G1172.2		
