HOG	OG	Gene Tree Parent Clade	Azeb	Sbro	Tgra
N1.HOG0000677	OG0000348	n1		EVM0010988.1, EVM0023881.1	
N1.HOG0000678	OG0000348	n5		EVM0021871.1, EVM0006881.1, EVM0002568.1, EVM0000159.1	KUTeg_010563
N1.HOG0000679	OG0000349	n0		EVM0018228.1, EVM0021228.1, EVM0016134.1, EVM0020924.1, EVM0006684.1, EVM0015827.1	KUTeg_005807, KUTeg_005253, KUTeg_000310, KUTeg_002178
N1.HOG0000680	OG0000350	n2		EVM0014536.1, EVM0022693.1	
N1.HOG0000681	OG0000350	n6		EVM0022859.1	KUTeg_012606, KUTeg_005848, KUTeg_014752
N1.HOG0000682	OG0000350	n9		EVM0004257.1	KUTeg_017269
N1.HOG0000683	OG0000351	n0		EVM0005964.1	KUTeg_015662, KUTeg_017692, KUTeg_017693, KUTeg_004680, KUTeg_024123, KUTeg_011659, KUTeg_015661, KUTeg_001419, KUTeg_010564
N1.HOG0000684	OG0000352	n0			KUTeg_008041, KUTeg_002306, KUTeg_002203, KUTeg_010871, KUTeg_002304, KUTeg_024680, KUTeg_010876, KUTeg_001259, KUTeg_011511, KUTeg_010775
N1.HOG0000685	OG0000353	n0		EVM0017148.1, EVM0010997.1, EVM0009927.1, EVM0008198.1, EVM0016572.1, EVM0017877.1, EVM0010788.1, EVM0002124.1, EVM0019537.1	KUTeg_018834
N1.HOG0000686	OG0000354	n6		EVM0001123.1	KUTeg_011017
N1.HOG0000687	OG0000354	n7		EVM0008720.1	KUTeg_006861, KUTeg_007736
N1.HOG0000688	OG0000354	n9		EVM0019040.1	KUTeg_006862
N1.HOG0000689	OG0000355	n0			KUTeg_014485, KUTeg_007934, KUTeg_014483, KUTeg_009014, KUTeg_007935, KUTeg_014911, KUTeg_012984
N1.HOG0000690	OG0000356	n0		EVM0010097.1	KUTeg_022900
N1.HOG0000691	OG0000357	n0		EVM0020260.1, EVM0019361.1, EVM0008396.1, EVM0017982.1	
N1.HOG0000692	OG0000358	n2		EVM0014342.1, EVM0023370.1	
N1.HOG0000693	OG0000358	n8		EVM0012334.1	
N1.HOG0000694	OG0000358	n9		EVM0010643.1	
N1.HOG0000695	OG0000359	n3		EVM0005069.1	KUTeg_007880, KUTeg_007878, KUTeg_000868, KUTeg_007879
N1.HOG0000696	OG0000359	n7		EVM0001997.1	KUTeg_000867, KUTeg_012135, KUTeg_010994
N1.HOG0000697	OG0000360	n1		EVM0003617.1	KUTeg_022145, KUTeg_008991, KUTeg_022146, KUTeg_021869, KUTeg_008992
N1.HOG0000698	OG0000360	n6		EVM0010929.1, EVM0000135.1, EVM0012117.1	KUTeg_011820, KUTeg_023467
N1.HOG0000699	OG0000361	n1		EVM0021061.1, EVM0001558.1, EVM0021582.1	KUTeg_008565, KUTeg_001427
N1.HOG0000700	OG0000361	n5		EVM0008168.1, EVM0021074.1, EVM0023636.1	KUTeg_022295, KUTeg_022445, KUTeg_022635
N1.HOG0000701	OG0000362	n0		EVM0004230.1, EVM0014054.1, EVM0003944.1, EVM0022938.1, EVM0022896.1, EVM0022220.1, EVM0001125.1, EVM0008191.1, EVM0014440.1	KUTeg_006476, KUTeg_006479
N1.HOG0000702	OG0000363	n0		EVM0008675.1, EVM0008603.1, EVM0011806.1, EVM0013329.1, EVM0017008.1, EVM0001175.1, EVM0010616.1, EVM0020002.1, EVM0002203.1, EVM0008317.1	KUTeg_016222
N1.HOG0000703	OG0000364	n0		EVM0023297.1, EVM0001081.1, EVM0002409.1, EVM0013139.1, EVM0016397.1, EVM0009116.1, EVM0004393.1, EVM0022847.1, EVM0015395.1, EVM0006222.1	KUTeg_015291
N1.HOG0000704	OG0000365	n0		EVM0000956.1, EVM0018054.1, EVM0001160.1, EVM0010220.1, EVM0020582.1, EVM0010876.1, EVM0018413.1, EVM0007471.1, EVM0010410.1, EVM0015962.1	KUTeg_007169
N1.HOG0000705	OG0000366	n1		EVM0015328.1	KUTeg_024222, KUTeg_024220, KUTeg_018776
N1.HOG0000706	OG0000366	n4		EVM0003792.1	KUTeg_010324, KUTeg_008592, KUTeg_008593, KUTeg_020591, KUTeg_010323, KUTeg_007717
N1.HOG0000707	OG0000367	n0		EVM0012678.1	KUTeg_011160, KUTeg_007439, KUTeg_007444, KUTeg_007344, KUTeg_007336, KUTeg_007314, KUTeg_006645, KUTeg_006646, KUTeg_007307, KUTeg_007309
N1.HOG0000708	OG0000368	n0		EVM0018489.1, EVM0007435.1, EVM0000120.1, EVM0015075.1, EVM0016369.1, EVM0020651.1, EVM0017737.1, EVM0015608.1, EVM0014762.1, EVM0017622.1	KUTeg_010685
N1.HOG0000709	OG0000369	n0		EVM0011321.1	KUTeg_001277, KUTeg_022231, KUTeg_001276, KUTeg_021940, KUTeg_005702, KUTeg_009161, KUTeg_014630, KUTeg_011913, KUTeg_001292, KUTeg_011254
N1.HOG0000710	OG0000370	n0		EVM0016275.1, EVM0018433.1, EVM0003718.1, EVM0002760.1, EVM0019446.1, EVM0009621.1, EVM0022236.1, EVM0003497.1, EVM0015449.1, EVM0018870.1	KUTeg_022437
N1.HOG0000711	OG0000371	n0		EVM0007799.1	KUTeg_012018, KUTeg_011364, KUTeg_012015, KUTeg_011890, KUTeg_002709, KUTeg_012020, KUTeg_012019, KUTeg_002710, KUTeg_012021, KUTeg_012014
N1.HOG0000712	OG0000372	n0		EVM0015353.1, EVM0015511.1, EVM0009564.1, EVM0019233.1, EVM0005914.1, EVM0017171.1, EVM0021178.1, EVM0001898.1, EVM0019127.1, EVM0021924.1, EVM0011620.1	
N1.HOG0000713	OG0000373	n0		EVM0012861.1, EVM0017286.1, EVM0018628.1, EVM0000069.1, EVM0002243.1, EVM0000283.1, EVM0023496.1, EVM0023187.1, EVM0019399.1, EVM0020409.1, EVM0014102.1	
N1.HOG0000714	OG0000374	n0			KUTeg_017861, KUTeg_020775, KUTeg_023539, KUTeg_011348, KUTeg_014851, KUTeg_015876, KUTeg_020774, KUTeg_004021, KUTeg_001659, KUTeg_003873, KUTeg_018286
N1.HOG0000715	OG0000375	n0			KUTeg_001947, KUTeg_003734, KUTeg_017172, KUTeg_011648, KUTeg_003119, KUTeg_003114, KUTeg_022059, KUTeg_022058, KUTeg_018706, KUTeg_009216, KUTeg_017255
N1.HOG0000716	OG0000376	n0			KUTeg_017570, KUTeg_018433, KUTeg_014643, KUTeg_019647, KUTeg_016172, KUTeg_015847, KUTeg_007212, KUTeg_019055, KUTeg_002944, KUTeg_022543, KUTeg_008275
N1.HOG0000717	OG0000377	n0			KUTeg_020406, KUTeg_004085, KUTeg_004118, KUTeg_009260, KUTeg_014856, KUTeg_014603, KUTeg_001003, KUTeg_001755, KUTeg_002674, KUTeg_009265, KUTeg_019004
N1.HOG0000718	OG0000378	n0			KUTeg_009539, KUTeg_014645, KUTeg_017607, KUTeg_004961, KUTeg_014648, KUTeg_002800, KUTeg_007514, KUTeg_019759, KUTeg_008969, KUTeg_008410, KUTeg_013946
N1.HOG0000719	OG0000379	n0			KUTeg_004615, KUTeg_014843, KUTeg_002716, KUTeg_011353, KUTeg_004614, KUTeg_004616, KUTeg_014842, KUTeg_002780, KUTeg_012012, KUTeg_012017, KUTeg_012013
N1.HOG0000720	OG0000380	n0			KUTeg_001088, KUTeg_006492, KUTeg_006100, KUTeg_014749, KUTeg_001085, KUTeg_006291, KUTeg_006097, KUTeg_009299, KUTeg_011270, KUTeg_000184, KUTeg_011273
N1.HOG0000721	OG0000381	n1		Sbro-opn5a	Tgra-opn5a, KUTeg_009497
N1.HOG0000722	OG0000381	n4		EVM0013183.1, Sbro-opn5b	KUTeg_010374, Tgra-opn5b
N1.HOG0000723	OG0000382	n0		EVM0002609.1, EVM0007575.1, EVM0020195.1, EVM0002753.1, EVM0010571.1, EVM0016781.1	KUTeg_002867, KUTeg_005147, KUTeg_012727
N1.HOG0000724	OG0000384	n1		EVM0005009.1	KUTeg_019122
N1.HOG0000725	OG0000384	n3		EVM0008256.1, EVM0004405.1, EVM0018859.1	KUTeg_018954, KUTeg_002758, KUTeg_004869
N1.HOG0000726	OG0000385	n0		EVM0003710.1	
N1.HOG0000727	OG0000386	n0		EVM0022408.1, EVM0015996.1, EVM0000359.1	KUTeg_000905
N1.HOG0000728	OG0000387	n0		EVM0018436.1, EVM0017211.1, EVM0009655.1, EVM0008611.1, EVM0007353.1, EVM0011773.1	
N1.HOG0000729	OG0000388	n1		EVM0019623.1	
N1.HOG0000730	OG0000388	n3		EVM0020327.1, EVM0017079.1	
N1.HOG0000731	OG0000388	n5		EVM0006590.1, EVM0003444.1, EVM0019388.1	
N1.HOG0000732	OG0000389	n1			KUTeg_017112
N1.HOG0000733	OG0000389	n7			KUTeg_002150
N1.HOG0000734	OG0000389	n8			KUTeg_007308
N1.HOG0000735	OG0000390	n1		EVM0022695.1	
N1.HOG0000736	OG0000390	n2		EVM0023076.1	
N1.HOG0000737	OG0000391	n0		EVM0015361.1, EVM0004636.1	
N1.HOG0000738	OG0000392	n0		EVM0016448.1, EVM0002232.1, EVM0022774.1, EVM0013989.1, EVM0017979.1, EVM0018723.1, EVM0000875.1, EVM0016455.1, EVM0016964.1	
N1.HOG0000739	OG0000393	n1			KUTeg_009370, KUTeg_009364
N1.HOG0000740	OG0000393	n4		EVM0006452.1, EVM0018286.2	KUTeg_009920
N1.HOG0000741	OG0000394	n4		EVM0016258.1	KUTeg_003792, KUTeg_003012
N1.HOG0000742	OG0000394	n6		EVM0021121.1	KUTeg_009362
N1.HOG0000743	OG0000394	n7			KUTeg_023980, KUTeg_014696, KUTeg_014699
N1.HOG0000744	OG0000395	n0		EVM0017257.1, EVM0011186.1	
N1.HOG0000745	OG0000396	n1		EVM0001079.1, EVM0007421.1, EVM0013620.1, EVM0016573.1, EVM0021820.1	KUTeg_014606
N1.HOG0000746	OG0000396	n7		EVM0021736.1, EVM0014739.1	
N1.HOG0000747	OG0000397	n1		EVM0010076.1	
N1.HOG0000748	OG0000397	n3		EVM0017212.1	KUTeg_007691
N1.HOG0000749	OG0000398	n1		EVM0000749.1	KUTeg_013564
N1.HOG0000750	OG0000398	n3		EVM0014695.1, EVM0011516.1, EVM0006277.1	KUTeg_015697
N1.HOG0000751	OG0000399	n0		EVM0001005.1, EVM0003146.1	KUTeg_000753
N1.HOG0000752	OG0000400	n1		EVM0005653.1	
N1.HOG0000753	OG0000400	n2		EVM0017812.1, EVM0010987.1	KUTeg_022387, KUTeg_022394
N1.HOG0000754	OG0000401	n0		EVM0006481.1, EVM0016853.1, EVM0003948.1, EVM0007163.1, EVM0018557.1, EVM0012482.1, EVM0012580.1, EVM0010916.1	KUTeg_000503
N1.HOG0000755	OG0000402	n1		EVM0001372.1, EVM0010985.1, EVM0012440.1	KUTeg_000614
N1.HOG0000756	OG0000402	n5		EVM0015985.1, EVM0007702.1, EVM0023179.1	KUTeg_000114
N1.HOG0000757	OG0000403	n4		EVM0011269.1	KUTeg_013361
N1.HOG0000758	OG0000403	n6		EVM0019181.1	KUTeg_014241
N1.HOG0000759	OG0000403	n7		EVM0016239.1, EVM0021718.1	KUTeg_013963
N1.HOG0000760	OG0000404	n4		EVM0014474.1	KUTeg_000622
N1.HOG0000761	OG0000404	n5		EVM0009015.1, EVM0013704.1	KUTeg_000621, KUTeg_006483, KUTeg_001212
N1.HOG0000762	OG0000405	n1		EVM0013316.1, EVM0007628.1	KUTeg_022104
N1.HOG0000763	OG0000405	n7			KUTeg_022219
N1.HOG0000764	OG0000407	n1		EVM0012605.1	
N1.HOG0000765	OG0000407	n2		EVM0008070.1, EVM0014951.1, EVM0012950.1, EVM0003775.1, EVM0006023.1, EVM0013547.1	
N1.HOG0000766	OG0000409	n3			KUTeg_015622
N1.HOG0000767	OG0000409	n4			KUTeg_008853
N1.HOG0000768	OG0000409	n5		EVM0005812.1, EVM0014853.1	KUTeg_018102, KUTeg_023906
N1.HOG0000769	OG0000410	n1		EVM0009803.1	KUTeg_008117
N1.HOG0000770	OG0000410	n4		EVM0009321.1, EVM0021660.1, EVM0000968.1	KUTeg_008869
N1.HOG0000771	OG0000411	n1		EVM0007087.1	KUTeg_014995, KUTeg_015151
N1.HOG0000772	OG0000411	n6		EVM0020052.1	KUTeg_015157
N1.HOG0000773	OG0000412	n1			KUTeg_005919
N1.HOG0000774	OG0000412	n2			KUTeg_000012, KUTeg_001000, KUTeg_014602, KUTeg_001199, KUTeg_014855, KUTeg_002810
N1.HOG0000775	OG0000413	n1		EVM0010435.1	KUTeg_016370
N1.HOG0000776	OG0000413	n6			KUTeg_015185
N1.HOG0000777	OG0000413	n7			KUTeg_022570
N1.HOG0000778	OG0000414	n1			KUTeg_020385, KUTeg_017434
N1.HOG0000779	OG0000414	n3		EVM0009912.1	KUTeg_018133, KUTeg_020386, KUTeg_020391, KUTeg_020922, KUTeg_020392
N1.HOG0000780	OG0000415	n1		EVM0023419.1	
N1.HOG0000781	OG0000415	n3		EVM0016894.1	
N1.HOG0000782	OG0000415	n4		EVM0018105.1	
N1.HOG0000783	OG0000416	n1		EVM0018024.1	KUTeg_022332
N1.HOG0000784	OG0000416	n4		EVM0012820.1, EVM0017780.1, EVM0003508.1	KUTeg_011082
N1.HOG0000785	OG0000418	n0		EVM0001280.1, EVM0012289.1, EVM0011873.1, EVM0013282.1, EVM0015780.1, EVM0016819.1, EVM0023611.2, EVM0017247.1, EVM0007600.1	
N1.HOG0000786	OG0000419	n0		EVM0021899.1, EVM0012616.1, EVM0020918.1, EVM0014107.1, EVM0011125.1, EVM0007876.1, EVM0001036.1, EVM0001522.1	KUTeg_022359
N1.HOG0000787	OG0000420	n0		EVM0016687.1	
N1.HOG0000788	OG0000421	n0			KUTeg_006833, KUTeg_009639, KUTeg_005814, KUTeg_014941, KUTeg_010676, KUTeg_009615, KUTeg_017362, KUTeg_016730
N1.HOG0000789	OG0000422	n0		EVM0010242.1, EVM0007833.1, EVM0018262.1, EVM0000675.1, EVM0019430.1, EVM0021930.1	
N1.HOG0000790	OG0000423	n0		EVM0004757.1	KUTeg_006205, KUTeg_006001, KUTeg_006214
N1.HOG0000791	OG0000424	n4		EVM0007731.1	KUTeg_013788
N1.HOG0000792	OG0000424	n5		EVM0014836.1	KUTeg_013786, KUTeg_013787
N1.HOG0000793	OG0000424	n7		EVM0022635.1	KUTeg_013785, KUTeg_013199
N1.HOG0000794	OG0000425	n1		EVM0005090.1	KUTeg_005312
N1.HOG0000795	OG0000425	n5		EVM0010631.1	KUTeg_003769
N1.HOG0000796	OG0000425	n7		EVM0020727.1	KUTeg_020507
N1.HOG0000797	OG0000426	n0		EVM0008671.1, EVM0002273.1	KUTeg_004482
N1.HOG0000798	OG0000427	n2		EVM0014097.1	KUTeg_003420, KUTeg_011802
N1.HOG0000799	OG0000427	n4		EVM0016320.1, EVM0010313.1, EVM0015232.1, EVM0000823.1, EVM0017333.1	KUTeg_011801
N1.HOG0000800	OG0000428	n0			KUTeg_009204, KUTeg_019144, KUTeg_015381, KUTeg_015276, KUTeg_007252, KUTeg_008277, KUTeg_011881, KUTeg_008278, KUTeg_000941
N1.HOG0000801	OG0000429	n0		EVM0010937.1, EVM0012227.1	KUTeg_018296, KUTeg_001159, KUTeg_004821, KUTeg_021818, KUTeg_022559, KUTeg_022556, KUTeg_022565
N1.HOG0000802	OG0000430	n1		EVM0020082.1	KUTeg_011127
N1.HOG0000803	OG0000430	n3		EVM0012451.1	KUTeg_002846, KUTeg_010895, KUTeg_002848
N1.HOG0000804	OG0000432	n1		EVM0007537.1	KUTeg_016552
N1.HOG0000805	OG0000432	n3		EVM0013434.1	
N1.HOG0000806	OG0000433	n0		EVM0020430.1	KUTeg_011103, KUTeg_000229
N1.HOG0000807	OG0000434	n0		EVM0018963.1, EVM0008063.1	KUTeg_006175
N1.HOG0000808	OG0000435	n1		EVM0015451.1, EVM0022808.1, EVM0022762.1	KUTeg_001550
N1.HOG0000809	OG0000435	n5		EVM0022825.1	KUTeg_017355, KUTeg_001945
N1.HOG0000810	OG0000436	n2			KUTeg_023115, KUTeg_023458, KUTeg_023847
N1.HOG0000811	OG0000436	n6		EVM0013827.1	KUTeg_023846, KUTeg_023455
N1.HOG0000812	OG0000436	n8		EVM0021285.1	KUTeg_001571
N1.HOG0000813	OG0000438	n1		EVM0007914.1	KUTeg_016333, KUTeg_016336
N1.HOG0000814	OG0000438	n4		EVM0011856.1	KUTeg_016334, KUTeg_016332, KUTeg_016335, KUTeg_016331
N1.HOG0000815	OG0000439	n1		EVM0010403.1	
N1.HOG0000816	OG0000439	n4		EVM0014955.1	KUTeg_016997
N1.HOG0000817	OG0000439	n7		EVM0015004.1, EVM0021138.1	
N1.HOG0000818	OG0000440	n3		EVM0016654.1, EVM0010317.1, EVM0008261.1, EVM0011847.1, EVM0016642.1	KUTeg_006497
N1.HOG0000819	OG0000440	n8		EVM0012938.1	KUTeg_010067
N1.HOG0000820	OG0000441	n0		EVM0019006.1	KUTeg_016605
N1.HOG0000821	OG0000442	n0		EVM0009910.1	KUTeg_001818
N1.HOG0000822	OG0000443	n0			KUTeg_024803, KUTeg_011286, KUTeg_013154, KUTeg_012835, KUTeg_019460, KUTeg_018664, KUTeg_018708, KUTeg_015664, KUTeg_013153
N1.HOG0000823	OG0000444	n2		EVM0020039.1	KUTeg_021840, KUTeg_021993, KUTeg_022108, KUTeg_022107
N1.HOG0000824	OG0000444	n6		EVM0003044.1	KUTeg_021839, KUTeg_021837, KUTeg_021838
N1.HOG0000825	OG0000445	n2		EVM0016768.1	KUTeg_004877
N1.HOG0000826	OG0000445	n4		EVM0008197.1	KUTeg_005177
N1.HOG0000827	OG0000445	n6		EVM0022511.1	KUTeg_002228, KUTeg_002224
N1.HOG0000828	OG0000445	n8		EVM0002620.1	KUTeg_001418
N1.HOG0000829	OG0000446	n1			KUTeg_004750
N1.HOG0000830	OG0000446	n2			KUTeg_008964, KUTeg_015929, KUTeg_018357, KUTeg_008054, KUTeg_014674, KUTeg_004749
N1.HOG0000831	OG0000447	n1		EVM0023189.1	
N1.HOG0000832	OG0000447	n4		EVM0019415.1, EVM0009403.1	KUTeg_021347
N1.HOG0000833	OG0000447	n6		EVM0001138.1	KUTeg_020187
N1.HOG0000834	OG0000448	n1		EVM0012439.1, EVM0017048.1	
N1.HOG0000835	OG0000448	n3		EVM0021634.1, EVM0012372.1, EVM0019057.1	KUTeg_011737, KUTeg_011260, KUTeg_005861
N1.HOG0000836	OG0000449	n4		EVM0020640.1	KUTeg_020733
N1.HOG0000837	OG0000449	n5		EVM0010390.1	KUTeg_020734
N1.HOG0000838	OG0000449	n6		EVM0004573.1, EVM0020235.1	KUTeg_020050, KUTeg_020048
N1.HOG0000839	OG0000450	n1		EVM0005199.1	KUTeg_012276, KUTeg_010589
N1.HOG0000840	OG0000450	n5		EVM0012541.1	KUTeg_012277
N1.HOG0000841	OG0000451	n1		EVM0020339.1	KUTeg_014943, KUTeg_015390
N1.HOG0000842	OG0000451	n4		EVM0019700.1, EVM0015580.1, EVM0000574.1	KUTeg_021556
N1.HOG0000843	OG0000452	n0		EVM0022787.1, EVM0008262.1, EVM0021581.1, EVM0022088.1, EVM0013727.1, EVM0007137.1, EVM0012395.1	KUTeg_023019, KUTeg_012795
N1.HOG0000844	OG0000453	n1		EVM0003339.2, EVM0001547.1	KUTeg_015343, KUTeg_001166, KUTeg_001155
N1.HOG0000845	OG0000453	n7		EVM0002322.1	KUTeg_006811
N1.HOG0000846	OG0000454	n1		EVM0013301.1, EVM0016403.1, EVM0020353.1	KUTeg_012301
N1.HOG0000847	OG0000454	n5		EVM0007148.1	KUTeg_012300, KUTeg_012790
N1.HOG0000848	OG0000455	n1		EVM0002740.1	KUTeg_013350, KUTeg_013348
N1.HOG0000849	OG0000455	n5			KUTeg_013349
N1.HOG0000850	OG0000456	n0		EVM0016602.1	KUTeg_008791, KUTeg_008789, KUTeg_008790
N1.HOG0000851	OG0000457	n0		EVM0016180.1	KUTeg_000736, KUTeg_005967, KUTeg_005963, KUTeg_005965, KUTeg_005964, KUTeg_012387, KUTeg_012206, KUTeg_012376
N1.HOG0000852	OG0000458	n1		EVM0018160.1, EVM0000171.1	
N1.HOG0000853	OG0000458	n6		EVM0024026.1, EVM0012438.1	KUTeg_018156
N1.HOG0000854	OG0000459	n1		EVM0000824.1	KUTeg_019881
N1.HOG0000855	OG0000459	n4		EVM0010620.1, EVM0013847.1	KUTeg_019496
N1.HOG0000856	OG0000459	n7		EVM0002430.1	KUTeg_019376, KUTeg_019379
N1.HOG0000857	OG0000460	n1		EVM0013092.1	KUTeg_019676
N1.HOG0000858	OG0000460	n4		EVM0018577.1, EVM0007270.1, EVM0018474.1, EVM0002090.1, EVM0017103.1	
N1.HOG0000859	OG0000461	n2			KUTeg_019970, KUTeg_011467
N1.HOG0000860	OG0000461	n6			KUTeg_018892
N1.HOG0000861	OG0000461	n8			KUTeg_018893
N1.HOG0000862	OG0000462	n2		EVM0015640.1, EVM0011065.1, EVM0023298.1, EVM0006141.1, EVM0010481.1, EVM0001100.1	KUTeg_022412
N1.HOG0000863	OG0000462	n8		EVM0007176.1	KUTeg_021846
N1.HOG0000864	OG0000463	n0			KUTeg_014853, KUTeg_005688, KUTeg_006080, KUTeg_008451, KUTeg_005802, KUTeg_014608, KUTeg_012410, KUTeg_002811, KUTeg_009259
N1.HOG0000865	OG0000464	n2		EVM0019641.1	KUTeg_009907
N1.HOG0000866	OG0000464	n4		EVM0011799.1, EVM0001484.1	KUTeg_021633, KUTeg_021634
N1.HOG0000867	OG0000464	n7		EVM0001673.1, EVM0009747.1	KUTeg_009912
N1.HOG0000868	OG0000465	n0			KUTeg_011916, KUTeg_005755, KUTeg_001217, KUTeg_013864, KUTeg_022801, KUTeg_023748, KUTeg_005858, KUTeg_022201, KUTeg_023400
N1.HOG0000869	OG0000467	n1		EVM0016024.1	KUTeg_017215
N1.HOG0000870	OG0000467	n3		EVM0018233.1	KUTeg_002522, KUTeg_002524, KUTeg_008972, KUTeg_002520
N1.HOG0000871	OG0000468	n1		EVM0013319.1	KUTeg_001589
N1.HOG0000872	OG0000468	n5		EVM0004667.1	KUTeg_001588
N1.HOG0000873	OG0000468	n7		EVM0017719.1, EVM0013305.1	KUTeg_022006
N1.HOG0000874	OG0000469	n4		EVM0005909.1	KUTeg_004798
N1.HOG0000875	OG0000469	n5		EVM0010528.1	KUTeg_004797
N1.HOG0000876	OG0000469	n6		EVM0004328.1	KUTeg_001786
N1.HOG0000877	OG0000470	n0		EVM0008382.1, EVM0013286.1, EVM0006052.1, EVM0006181.1	KUTeg_005782
N1.HOG0000878	OG0000471	n1		EVM0016769.1	KUTeg_023801
N1.HOG0000879	OG0000471	n3		EVM0003451.1	KUTeg_023024, KUTeg_022886, KUTeg_023792, KUTeg_023027, KUTeg_023348
N1.HOG0000880	OG0000472	n1		EVM0019391.1	KUTeg_007950
N1.HOG0000881	OG0000472	n6		EVM0001445.1	KUTeg_006911, KUTeg_007430
N1.HOG0000882	OG0000472	n8		EVM0023319.1	KUTeg_007954
N1.HOG0000883	OG0000473	n3		EVM0002607.1	KUTeg_012133, KUTeg_024815, KUTeg_010692, KUTeg_002887, KUTeg_005703
N1.HOG0000884	OG0000473	n8		EVM0009797.1	KUTeg_015277
N1.HOG0000885	OG0000474	n0		EVM0005275.1	
N1.HOG0000886	OG0000475	n0		EVM0008911.1	KUTeg_006614, KUTeg_007659, KUTeg_002787, KUTeg_007660, KUTeg_014478, KUTeg_007128, KUTeg_007658, KUTeg_007657
N1.HOG0000887	OG0000476	n1		EVM0010509.1	KUTeg_007254
N1.HOG0000888	OG0000476	n5		EVM0005194.1	
N1.HOG0000889	OG0000476	n7		EVM0018762.1, EVM0018334.1	
N1.HOG0000890	OG0000477	n3		EVM0019339.1, EVM0002002.1	KUTeg_006595, KUTeg_005729
N1.HOG0000891	OG0000477	n6		EVM0023063.1, EVM0019158.1	KUTeg_005730, KUTeg_006598
N1.HOG0000892	OG0000478	n0		EVM0014227.1, EVM0008121.1	KUTeg_001087, KUTeg_014748, KUTeg_001522, KUTeg_008975, KUTeg_022181, KUTeg_009065, KUTeg_009146
N1.HOG0000893	OG0000479	n0		EVM0010068.1, EVM0014338.1, EVM0020515.1, EVM0014876.1, EVM0007653.1, EVM0018333.1, EVM0013790.1, EVM0013133.1, EVM0005187.1, EVM0023455.1	
N1.HOG0000894	OG0000480	n1		EVM0013016.1, EVM0003970.1, EVM0017985.1	KUTeg_020009
N1.HOG0000895	OG0000480	n4		EVM0022871.1, EVM0005321.1, EVM0010834.1, EVM0004568.1, EVM0009677.1	KUTeg_009270
N1.HOG0000896	OG0000481	n1		EVM0008809.1	KUTeg_023431
N1.HOG0000897	OG0000481	n5		EVM0023404.1	KUTeg_001262
N1.HOG0000898	OG0000481	n6		EVM0019848.1	KUTeg_015493
N1.HOG0000899	OG0000481	n7		EVM0012945.1, EVM0022379.1, EVM0011662.1	
N1.HOG0000900	OG0000482	n1		EVM0006508.1, EVM0019423.1	KUTeg_010689
N1.HOG0000901	OG0000482	n3		EVM0000677.1, EVM0003809.1, EVM0015329.1, EVM0019511.1, EVM0019365.1, EVM0013323.1	KUTeg_002798
N1.HOG0000902	OG0000483	n0		EVM0005019.1, EVM0008359.1, EVM0018937.1, EVM0023117.1, EVM0004555.1, EVM0018730.1, EVM0021896.1	KUTeg_011180, KUTeg_010569, KUTeg_000904
N1.HOG0000903	OG0000484	n1		EVM0012767.1	KUTeg_000644, KUTeg_001968
N1.HOG0000904	OG0000484	n4		EVM0007448.1, EVM0013143.1	KUTeg_020475
N1.HOG0000905	OG0000484	n6		EVM0004395.1	KUTeg_010978, KUTeg_008845, KUTeg_022881
N1.HOG0000906	OG0000485	n0		EVM0006236.1, EVM0000828.1, EVM0006696.1, EVM0001078.1, EVM0011909.1, EVM0023807.1, EVM0023704.1, EVM0020869.1, EVM0003968.1	KUTeg_023530
N1.HOG0000907	OG0000486	n0		EVM0015105.1, EVM0013996.1, EVM0023798.1, EVM0021689.1, EVM0018586.1, EVM0008195.1, EVM0022529.1, EVM0018194.1, EVM0006542.1, EVM0005578.1	
N1.HOG0000908	OG0000487	n0		EVM0017441.1, EVM0003622.1, EVM0015481.1, EVM0017283.1, EVM0019091.1, EVM0001680.1, EVM0012996.1, EVM0021885.1, EVM0021837.1, EVM0004021.1	
N1.HOG0000909	OG0000488	n0		EVM0023254.1, EVM0001021.1, EVM0021172.1, EVM0022218.1, EVM0018503.1, EVM0012600.1, EVM0001896.1, EVM0019007.1, EVM0017798.1	KUTeg_004469
N1.HOG0000910	OG0000489	n0		EVM0016209.1, EVM0011925.1, EVM0016832.1, EVM0009244.1, EVM0014351.1, EVM0013287.1, EVM0004577.1	KUTeg_002464, KUTeg_010111, KUTeg_018320
N1.HOG0000911	OG0000490	n0		EVM0010396.1, EVM0021358.1, EVM0007405.1, EVM0000124.1, EVM0018370.1, EVM0016783.1, EVM0017718.1, EVM0005323.1, EVM0006110.1	KUTeg_008376
N1.HOG0000912	OG0000491	n1		EVM0023853.1	KUTeg_000175
N1.HOG0000913	OG0000491	n3		EVM0005747.1, EVM0022586.1, EVM0021498.1	KUTeg_018783
N1.HOG0000914	OG0000491	n6		EVM0015717.1	KUTeg_020771, KUTeg_017208, KUTeg_001699
N1.HOG0000915	OG0000492	n0		EVM0013920.1	KUTeg_006559, KUTeg_011919, KUTeg_011258, KUTeg_010997, KUTeg_022250, KUTeg_006558, KUTeg_001079, KUTeg_022056, KUTeg_011918
N1.HOG0000916	OG0000493	n0		EVM0000408.1	KUTeg_017751, KUTeg_012103, KUTeg_003144, KUTeg_024444, KUTeg_017188, KUTeg_008744, KUTeg_015347, KUTeg_013112, KUTeg_013116
