Orthogroup	Species	Sbro	Orthologs
OG0000680	Azeb	EVM0006719.1	mikado.HiC_scaffold_19.0G1287.1, mikado.HiC_scaffold_12.3160685G1037.1, mikado.HiC_scaffold_1.0G457.1, mikado.HiC_scaffold_5.0G843.1, mikado.HiC_scaffold_14.0G608.1
OG0000681	Azeb	EVM0006832.1	mikado.HiC_scaffold_1.0G576.1
OG0000681	Tgra	EVM0006832.1	KUTeg_006203, KUTeg_004639, KUTeg_009054, KUTeg_005984, KUTeg_004640, KUTeg_005991
OG0000683	Azeb	EVM0017145.1	mikado.HiC_scaffold_18.0G366.1, mikado.HiC_scaffold_3.0G329.1, mikado.HiC_scaffold_3.0G330.1, mikado.HiC_scaffold_18.0G1325.1, mikado.HiC_scaffold_3.0G339.1, mikado.HiC_scaffold_1.0G869.1, mikado.HiC_scaffold_18.0G1117.1
OG0000685	Azeb	EVM0019911.1, EVM0013818.1, EVM0020133.1, EVM0017101.1, EVM0019850.1, EVM0023976.1, EVM0016451.1	mikado.HiC_scaffold_1.0G1025.1
OG0000686	Azeb	EVM0014406.1, EVM0007513.1	mikado.HiC_scaffold_1.0G1038.1
OG0000686	Azeb	EVM0024007.1	mikado.HiC_scaffold_1.0G1032.1, mikado.HiC_scaffold_1.0G1041.1
OG0000686	Tgra	EVM0024007.1	KUTeg_006420, KUTeg_006509
OG0000688	Azeb	EVM0007392.1	mikado.HiC_scaffold_1.0G1099.1, mikado.HiC_scaffold_1.0G1135.1, mikado.HiC_scaffold_1.0G1100.1, mikado.HiC_scaffold_21.0G237.1, mikado.HiC_scaffold_1.0G1101.1, mikado.HiC_scaffold_8.8335562G332.1, mikado.HiC_scaffold_1.0G1144.1
OG0000689	Azeb	EVM0000534.1, EVM0004055.1	mikado.HiC_scaffold_2.0G71.1, mikado.HiC_scaffold_2.0G73.1, mikado.HiC_scaffold_2.0G74.1, mikado.HiC_scaffold_2.0G75.1, mikado.HiC_scaffold_2.0G72.1
OG0000689	Tgra	EVM0000534.1, EVM0004055.1	KUTeg_010268
OG0000690	Azeb	EVM0013766.1	mikado.HiC_scaffold_15.0G2483.1, mikado.HiC_scaffold_18.0G1246.1, mikado.HiC_scaffold_15.0G1915.1, mikado.HiC_scaffold_2.0G118.1, mikado.HiC_scaffold_15.0G1788.1, mikado.HiC_scaffold_15.0G2462.1, mikado.HiC_scaffold_2.0G117.1
OG0000693	Azeb	EVM0004780.1	mikado.HiC_scaffold_21.0G169.1, mikado.HiC_scaffold_14.0G338.1, mikado.HiC_scaffold_8.8335562G432.1, mikado.HiC_scaffold_9.0G37.1, mikado.HiC_scaffold_2.0G206.2, mikado.HiC_scaffold_2.0G206.1, mikado.HiC_scaffold_17.0G242.1
OG0000694	Azeb	EVM0018402.1, EVM0022855.1	mikado.HiC_scaffold_2.0G293.1
OG0000694	Tgra	EVM0018402.1, EVM0022855.1	KUTeg_006773, KUTeg_022288, KUTeg_015572
OG0000695	Azeb	EVM0012973.1, EVM0006962.1, EVM0003707.1, EVM0019831.1, EVM0013331.1	mikado.HiC_scaffold_2.0G524.1
OG0000695	Tgra	EVM0012973.1, EVM0006962.1, EVM0003707.1, EVM0019831.1, EVM0013331.1	KUTeg_010383, KUTeg_010053
OG0000696	Azeb	EVM0001183.1, EVM0007016.1	mikado.HiC_scaffold_2.0G692.1
OG0000696	Tgra	EVM0001183.1, EVM0007016.1	KUTeg_010421
OG0000696	Azeb	EVM0011396.1	mikado.HiC_scaffold_2.0G694.1
OG0000696	Tgra	EVM0011396.1	KUTeg_009906
OG0000699	Azeb	EVM0013379.1	mikado.HiC_scaffold_2.0G866.1, mikado.HiC_scaffold_15.0G2091.1, mikado.HiC_scaffold_7.0G530.1, mikado.HiC_scaffold_21.0G1034.1, mikado.HiC_scaffold_15.0G541.2, mikado.HiC_scaffold_15.0G541.1
OG0000699	Tgra	EVM0013379.1	KUTeg_018616
OG0000700	Azeb	EVM0001602.1, EVM0022852.1	mikado.HiC_scaffold_2.0G881.1, mikado.HiC_scaffold_2.0G880.1
OG0000700	Tgra	EVM0001602.1, EVM0022852.1	KUTeg_009533
OG0000700	Azeb	EVM0000603.1	mikado.HiC_scaffold_2.0G882.1
OG0000700	Tgra	EVM0000603.1	KUTeg_009529
OG0000701	Azeb	EVM0020767.1, EVM0014419.1, EVM0005883.1, EVM0009665.1	mikado.HiC_scaffold_2.0G1103.1
OG0000701	Tgra	EVM0020767.1, EVM0014419.1, EVM0005883.1, EVM0009665.1	KUTeg_009413, KUTeg_009415, KUTeg_009414
OG0000702	Tgra	EVM0000638.1	KUTeg_006488
OG0000702	Azeb	EVM0000638.1	mikado.HiC_scaffold_4.0G658.1
OG0000703	Azeb	EVM0014815.1, EVM0012103.1, EVM0022377.1, EVM0017569.1, EVM0022211.1, EVM0013908.1	mikado.HiC_scaffold_2.0G1169.1
OG0000703	Tgra	EVM0014815.1, EVM0012103.1, EVM0022377.1, EVM0017569.1, EVM0022211.1, EVM0013908.1	KUTeg_009694
OG0000705	Azeb	EVM0003653.1	mikado.HiC_scaffold_8.8335562G1143.1, mikado.HiC_scaffold_3.0G26.1, mikado.HiC_scaffold_4350G3.1, mikado.HiC_scaffold_17.0G7.1, mikado.HiC_scaffold_21.0G1160.1, mikado.HiC_scaffold_5.0G685.1
OG0000705	Tgra	EVM0003653.1	KUTeg_023353
OG0000706	Azeb	EVM0000628.1	mikado.HiC_scaffold_3.0G70.2, mikado.HiC_scaffold_3.0G70.1
OG0000706	Azeb	EVM0020803.1, EVM0019093.1	mikado.HiC_scaffold_3.0G69.2, mikado.HiC_scaffold_3.0G69.1
OG0000706	Tgra	EVM0020803.1, EVM0019093.1	KUTeg_000400
OG0000707	Azeb	EVM0011116.1	mikado.HiC_scaffold_3.0G87.1
OG0000707	Tgra	EVM0011116.1	KUTeg_000208, KUTeg_000201, KUTeg_000209, KUTeg_007576, KUTeg_016427, KUTeg_016966
OG0000708	Tgra	EVM0013728.1	KUTeg_014728
OG0000708	Azeb	EVM0013728.1	mikado.HiC_scaffold_3.0G297.1
OG0000708	Tgra	EVM0014391.1	KUTeg_015141, KUTeg_015143, KUTeg_015145
OG0000708	Azeb	EVM0014391.1	mikado.HiC_scaffold_3.0G295.1
OG0000709	Azeb	EVM0003383.1, EVM0017403.1	mikado.HiC_scaffold_3.0G379.1
OG0000709	Tgra	EVM0003383.1	KUTeg_020052, KUTeg_020893, KUTeg_020049, KUTeg_020051
OG0000709	Tgra	EVM0017403.1	KUTeg_020047
OG0000713	Tgra	EVM0004564.1, EVM0012856.1, EVM0018693.1	KUTeg_022352
OG0000713	Azeb	EVM0004564.1, EVM0012856.1, EVM0018693.1	mikado.HiC_scaffold_3.0G693.1, mikado.HiC_scaffold_19.0G648.1, mikado.HiC_scaffold_19.0G1206.1, mikado.HiC_scaffold_19.0G378.1
OG0000714	Azeb	EVM0022417.1, EVM0023350.2, EVM0001515.1, EVM0010736.1, EVM0011522.1	mikado.HiC_scaffold_3.0G720.1, mikado.HiC_scaffold_3.0G720.2
OG0000714	Tgra	EVM0022417.1, EVM0023350.2, EVM0001515.1, EVM0010736.1, EVM0011522.1	KUTeg_000417
OG0000715	Azeb	EVM0019766.1	mikado.HiC_scaffold_17.0G1122.1, mikado.HiC_scaffold_17.0G1119.1, mikado.HiC_scaffold_18.0G536.1, mikado.HiC_scaffold_3.0G748.1, mikado.HiC_scaffold_3.0G747.1, mikado.HiC_scaffold_18.0G537.1, mikado.HiC_scaffold_18.0G538.1
OG0000716	Azeb	EVM0006226.1	mikado.HiC_scaffold_4.0G270.2, mikado.HiC_scaffold_4.0G270.1, mikado.HiC_scaffold_4.0G269.1
OG0000716	Azeb	EVM0004271.1	mikado.HiC_scaffold_3.0G754.1, mikado.HiC_scaffold_4.0G268.1
OG0000716	Tgra	EVM0004271.1	KUTeg_015646
OG0000717	Azeb	EVM0017218.1	mikado.HiC_scaffold_18.0G448.1
OG0000717	Azeb	EVM0004525.1, EVM0014518.1, EVM0015179.1, EVM0020051.1, EVM0007319.1	mikado.HiC_scaffold_3.0G785.1
OG0000719	Azeb	EVM0022305.1, EVM0002572.1, EVM0007935.1	mikado.HiC_scaffold_3.0G983.1, mikado.HiC_scaffold_3.0G981.1, mikado.HiC_scaffold_3.0G984.1, mikado.HiC_scaffold_3.0G1067.1
OG0000719	Tgra	EVM0022305.1, EVM0002572.1, EVM0007935.1	KUTeg_010385
OG0000721	Azeb	EVM0005514.1	mikado.HiC_scaffold_4.0G143.1, mikado.HiC_scaffold_4.0G139.1, mikado.HiC_scaffold_4.0G138.1, mikado.HiC_scaffold_4.0G811.1, mikado.HiC_scaffold_4.0G142.1, mikado.HiC_scaffold_4.0G141.1, mikado.HiC_scaffold_4.0G691.1
OG0000722	Azeb	EVM0016973.1	mikado.HiC_scaffold_4.0G153.1
OG0000722	Tgra	EVM0023360.1	KUTeg_015065, KUTeg_015066
OG0000722	Azeb	EVM0023360.1	mikado.HiC_scaffold_16.0G1085.1, mikado.HiC_scaffold_16.0G1085.2, mikado.HiC_scaffold_4.0G756.1
OG0000723	Azeb	EVM0018779.1, EVM0005513.1	mikado.HiC_scaffold_4.0G201.1, mikado.HiC_scaffold_4.0G199.1, mikado.HiC_scaffold_4.0G199.2
OG0000723	Tgra	EVM0018779.1	KUTeg_010694, KUTeg_010693
OG0000723	Tgra	EVM0005513.1	KUTeg_015539
OG0000725	Azeb	EVM0007031.1	mikado.HiC_scaffold_4.0G232.1, mikado.HiC_scaffold_4.0G233.1, mikado.HiC_scaffold_4.0G231.1, mikado.HiC_scaffold_4.0G230.1
OG0000725	Tgra	EVM0007031.1	KUTeg_006905, KUTeg_015301, KUTeg_015233
OG0000726	Azeb	EVM0011699.1, EVM0000741.1, EVM0013878.1, EVM0004423.1, EVM0007193.1, EVM0004330.1	mikado.HiC_scaffold_4.0G516.1
OG0000726	Tgra	EVM0011699.1, EVM0000741.1, EVM0013878.1, EVM0004423.1, EVM0007193.1, EVM0004330.1	KUTeg_024271
OG0000730	Azeb	EVM0017323.1	mikado.HiC_scaffold_7.0G621.1
OG0000730	Tgra	EVM0017323.1	KUTeg_023974
OG0000730	Azeb	EVM0004197.1	mikado.HiC_scaffold_16.0G505.1, mikado.HiC_scaffold_15.0G571.1, mikado.HiC_scaffold_21.0G449.1, mikado.HiC_scaffold_4.0G660.1
OG0000731	Tgra	EVM0023147.1	KUTeg_017318
OG0000731	Azeb	EVM0023147.1	mikado.HiC_scaffold_4.0G692.1
OG0000732	Azeb	EVM0010917.1	mikado.HiC_scaffold_4.0G888.1, mikado.HiC_scaffold_4.0G887.1, mikado.HiC_scaffold_4.0G889.1, mikado.HiC_scaffold_18.0G456.1, mikado.HiC_scaffold_18.0G455.1, mikado.HiC_scaffold_18.0G457.1, mikado.HiC_scaffold_18.0G467.1
OG0000733	Azeb	EVM0019875.1	mikado.HiC_scaffold_19.0G744.1
OG0000733	Azeb	EVM0013234.1	mikado.HiC_scaffold_19.0G177.1, mikado.HiC_scaffold_5.0G231.1, mikado.HiC_scaffold_11.0G44.1
OG0000733	Tgra	EVM0013234.1	KUTeg_002153, KUTeg_022022
OG0000734	Azeb	EVM0018953.1, EVM0023549.1, EVM0019562.1	mikado.HiC_scaffold_5.0G1240.1, mikado.HiC_scaffold_5.0G1237.1, mikado.HiC_scaffold_5.0G1241.1, mikado.HiC_scaffold_5.0G360.1
OG0000734	Tgra	EVM0018953.1, EVM0023549.1, EVM0019562.1	KUTeg_019574
OG0000737	Azeb	EVM0016237.1, EVM0019053.1, EVM0015725.1, EVM0011951.1, EVM0005695.1, EVM0004113.1	mikado.HiC_scaffold_5.0G688.1
OG0000737	Tgra	EVM0016237.1, EVM0019053.1, EVM0015725.1, EVM0011951.1, EVM0005695.1, EVM0004113.1	KUTeg_018231
OG0000738	Azeb	EVM0011225.1, EVM0022520.1, EVM0007091.1, EVM0022229.1, EVM0000597.1	mikado.HiC_scaffold_19.0G176.1, mikado.HiC_scaffold_21.0G1172.1, mikado.HiC_scaffold_5.0G1024.1
OG0000739	Azeb	EVM0014841.1, EVM0017127.1, EVM0015620.1, EVM0012526.1	mikado.HiC_scaffold_5.0G1201.1, mikado.HiC_scaffold_5.0G1197.1
OG0000739	Tgra	EVM0014841.1, EVM0017127.1, EVM0015620.1, EVM0012526.1	KUTeg_018267, KUTeg_017538
OG0000740	Azeb	EVM0007221.1	mikado.HiC_scaffold_5.0G1247.1
OG0000740	Tgra	EVM0000114.1	KUTeg_019573, KUTeg_018468
OG0000740	Azeb	EVM0000114.1	mikado.HiC_scaffold_5.0G1244.1, mikado.HiC_scaffold_13.0G1275.1, mikado.HiC_scaffold_5.0G1248.1
OG0000741	Azeb	EVM0004551.1, EVM0018877.1	mikado.HiC_scaffold_7.0G225.1, mikado.HiC_scaffold_7.0G224.1
OG0000741	Tgra	EVM0004551.1	KUTeg_024843
OG0000741	Tgra	EVM0018877.1	KUTeg_024848, KUTeg_024845, KUTeg_024846
OG0000743	Azeb	EVM0004672.1, EVM0022185.1	mikado.HiC_scaffold_7.0G517.1, mikado.HiC_scaffold_7.0G516.1
OG0000743	Tgra	EVM0004672.1	KUTeg_011306
OG0000743	Tgra	EVM0022185.1	KUTeg_011363, KUTeg_011362, KUTeg_015134
OG0000747	Azeb	EVM0018820.1	mikado.HiC_scaffold_7.0G1033.1, mikado.HiC_scaffold_7.0G1027.1, mikado.HiC_scaffold_7.0G1028.1, mikado.HiC_scaffold_12.3160685G532.1, mikado.HiC_scaffold_12.3160685G531.1
OG0000747	Tgra	EVM0018820.1	KUTeg_007511, KUTeg_007512
OG0000748	Azeb	EVM0017997.1	mikado.HiC_scaffold_7.0G1208.1, mikado.HiC_scaffold_7.0G1207.1, mikado.HiC_scaffold_7.0G1205.1, mikado.HiC_scaffold_7.0G1210.1, mikado.HiC_scaffold_7.0G1206.1
OG0000748	Tgra	EVM0017997.1	KUTeg_024113, KUTeg_024991
OG0000749	Azeb	EVM0001262.1	mikado.HiC_scaffold_9.0G217.1
OG0000749	Azeb	EVM0020191.1, EVM0012609.1, EVM0006539.1, EVM0017559.1, EVM0015352.1	mikado.HiC_scaffold_9.0G219.1
OG0000750	Azeb	EVM0001169.1	mikado.HiC_scaffold_9.0G1044.1
OG0000750	Tgra	EVM0001169.1	KUTeg_003151
OG0000750	Tgra	EVM0006951.1	KUTeg_002113, KUTeg_014811
OG0000750	Azeb	EVM0006951.1	mikado.HiC_scaffold_21.0G1289.1
OG0000751	Azeb	EVM0022946.1, EVM0018455.1	mikado.HiC_scaffold_9.0G1169.1, mikado.HiC_scaffold_9.0G1170.1, mikado.HiC_scaffold_9.0G1171.1, mikado.HiC_scaffold_9.0G1172.1
OG0000751	Tgra	EVM0022946.1	KUTeg_003227
OG0000751	Tgra	EVM0018455.1	KUTeg_003180
OG0000752	Azeb	EVM0023584.1	mikado.HiC_scaffold_18.0G1041.1, mikado.HiC_scaffold_18.0G1039.1
OG0000752	Tgra	EVM0023584.1	KUTeg_018822
OG0000752	Azeb	EVM0010804.1, EVM0008863.1, EVM0008539.1	mikado.HiC_scaffold_9.0G1295.1
OG0000753	Azeb	EVM0006106.1	mikado.HiC_scaffold_9.0G1430.1, mikado.HiC_scaffold_9.0G1429.1, mikado.HiC_scaffold_9.0G1423.1, mikado.HiC_scaffold_9.0G1422.1, mikado.HiC_scaffold_13.0G804.1
OG0000753	Tgra	EVM0006106.1	KUTeg_018612, KUTeg_018626
OG0000754	Azeb	EVM0016852.1	mikado.HiC_scaffold_9.0G1621.1
OG0000754	Tgra	EVM0016852.1	KUTeg_003893
OG0000754	Azeb	EVM0007450.1, EVM0022467.1	mikado.HiC_scaffold_9.0G1618.1, mikado.HiC_scaffold_14.0G116.1, mikado.HiC_scaffold_9.0G1624.1
OG0000755	Azeb	EVM0001261.1, EVM0014178.1, EVM0004435.1	mikado.HiC_scaffold_10.0G860.1, mikado.HiC_scaffold_9.0G1690.1, mikado.HiC_scaffold_21.0G595.1
OG0000755	Tgra	EVM0001261.1, EVM0014178.1, EVM0004435.1	KUTeg_024841, KUTeg_008481
OG0000756	Azeb	EVM0015997.1	mikado.HiC_scaffold_14.0G1015.1, mikado.HiC_scaffold_14.0G1021.1, mikado.HiC_scaffold_14.0G1018.1, mikado.HiC_scaffold_10.0G44.1, mikado.HiC_scaffold_14.0G1022.1, mikado.HiC_scaffold_14.0G1019.1
OG0000756	Tgra	EVM0015997.1	KUTeg_005553
OG0000759	Azeb	EVM0009196.1	mikado.HiC_scaffold_10.0G446.5
OG0000759	Tgra	EVM0009196.1	KUTeg_010905
OG0000759	Azeb	EVM0001876.1, EVM0021783.1	mikado.HiC_scaffold_10.0G446.2, mikado.HiC_scaffold_10.0G446.1
OG0000759	Tgra	EVM0001876.1, EVM0021783.1	KUTeg_010902
OG0000760	Azeb	EVM0017511.1, EVM0011702.1	mikado.HiC_scaffold_10.0G455.1
OG0000760	Tgra	EVM0017511.1, EVM0011702.1	KUTeg_010740
OG0000760	Azeb	EVM0000856.1, EVM0006633.1	mikado.HiC_scaffold_10.0G457.1
OG0000763	Azeb	EVM0017289.1	mikado.HiC_scaffold_15.0G277.1, mikado.HiC_scaffold_15.0G278.1, mikado.HiC_scaffold_10.0G851.1
OG0000763	Azeb	EVM0002366.1	mikado.HiC_scaffold_18.0G576.1, mikado.HiC_scaffold_18.0G572.1, mikado.HiC_scaffold_18.0G571.1
OG0000764	Tgra	EVM0017715.1, EVM0012999.1	KUTeg_008066, KUTeg_020867, KUTeg_009048
OG0000764	Azeb	EVM0017715.1, EVM0012999.1	mikado.HiC_scaffold_11.0G58.1, mikado.HiC_scaffold_21.0G780.1, mikado.HiC_scaffold_11.0G641.1
OG0000765	Azeb	EVM0000678.1	mikado.HiC_scaffold_18.0G199.1, mikado.HiC_scaffold_18.0G1421.1, mikado.HiC_scaffold_18.0G1420.1, mikado.HiC_scaffold_18.0G1419.1, mikado.HiC_scaffold_18.0G198.1, mikado.HiC_scaffold_11.0G201.1
OG0000765	Tgra	EVM0000678.1	KUTeg_019760
OG0000766	Tgra	EVM0002465.1	KUTeg_018647
OG0000766	Azeb	EVM0002465.1	mikado.HiC_scaffold_11.0G374.1, mikado.HiC_scaffold_19.0G492.1, mikado.HiC_scaffold_19.0G1059.1, mikado.HiC_scaffold_19.0G1259.1, mikado.HiC_scaffold_19.0G1065.1, mikado.HiC_scaffold_19.0G1257.1
OG0000767	Azeb	EVM0015278.1, EVM0005184.1	mikado.HiC_scaffold_11.0G586.1, mikado.HiC_scaffold_11.0G588.1, mikado.HiC_scaffold_12.3160685G723.1, mikado.HiC_scaffold_11.0G587.1
OG0000767	Tgra	EVM0015278.1, EVM0005184.1	KUTeg_002530, KUTeg_001521
OG0000768	Azeb	EVM0019457.1, EVM0020697.1, EVM0017665.1, EVM0005633.1, EVM0014996.1, EVM0019247.1, EVM0022862.1	mikado.HiC_scaffold_13.0G74.1
OG0000769	Azeb	EVM0020981.1, EVM0012221.1, EVM0004492.1, EVM0009123.1, EVM0006602.1, EVM0003652.1	mikado.HiC_scaffold_13.0G257.1, mikado.HiC_scaffold_15.0G1245.1
OG0000770	Azeb	EVM0016016.1, EVM0014291.1, EVM0018315.1, EVM0001075.1, EVM0014859.1	mikado.HiC_scaffold_8.8335562G115.1, mikado.HiC_scaffold_8.8335562G114.1, mikado.HiC_scaffold_13.0G524.1
OG0000771	Tgra	EVM0022376.1, EVM0022986.1	KUTeg_016869, KUTeg_005321
OG0000771	Azeb	EVM0022376.1	mikado.HiC_scaffold_13.0G697.1
OG0000771	Azeb	EVM0022986.1	mikado.HiC_scaffold_15.0G1824.1, mikado.HiC_scaffold_14.0G262.1, mikado.HiC_scaffold_14.0G268.1
OG0000772	Tgra	EVM0005181.1, EVM0023797.1, EVM0000890.1	KUTeg_016828, KUTeg_016453
OG0000772	Azeb	EVM0005181.1, EVM0023797.1, EVM0000890.1	mikado.HiC_scaffold_13.0G739.1
OG0000773	Tgra	EVM0004845.1	KUTeg_016896, KUTeg_009063, KUTeg_016441
OG0000773	Azeb	EVM0004845.1	mikado.HiC_scaffold_19.0G1330.1, mikado.HiC_scaffold_19.0G1329.1, mikado.HiC_scaffold_19.0G562.1, mikado.HiC_scaffold_13.0G825.1
OG0000774	Azeb	EVM0022719.1	mikado.HiC_scaffold_13.0G1019.5, mikado.HiC_scaffold_13.0G1019.3, mikado.HiC_scaffold_13.0G1019.1, mikado.HiC_scaffold_13.0G1019.2, mikado.HiC_scaffold_13.0G1019.4
OG0000774	Tgra	EVM0022719.1	KUTeg_015998, KUTeg_015999
OG0000775	Azeb	EVM0007992.1	mikado.HiC_scaffold_13.0G1145.1, mikado.HiC_scaffold_13.0G1143.1, mikado.HiC_scaffold_13.0G1145.2, mikado.HiC_scaffold_13.0G1162.1, mikado.HiC_scaffold_13.0G1160.1, mikado.HiC_scaffold_13.0G1161.1
OG0000775	Tgra	EVM0007992.1	KUTeg_016617
OG0000776	Azeb	EVM0019390.1, EVM0010202.1	mikado.HiC_scaffold_14.0G57.1, mikado.HiC_scaffold_14.0G59.1, mikado.HiC_scaffold_14.0G85.1, mikado.HiC_scaffold_14.0G87.1
OG0000776	Tgra	EVM0019390.1, EVM0010202.1	KUTeg_004679, KUTeg_009159
OG0000777	Azeb	EVM0015314.1	mikado.HiC_scaffold_14.0G216.1, mikado.HiC_scaffold_14.0G217.1
OG0000777	Azeb	EVM0003457.1, EVM0015283.1	mikado.HiC_scaffold_17.0G457.1, mikado.HiC_scaffold_17.0G459.1, mikado.HiC_scaffold_14.0G507.1
OG0000779	Tgra	EVM0023177.1	KUTeg_024940
OG0000779	Azeb	EVM0023177.1	mikado.HiC_scaffold_12.3160685G1570.1, mikado.HiC_scaffold_12.3160685G1572.1, mikado.HiC_scaffold_17.0G970.1, mikado.HiC_scaffold_17.0G971.1, mikado.HiC_scaffold_12.3160685G147.1, mikado.HiC_scaffold_14.0G304.1
OG0000780	Azeb	EVM0021280.1, EVM0016506.1, EVM0003170.1, EVM0013639.1	mikado.HiC_scaffold_14.0G754.1, mikado.HiC_scaffold_14.0G1072.1, mikado.HiC_scaffold_14.0G755.1
OG0000780	Tgra	EVM0021280.1, EVM0016506.1, EVM0003170.1, EVM0013639.1	KUTeg_005239
OG0000781	Tgra	EVM0023966.1, EVM0022247.1, EVM0002603.1, EVM0001952.1, EVM0004372.1	KUTeg_002666
OG0000781	Azeb	EVM0023966.1	mikado.HiC_scaffold_14.0G849.1
OG0000781	Azeb	EVM0022247.1, EVM0002603.1, EVM0001952.1, EVM0004372.1	mikado.HiC_scaffold_18.0G869.1
OG0000782	Azeb	EVM0010391.1, EVM0010171.1, EVM0002048.1	mikado.HiC_scaffold_14.0G854.1
OG0000782	Tgra	EVM0010391.1	KUTeg_004930, KUTeg_005215
OG0000782	Tgra	EVM0010171.1	KUTeg_010469
OG0000782	Tgra	EVM0002048.1	KUTeg_010468
OG0000784	Tgra	EVM0007333.1	KUTeg_022444
OG0000784	Azeb	EVM0007333.1	mikado.HiC_scaffold_14.0G939.1, mikado.HiC_scaffold_19.0G664.1, mikado.HiC_scaffold_19.0G555.1, mikado.HiC_scaffold_21.0G245.1, mikado.HiC_scaffold_14.0G940.1, mikado.HiC_scaffold_12.3160685G687.1
OG0000786	Azeb	EVM0019372.1	mikado.HiC_scaffold_14.0G1062.1
OG0000786	Tgra	EVM0019372.1	KUTeg_005208
OG0000786	Azeb	EVM0021434.1	mikado.HiC_scaffold_14.0G1061.1, mikado.HiC_scaffold_14.0G1061.2
OG0000786	Tgra	EVM0021434.1	KUTeg_005209, KUTeg_011488
OG0000787	Azeb	EVM0014649.1	mikado.HiC_scaffold_14.0G1116.1, mikado.HiC_scaffold_14.0G1118.1, mikado.HiC_scaffold_18.0G832.1, mikado.HiC_scaffold_14.0G1120.1, mikado.HiC_scaffold_14.0G1115.1, mikado.HiC_scaffold_14.0G1117.1
OG0000787	Tgra	EVM0014649.1	KUTeg_005447
OG0000788	Azeb	EVM0006527.1	mikado.HiC_scaffold_15.0G175.1
OG0000788	Tgra	EVM0006527.1	KUTeg_020333
OG0000788	Azeb	EVM0004654.1	mikado.HiC_scaffold_15.0G172.1, mikado.HiC_scaffold_15.0G173.1, mikado.HiC_scaffold_15.0G174.1
OG0000788	Tgra	EVM0004654.1	KUTeg_024431
OG0000789	Azeb	EVM0019722.1	mikado.HiC_scaffold_15.0G312.1
OG0000789	Tgra	EVM0019722.1	KUTeg_014732, KUTeg_020755
OG0000789	Azeb	EVM0009727.1, EVM0003276.1	mikado.HiC_scaffold_15.0G311.1
OG0000789	Tgra	EVM0009727.1, EVM0003276.1	KUTeg_022101
OG0000790	Azeb	EVM0001797.1, EVM0009790.1, EVM0012346.1	mikado.HiC_scaffold_15.0G629.1, mikado.HiC_scaffold_15.0G628.1, mikado.HiC_scaffold_15.0G630.1, mikado.HiC_scaffold_15.0G626.1
OG0000790	Tgra	EVM0001797.1, EVM0009790.1, EVM0012346.1	KUTeg_020543
OG0000791	Azeb	EVM0015882.1	mikado.HiC_scaffold_17.0G419.1
OG0000791	Azeb	EVM0010190.1	mikado.HiC_scaffold_15.0G681.1
OG0000791	Tgra	EVM0010190.1	KUTeg_020070
OG0000791	Azeb	EVM0001888.1, EVM0001321.1	mikado.HiC_scaffold_17.0G422.1
OG0000792	Azeb	EVM0004629.1, EVM0003731.1, EVM0001789.1, EVM0021222.1, EVM0002925.1, EVM0012650.1	mikado.HiC_scaffold_15.0G715.1, mikado.HiC_scaffold_288G1.1
OG0000793	Azeb	EVM0012966.1	mikado.HiC_scaffold_15.0G895.1, mikado.HiC_scaffold_15.0G896.1, mikado.HiC_scaffold_15.0G897.1, mikado.HiC_scaffold_15.0G898.1, mikado.HiC_scaffold_15.0G901.1, mikado.HiC_scaffold_15.0G900.1
OG0000793	Tgra	EVM0012966.1	KUTeg_021301
OG0000794	Tgra	EVM0020616.1	KUTeg_020641
OG0000794	Azeb	EVM0020616.1	mikado.HiC_scaffold_15.0G1884.1, mikado.HiC_scaffold_15.0G1010.1, mikado.HiC_scaffold_17.0G266.1
OG0000794	Azeb	EVM0022023.1	mikado.HiC_scaffold_15.0G1550.1
OG0000794	Tgra	EVM0022023.1	KUTeg_012784
OG0000795	Azeb	EVM0002054.1, EVM0007157.1, EVM0015103.1, EVM0020827.1, EVM0023140.1	mikado.HiC_scaffold_15.0G1381.1
OG0000795	Tgra	EVM0002054.1	KUTeg_011149
OG0000795	Tgra	EVM0007157.1, EVM0015103.1, EVM0020827.1, EVM0023140.1	KUTeg_001256
OG0000796	Azeb	EVM0017751.1, EVM0011729.1	mikado.HiC_scaffold_21.0G456.1, mikado.HiC_scaffold_21.0G455.1, mikado.HiC_scaffold_21.0G460.1
OG0000796	Tgra	EVM0017751.1, EVM0011729.1	KUTeg_007908
OG0000798	Azeb	EVM0004221.1, EVM0003745.1, EVM0023481.1, EVM0008961.1	mikado.HiC_scaffold_15.0G2079.1, mikado.HiC_scaffold_15.0G2080.1
OG0000798	Tgra	EVM0004221.1, EVM0003745.1, EVM0023481.1, EVM0008961.1	KUTeg_020635, KUTeg_020632
OG0000799	Azeb	EVM0023502.1, EVM0015829.1	mikado.HiC_scaffold_15.0G2269.1
OG0000799	Tgra	EVM0023502.1, EVM0015829.1	KUTeg_011122, KUTeg_010817, KUTeg_011123, KUTeg_011121, KUTeg_011120
OG0000800	Azeb	EVM0013622.1	mikado.HiC_scaffold_15.0G2310.1, mikado.HiC_scaffold_19.0G18.1, mikado.HiC_scaffold_19.0G1293.1, mikado.HiC_scaffold_19.0G1143.1, mikado.HiC_scaffold_19.0G1145.1, mikado.HiC_scaffold_15.0G2308.1, mikado.HiC_scaffold_15.0G2305.1
