Orthogroup	Species	Azeb	Orthologs
OG0000684	Tgra	mikado.HiC_scaffold_1.0G931.1	KUTeg_004695
OG0000684	Tgra	mikado.HiC_scaffold_5.0G6.1	KUTeg_023090, KUTeg_005264, KUTeg_005265, KUTeg_014169, KUTeg_017770
OG0000685	Sbro	mikado.HiC_scaffold_1.0G1025.1	EVM0019911.1, EVM0013818.1, EVM0020133.1, EVM0017101.1, EVM0019850.1, EVM0023976.1, EVM0016451.1
OG0000686	Sbro	mikado.HiC_scaffold_1.0G1038.1	EVM0014406.1, EVM0007513.1
OG0000686	Sbro	mikado.HiC_scaffold_1.0G1032.1, mikado.HiC_scaffold_1.0G1041.1	EVM0024007.1
OG0000686	Tgra	mikado.HiC_scaffold_1.0G1032.1, mikado.HiC_scaffold_1.0G1041.1	KUTeg_006420, KUTeg_006509
OG0000688	Sbro	mikado.HiC_scaffold_1.0G1099.1, mikado.HiC_scaffold_1.0G1135.1, mikado.HiC_scaffold_1.0G1100.1, mikado.HiC_scaffold_21.0G237.1, mikado.HiC_scaffold_1.0G1101.1, mikado.HiC_scaffold_8.8335562G332.1, mikado.HiC_scaffold_1.0G1144.1	EVM0007392.1
OG0000689	Tgra	mikado.HiC_scaffold_2.0G71.1, mikado.HiC_scaffold_2.0G73.1, mikado.HiC_scaffold_2.0G74.1, mikado.HiC_scaffold_2.0G75.1, mikado.HiC_scaffold_2.0G72.1	KUTeg_010268
OG0000689	Sbro	mikado.HiC_scaffold_2.0G71.1, mikado.HiC_scaffold_2.0G73.1, mikado.HiC_scaffold_2.0G74.1, mikado.HiC_scaffold_2.0G75.1, mikado.HiC_scaffold_2.0G72.1	EVM0000534.1, EVM0004055.1
OG0000690	Sbro	mikado.HiC_scaffold_15.0G2483.1, mikado.HiC_scaffold_18.0G1246.1, mikado.HiC_scaffold_15.0G1915.1, mikado.HiC_scaffold_2.0G118.1, mikado.HiC_scaffold_15.0G1788.1, mikado.HiC_scaffold_15.0G2462.1, mikado.HiC_scaffold_2.0G117.1	EVM0013766.1
OG0000693	Sbro	mikado.HiC_scaffold_21.0G169.1, mikado.HiC_scaffold_14.0G338.1, mikado.HiC_scaffold_8.8335562G432.1, mikado.HiC_scaffold_9.0G37.1, mikado.HiC_scaffold_2.0G206.2, mikado.HiC_scaffold_2.0G206.1, mikado.HiC_scaffold_17.0G242.1	EVM0004780.1
OG0000694	Tgra	mikado.HiC_scaffold_19.0G168.1	KUTeg_019804
OG0000694	Sbro	mikado.HiC_scaffold_2.0G293.1	EVM0018402.1, EVM0022855.1
OG0000694	Tgra	mikado.HiC_scaffold_2.0G293.1	KUTeg_006773, KUTeg_022288, KUTeg_015572
OG0000695	Sbro	mikado.HiC_scaffold_2.0G524.1	EVM0012973.1, EVM0006962.1, EVM0003707.1, EVM0019831.1, EVM0013331.1
OG0000695	Tgra	mikado.HiC_scaffold_2.0G524.1	KUTeg_010383, KUTeg_010053
OG0000696	Tgra	mikado.HiC_scaffold_2.0G692.1	KUTeg_010421
OG0000696	Sbro	mikado.HiC_scaffold_2.0G692.1	EVM0001183.1, EVM0007016.1
OG0000696	Tgra	mikado.HiC_scaffold_2.0G694.1	KUTeg_009906
OG0000696	Sbro	mikado.HiC_scaffold_2.0G694.1	EVM0011396.1
OG0000697	Tgra	mikado.HiC_scaffold_2.0G858.1, mikado.HiC_scaffold_4.0G959.1, mikado.HiC_scaffold_507G1.1, mikado.HiC_scaffold_17.0G596.1, mikado.HiC_scaffold_18.0G1233.1, mikado.HiC_scaffold_18.0G1233.2, mikado.HiC_scaffold_9.0G491.1	KUTeg_015500
OG0000698	Tgra	mikado.HiC_scaffold_2.0G864.1	KUTeg_009772
OG0000698	Tgra	mikado.HiC_scaffold_2.0G875.1, mikado.HiC_scaffold_2.0G877.1, mikado.HiC_scaffold_2.0G863.1, mikado.HiC_scaffold_2.0G862.1, mikado.HiC_scaffold_2.0G876.1	KUTeg_002792
OG0000699	Tgra	mikado.HiC_scaffold_2.0G866.1, mikado.HiC_scaffold_15.0G2091.1, mikado.HiC_scaffold_7.0G530.1, mikado.HiC_scaffold_21.0G1034.1, mikado.HiC_scaffold_15.0G541.2, mikado.HiC_scaffold_15.0G541.1	KUTeg_018616
OG0000699	Sbro	mikado.HiC_scaffold_2.0G866.1, mikado.HiC_scaffold_15.0G2091.1, mikado.HiC_scaffold_7.0G530.1, mikado.HiC_scaffold_21.0G1034.1, mikado.HiC_scaffold_15.0G541.2, mikado.HiC_scaffold_15.0G541.1	EVM0013379.1
OG0000700	Tgra	mikado.HiC_scaffold_2.0G881.1, mikado.HiC_scaffold_2.0G880.1	KUTeg_009533
OG0000700	Sbro	mikado.HiC_scaffold_2.0G881.1, mikado.HiC_scaffold_2.0G880.1	EVM0001602.1, EVM0022852.1
OG0000700	Tgra	mikado.HiC_scaffold_2.0G882.1	KUTeg_009529
OG0000700	Sbro	mikado.HiC_scaffold_2.0G882.1	EVM0000603.1
OG0000701	Tgra	mikado.HiC_scaffold_2.0G1103.1	KUTeg_009413, KUTeg_009415, KUTeg_009414
OG0000701	Sbro	mikado.HiC_scaffold_2.0G1103.1	EVM0020767.1, EVM0014419.1, EVM0005883.1, EVM0009665.1
OG0000702	Tgra	mikado.HiC_scaffold_2.0G1140.1	KUTeg_008269, KUTeg_011800, KUTeg_018779, KUTeg_020516
OG0000702	Tgra	mikado.HiC_scaffold_4.0G658.1	KUTeg_006488
OG0000702	Sbro	mikado.HiC_scaffold_4.0G658.1	EVM0000638.1
OG0000703	Tgra	mikado.HiC_scaffold_2.0G1169.1	KUTeg_009694
OG0000703	Sbro	mikado.HiC_scaffold_2.0G1169.1	EVM0014815.1, EVM0012103.1, EVM0022377.1, EVM0017569.1, EVM0022211.1, EVM0013908.1
OG0000704	Tgra	mikado.HiC_scaffold_19.0G907.1, mikado.HiC_scaffold_16.0G1275.1, mikado.HiC_scaffold_3.0G16.1, mikado.HiC_scaffold_16.0G1244.1, mikado.HiC_scaffold_19.0G1404.1, mikado.HiC_scaffold_19.0G214.1, mikado.HiC_scaffold_18.0G783.1	KUTeg_005908
OG0000705	Tgra	mikado.HiC_scaffold_8.8335562G1143.1, mikado.HiC_scaffold_3.0G26.1, mikado.HiC_scaffold_4350G3.1, mikado.HiC_scaffold_17.0G7.1, mikado.HiC_scaffold_21.0G1160.1, mikado.HiC_scaffold_5.0G685.1	KUTeg_023353
OG0000705	Sbro	mikado.HiC_scaffold_8.8335562G1143.1, mikado.HiC_scaffold_3.0G26.1, mikado.HiC_scaffold_4350G3.1, mikado.HiC_scaffold_17.0G7.1, mikado.HiC_scaffold_21.0G1160.1, mikado.HiC_scaffold_5.0G685.1	EVM0003653.1
OG0000706	Sbro	mikado.HiC_scaffold_3.0G70.2, mikado.HiC_scaffold_3.0G70.1	EVM0000628.1
OG0000706	Tgra	mikado.HiC_scaffold_3.0G69.2, mikado.HiC_scaffold_3.0G69.1	KUTeg_000400
OG0000706	Sbro	mikado.HiC_scaffold_3.0G69.2, mikado.HiC_scaffold_3.0G69.1	EVM0020803.1, EVM0019093.1
OG0000707	Sbro	mikado.HiC_scaffold_3.0G87.1	EVM0011116.1
OG0000707	Tgra	mikado.HiC_scaffold_3.0G87.1	KUTeg_000208, KUTeg_000201, KUTeg_000209, KUTeg_007576, KUTeg_016427, KUTeg_016966
OG0000708	Tgra	mikado.HiC_scaffold_3.0G297.1	KUTeg_014728
OG0000708	Sbro	mikado.HiC_scaffold_3.0G297.1	EVM0013728.1
OG0000708	Tgra	mikado.HiC_scaffold_3.0G295.1	KUTeg_015141, KUTeg_015143, KUTeg_015145
OG0000708	Sbro	mikado.HiC_scaffold_3.0G295.1	EVM0014391.1
OG0000709	Sbro	mikado.HiC_scaffold_3.0G379.1	EVM0003383.1, EVM0017403.1
OG0000709	Tgra	mikado.HiC_scaffold_3.0G379.1	KUTeg_020052, KUTeg_020893, KUTeg_020049, KUTeg_020051, KUTeg_020047
OG0000712	Tgra	mikado.HiC_scaffold_9.0G592.1, mikado.HiC_scaffold_21.0G668.1, mikado.HiC_scaffold_14.0G592.1, mikado.HiC_scaffold_3.0G661.1, mikado.HiC_scaffold_16.0G951.1, mikado.HiC_scaffold_18.0G1221.2, mikado.HiC_scaffold_18.0G1221.1	KUTeg_014863
OG0000713	Tgra	mikado.HiC_scaffold_3.0G693.1, mikado.HiC_scaffold_19.0G648.1, mikado.HiC_scaffold_19.0G1206.1, mikado.HiC_scaffold_19.0G378.1	KUTeg_022352
OG0000713	Sbro	mikado.HiC_scaffold_3.0G693.1, mikado.HiC_scaffold_19.0G648.1, mikado.HiC_scaffold_19.0G1206.1, mikado.HiC_scaffold_19.0G378.1	EVM0004564.1, EVM0012856.1, EVM0018693.1
OG0000714	Tgra	mikado.HiC_scaffold_3.0G720.1, mikado.HiC_scaffold_3.0G720.2	KUTeg_000417
OG0000714	Sbro	mikado.HiC_scaffold_3.0G720.1, mikado.HiC_scaffold_3.0G720.2	EVM0022417.1, EVM0023350.2, EVM0001515.1, EVM0010736.1, EVM0011522.1
OG0000715	Sbro	mikado.HiC_scaffold_17.0G1122.1, mikado.HiC_scaffold_17.0G1119.1, mikado.HiC_scaffold_18.0G536.1, mikado.HiC_scaffold_3.0G748.1, mikado.HiC_scaffold_3.0G747.1, mikado.HiC_scaffold_18.0G537.1, mikado.HiC_scaffold_18.0G538.1	EVM0019766.1
OG0000716	Sbro	mikado.HiC_scaffold_4.0G270.2, mikado.HiC_scaffold_4.0G270.1, mikado.HiC_scaffold_4.0G269.1	EVM0006226.1
OG0000716	Sbro	mikado.HiC_scaffold_3.0G754.1, mikado.HiC_scaffold_4.0G268.1	EVM0004271.1
OG0000716	Tgra	mikado.HiC_scaffold_3.0G754.1, mikado.HiC_scaffold_4.0G268.1	KUTeg_015646
OG0000717	Sbro	mikado.HiC_scaffold_18.0G448.1	EVM0017218.1
OG0000717	Sbro	mikado.HiC_scaffold_3.0G785.1	EVM0004525.1, EVM0014518.1, EVM0015179.1, EVM0020051.1, EVM0007319.1
OG0000718	Tgra	mikado.HiC_scaffold_12.3160685G1382.1	KUTeg_007304
OG0000718	Tgra	mikado.HiC_scaffold_3.0G820.1, mikado.HiC_scaffold_3.0G818.1	KUTeg_006863, KUTeg_011024, KUTeg_010725, KUTeg_010723
OG0000719	Sbro	mikado.HiC_scaffold_3.0G983.1, mikado.HiC_scaffold_3.0G981.1, mikado.HiC_scaffold_3.0G984.1, mikado.HiC_scaffold_3.0G1067.1	EVM0022305.1, EVM0002572.1, EVM0007935.1
OG0000719	Tgra	mikado.HiC_scaffold_3.0G983.1, mikado.HiC_scaffold_3.0G981.1, mikado.HiC_scaffold_3.0G984.1, mikado.HiC_scaffold_3.0G1067.1	KUTeg_010385
OG0000720	Tgra	mikado.HiC_scaffold_4.0G75.1	KUTeg_017670, KUTeg_006304, KUTeg_021974
OG0000720	Tgra	mikado.HiC_scaffold_15.0G1453.1	KUTeg_020296, KUTeg_011226, KUTeg_015068
OG0000721	Sbro	mikado.HiC_scaffold_4.0G143.1, mikado.HiC_scaffold_4.0G139.1, mikado.HiC_scaffold_4.0G138.1, mikado.HiC_scaffold_4.0G811.1, mikado.HiC_scaffold_4.0G142.1, mikado.HiC_scaffold_4.0G141.1, mikado.HiC_scaffold_4.0G691.1	EVM0005514.1
OG0000722	Sbro	mikado.HiC_scaffold_4.0G153.1	EVM0016973.1
OG0000722	Sbro	mikado.HiC_scaffold_16.0G1085.1, mikado.HiC_scaffold_16.0G1085.2, mikado.HiC_scaffold_4.0G756.1	EVM0023360.1
OG0000722	Tgra	mikado.HiC_scaffold_16.0G1085.1, mikado.HiC_scaffold_16.0G1085.2, mikado.HiC_scaffold_4.0G756.1	KUTeg_015065, KUTeg_015066
OG0000723	Sbro	mikado.HiC_scaffold_4.0G201.1, mikado.HiC_scaffold_4.0G199.1, mikado.HiC_scaffold_4.0G199.2	EVM0018779.1, EVM0005513.1
OG0000723	Tgra	mikado.HiC_scaffold_4.0G201.1, mikado.HiC_scaffold_4.0G199.1, mikado.HiC_scaffold_4.0G199.2	KUTeg_010694, KUTeg_010693, KUTeg_015539
OG0000725	Sbro	mikado.HiC_scaffold_4.0G232.1, mikado.HiC_scaffold_4.0G233.1, mikado.HiC_scaffold_4.0G231.1, mikado.HiC_scaffold_4.0G230.1	EVM0007031.1
OG0000725	Tgra	mikado.HiC_scaffold_4.0G232.1, mikado.HiC_scaffold_4.0G233.1, mikado.HiC_scaffold_4.0G231.1, mikado.HiC_scaffold_4.0G230.1	KUTeg_006905, KUTeg_015301, KUTeg_015233
OG0000726	Tgra	mikado.HiC_scaffold_4.0G516.1	KUTeg_024271
OG0000726	Sbro	mikado.HiC_scaffold_4.0G516.1	EVM0011699.1, EVM0000741.1, EVM0013878.1, EVM0004423.1, EVM0007193.1, EVM0004330.1
OG0000730	Tgra	mikado.HiC_scaffold_7.0G621.1	KUTeg_023974
OG0000730	Sbro	mikado.HiC_scaffold_7.0G621.1	EVM0017323.1
OG0000730	Sbro	mikado.HiC_scaffold_16.0G505.1, mikado.HiC_scaffold_15.0G571.1, mikado.HiC_scaffold_21.0G449.1, mikado.HiC_scaffold_4.0G660.1	EVM0004197.1
OG0000731	Tgra	mikado.HiC_scaffold_4.0G697.1	KUTeg_017315
OG0000731	Sbro	mikado.HiC_scaffold_4.0G692.1	EVM0023147.1
OG0000731	Tgra	mikado.HiC_scaffold_4.0G692.1	KUTeg_017318
OG0000731	Tgra	mikado.HiC_scaffold_4.0G693.1	KUTeg_017316
OG0000732	Sbro	mikado.HiC_scaffold_4.0G888.1, mikado.HiC_scaffold_4.0G887.1, mikado.HiC_scaffold_4.0G889.1, mikado.HiC_scaffold_18.0G456.1, mikado.HiC_scaffold_18.0G455.1, mikado.HiC_scaffold_18.0G457.1, mikado.HiC_scaffold_18.0G467.1	EVM0010917.1
OG0000733	Sbro	mikado.HiC_scaffold_19.0G744.1	EVM0019875.1
OG0000733	Sbro	mikado.HiC_scaffold_19.0G177.1, mikado.HiC_scaffold_5.0G231.1, mikado.HiC_scaffold_11.0G44.1	EVM0013234.1
OG0000733	Tgra	mikado.HiC_scaffold_19.0G177.1, mikado.HiC_scaffold_5.0G231.1, mikado.HiC_scaffold_11.0G44.1	KUTeg_002153, KUTeg_022022
OG0000734	Tgra	mikado.HiC_scaffold_5.0G1240.1, mikado.HiC_scaffold_5.0G1237.1, mikado.HiC_scaffold_5.0G1241.1, mikado.HiC_scaffold_5.0G360.1	KUTeg_019574
OG0000734	Sbro	mikado.HiC_scaffold_5.0G1240.1, mikado.HiC_scaffold_5.0G1237.1, mikado.HiC_scaffold_5.0G1241.1, mikado.HiC_scaffold_5.0G360.1	EVM0018953.1, EVM0023549.1, EVM0019562.1
OG0000735	Tgra	mikado.HiC_scaffold_5.0G512.1, mikado.HiC_scaffold_5.0G515.1	KUTeg_021434, KUTeg_001158, KUTeg_017813, KUTeg_017968
OG0000735	Tgra	mikado.HiC_scaffold_5.0G513.1	KUTeg_017967
OG0000737	Tgra	mikado.HiC_scaffold_5.0G688.1	KUTeg_018231
OG0000737	Sbro	mikado.HiC_scaffold_5.0G688.1	EVM0016237.1, EVM0019053.1, EVM0015725.1, EVM0011951.1, EVM0005695.1, EVM0004113.1
OG0000738	Sbro	mikado.HiC_scaffold_19.0G176.1, mikado.HiC_scaffold_21.0G1172.1, mikado.HiC_scaffold_5.0G1024.1	EVM0011225.1, EVM0022520.1, EVM0007091.1, EVM0022229.1, EVM0000597.1
OG0000739	Tgra	mikado.HiC_scaffold_5.0G1201.1, mikado.HiC_scaffold_5.0G1197.1	KUTeg_018267, KUTeg_017538
OG0000739	Sbro	mikado.HiC_scaffold_5.0G1201.1, mikado.HiC_scaffold_5.0G1197.1	EVM0014841.1, EVM0017127.1, EVM0015620.1, EVM0012526.1
OG0000740	Sbro	mikado.HiC_scaffold_5.0G1247.1	EVM0007221.1
OG0000740	Sbro	mikado.HiC_scaffold_5.0G1244.1, mikado.HiC_scaffold_13.0G1275.1, mikado.HiC_scaffold_5.0G1248.1	EVM0000114.1
OG0000740	Tgra	mikado.HiC_scaffold_5.0G1244.1, mikado.HiC_scaffold_13.0G1275.1	KUTeg_019573
OG0000740	Tgra	mikado.HiC_scaffold_5.0G1248.1	KUTeg_018468
OG0000741	Sbro	mikado.HiC_scaffold_7.0G225.1, mikado.HiC_scaffold_7.0G224.1	EVM0004551.1, EVM0018877.1
OG0000741	Tgra	mikado.HiC_scaffold_7.0G225.1, mikado.HiC_scaffold_7.0G224.1	KUTeg_024843, KUTeg_024848, KUTeg_024845, KUTeg_024846
OG0000742	Tgra	mikado.HiC_scaffold_7.0G1118.1, mikado.HiC_scaffold_9.0G1586.1	KUTeg_000159
OG0000742	Tgra	mikado.HiC_scaffold_15.0G1306.1, mikado.HiC_scaffold_7.0G414.1	KUTeg_000858, KUTeg_000863, KUTeg_000860
OG0000743	Tgra	mikado.HiC_scaffold_7.0G517.1, mikado.HiC_scaffold_7.0G516.1	KUTeg_011306, KUTeg_011363, KUTeg_011362, KUTeg_015134
OG0000743	Sbro	mikado.HiC_scaffold_7.0G517.1, mikado.HiC_scaffold_7.0G516.1	EVM0004672.1, EVM0022185.1
OG0000745	Tgra	mikado.HiC_scaffold_9.0G1001.1, mikado.HiC_scaffold_7.0G927.1, mikado.HiC_scaffold_12.3160685G1533.1, mikado.HiC_scaffold_12.3160685G1534.1, mikado.HiC_scaffold_12.3160685G1532.1, mikado.HiC_scaffold_12.3160685G976.1, mikado.HiC_scaffold_12.3160685G977.1	KUTeg_007333
OG0000747	Sbro	mikado.HiC_scaffold_7.0G1033.1, mikado.HiC_scaffold_7.0G1027.1, mikado.HiC_scaffold_7.0G1028.1, mikado.HiC_scaffold_12.3160685G532.1, mikado.HiC_scaffold_12.3160685G531.1	EVM0018820.1
OG0000747	Tgra	mikado.HiC_scaffold_7.0G1033.1, mikado.HiC_scaffold_7.0G1027.1, mikado.HiC_scaffold_7.0G1028.1, mikado.HiC_scaffold_12.3160685G532.1, mikado.HiC_scaffold_12.3160685G531.1	KUTeg_007511, KUTeg_007512
OG0000748	Sbro	mikado.HiC_scaffold_7.0G1208.1, mikado.HiC_scaffold_7.0G1207.1, mikado.HiC_scaffold_7.0G1205.1, mikado.HiC_scaffold_7.0G1210.1, mikado.HiC_scaffold_7.0G1206.1	EVM0017997.1
OG0000748	Tgra	mikado.HiC_scaffold_7.0G1208.1, mikado.HiC_scaffold_7.0G1207.1, mikado.HiC_scaffold_7.0G1205.1, mikado.HiC_scaffold_7.0G1210.1, mikado.HiC_scaffold_7.0G1206.1	KUTeg_024113, KUTeg_024991
OG0000749	Sbro	mikado.HiC_scaffold_9.0G217.1	EVM0001262.1
OG0000749	Sbro	mikado.HiC_scaffold_9.0G219.1	EVM0020191.1, EVM0012609.1, EVM0006539.1, EVM0017559.1, EVM0015352.1
OG0000750	Tgra	mikado.HiC_scaffold_9.0G1044.1	KUTeg_003151
OG0000750	Sbro	mikado.HiC_scaffold_9.0G1044.1	EVM0001169.1
OG0000750	Tgra	mikado.HiC_scaffold_21.0G1289.1	KUTeg_002113, KUTeg_014811
OG0000750	Sbro	mikado.HiC_scaffold_21.0G1289.1	EVM0006951.1
OG0000751	Tgra	mikado.HiC_scaffold_9.0G1169.1, mikado.HiC_scaffold_9.0G1170.1, mikado.HiC_scaffold_9.0G1171.1, mikado.HiC_scaffold_9.0G1172.1	KUTeg_003227, KUTeg_003180
OG0000751	Sbro	mikado.HiC_scaffold_9.0G1169.1, mikado.HiC_scaffold_9.0G1170.1, mikado.HiC_scaffold_9.0G1171.1, mikado.HiC_scaffold_9.0G1172.1	EVM0022946.1, EVM0018455.1
OG0000752	Tgra	mikado.HiC_scaffold_18.0G1041.1, mikado.HiC_scaffold_18.0G1039.1	KUTeg_018822
OG0000752	Sbro	mikado.HiC_scaffold_18.0G1041.1, mikado.HiC_scaffold_18.0G1039.1	EVM0023584.1
OG0000752	Sbro	mikado.HiC_scaffold_9.0G1295.1	EVM0010804.1, EVM0008863.1, EVM0008539.1
OG0000753	Sbro	mikado.HiC_scaffold_9.0G1430.1, mikado.HiC_scaffold_9.0G1429.1, mikado.HiC_scaffold_9.0G1423.1, mikado.HiC_scaffold_9.0G1422.1, mikado.HiC_scaffold_13.0G804.1	EVM0006106.1
OG0000753	Tgra	mikado.HiC_scaffold_9.0G1430.1, mikado.HiC_scaffold_9.0G1429.1, mikado.HiC_scaffold_9.0G1423.1, mikado.HiC_scaffold_9.0G1422.1, mikado.HiC_scaffold_13.0G804.1	KUTeg_018612, KUTeg_018626
OG0000754	Sbro	mikado.HiC_scaffold_9.0G1621.1	EVM0016852.1
OG0000754	Tgra	mikado.HiC_scaffold_9.0G1621.1	KUTeg_003893
OG0000754	Sbro	mikado.HiC_scaffold_9.0G1618.1, mikado.HiC_scaffold_14.0G116.1, mikado.HiC_scaffold_9.0G1624.1	EVM0007450.1, EVM0022467.1
OG0000755	Sbro	mikado.HiC_scaffold_10.0G860.1, mikado.HiC_scaffold_9.0G1690.1, mikado.HiC_scaffold_21.0G595.1	EVM0001261.1, EVM0014178.1, EVM0004435.1
OG0000755	Tgra	mikado.HiC_scaffold_10.0G860.1, mikado.HiC_scaffold_9.0G1690.1, mikado.HiC_scaffold_21.0G595.1	KUTeg_024841, KUTeg_008481
OG0000756	Tgra	mikado.HiC_scaffold_14.0G1015.1, mikado.HiC_scaffold_14.0G1021.1, mikado.HiC_scaffold_14.0G1018.1, mikado.HiC_scaffold_10.0G44.1, mikado.HiC_scaffold_14.0G1022.1, mikado.HiC_scaffold_14.0G1019.1	KUTeg_005553
OG0000756	Sbro	mikado.HiC_scaffold_14.0G1015.1, mikado.HiC_scaffold_14.0G1021.1, mikado.HiC_scaffold_14.0G1018.1, mikado.HiC_scaffold_10.0G44.1, mikado.HiC_scaffold_14.0G1022.1, mikado.HiC_scaffold_14.0G1019.1	EVM0015997.1
OG0000758	Tgra	mikado.HiC_scaffold_10.0G217.1, mikado.HiC_scaffold_10.0G223.1, mikado.HiC_scaffold_10.0G215.1, mikado.HiC_scaffold_10.0G218.1, mikado.HiC_scaffold_10.0G222.1, mikado.HiC_scaffold_10.0G221.1	KUTeg_008470, KUTeg_013417
OG0000759	Sbro	mikado.HiC_scaffold_10.0G446.5	EVM0009196.1
OG0000759	Tgra	mikado.HiC_scaffold_10.0G446.5	KUTeg_010905
OG0000759	Tgra	mikado.HiC_scaffold_10.0G446.2, mikado.HiC_scaffold_10.0G446.1	KUTeg_010902
OG0000759	Sbro	mikado.HiC_scaffold_10.0G446.2, mikado.HiC_scaffold_10.0G446.1	EVM0001876.1, EVM0021783.1
OG0000760	Sbro	mikado.HiC_scaffold_10.0G455.1	EVM0017511.1, EVM0011702.1
OG0000760	Tgra	mikado.HiC_scaffold_10.0G455.1	KUTeg_010740
OG0000760	Sbro	mikado.HiC_scaffold_10.0G457.1	EVM0000856.1, EVM0006633.1
OG0000763	Sbro	mikado.HiC_scaffold_15.0G277.1, mikado.HiC_scaffold_15.0G278.1, mikado.HiC_scaffold_10.0G851.1	EVM0017289.1
OG0000763	Sbro	mikado.HiC_scaffold_18.0G576.1, mikado.HiC_scaffold_18.0G572.1, mikado.HiC_scaffold_18.0G571.1	EVM0002366.1
OG0000764	Sbro	mikado.HiC_scaffold_11.0G58.1, mikado.HiC_scaffold_21.0G780.1, mikado.HiC_scaffold_11.0G641.1	EVM0017715.1, EVM0012999.1
OG0000764	Tgra	mikado.HiC_scaffold_11.0G58.1, mikado.HiC_scaffold_21.0G780.1, mikado.HiC_scaffold_11.0G641.1	KUTeg_008066, KUTeg_020867, KUTeg_009048
OG0000765	Tgra	mikado.HiC_scaffold_18.0G199.1, mikado.HiC_scaffold_18.0G1421.1, mikado.HiC_scaffold_18.0G1420.1, mikado.HiC_scaffold_18.0G1419.1, mikado.HiC_scaffold_18.0G198.1, mikado.HiC_scaffold_11.0G201.1	KUTeg_019760
OG0000765	Sbro	mikado.HiC_scaffold_18.0G199.1, mikado.HiC_scaffold_18.0G1421.1, mikado.HiC_scaffold_18.0G1420.1, mikado.HiC_scaffold_18.0G1419.1, mikado.HiC_scaffold_18.0G198.1, mikado.HiC_scaffold_11.0G201.1	EVM0000678.1
OG0000766	Tgra	mikado.HiC_scaffold_11.0G374.1, mikado.HiC_scaffold_19.0G492.1, mikado.HiC_scaffold_19.0G1059.1, mikado.HiC_scaffold_19.0G1259.1, mikado.HiC_scaffold_19.0G1065.1, mikado.HiC_scaffold_19.0G1257.1	KUTeg_018647
OG0000766	Sbro	mikado.HiC_scaffold_11.0G374.1, mikado.HiC_scaffold_19.0G492.1, mikado.HiC_scaffold_19.0G1059.1, mikado.HiC_scaffold_19.0G1259.1, mikado.HiC_scaffold_19.0G1065.1, mikado.HiC_scaffold_19.0G1257.1	EVM0002465.1
OG0000767	Sbro	mikado.HiC_scaffold_11.0G586.1, mikado.HiC_scaffold_11.0G588.1, mikado.HiC_scaffold_12.3160685G723.1, mikado.HiC_scaffold_11.0G587.1	EVM0015278.1, EVM0005184.1
OG0000767	Tgra	mikado.HiC_scaffold_11.0G586.1, mikado.HiC_scaffold_11.0G588.1, mikado.HiC_scaffold_12.3160685G723.1, mikado.HiC_scaffold_11.0G587.1	KUTeg_002530, KUTeg_001521
OG0000768	Sbro	mikado.HiC_scaffold_13.0G74.1	EVM0019457.1, EVM0020697.1, EVM0017665.1, EVM0005633.1, EVM0014996.1, EVM0019247.1, EVM0022862.1
OG0000769	Sbro	mikado.HiC_scaffold_13.0G257.1, mikado.HiC_scaffold_15.0G1245.1	EVM0020981.1, EVM0012221.1, EVM0004492.1, EVM0009123.1, EVM0006602.1, EVM0003652.1
OG0000770	Sbro	mikado.HiC_scaffold_8.8335562G115.1, mikado.HiC_scaffold_8.8335562G114.1, mikado.HiC_scaffold_13.0G524.1	EVM0016016.1, EVM0014291.1, EVM0018315.1, EVM0001075.1, EVM0014859.1
OG0000771	Tgra	mikado.HiC_scaffold_13.0G697.1, mikado.HiC_scaffold_15.0G1824.1, mikado.HiC_scaffold_14.0G262.1, mikado.HiC_scaffold_14.0G268.1	KUTeg_016869, KUTeg_005321
OG0000771	Sbro	mikado.HiC_scaffold_13.0G697.1	EVM0022376.1
OG0000771	Sbro	mikado.HiC_scaffold_15.0G1824.1, mikado.HiC_scaffold_14.0G262.1, mikado.HiC_scaffold_14.0G268.1	EVM0022986.1
OG0000772	Tgra	mikado.HiC_scaffold_13.0G745.1	KUTeg_016413
OG0000772	Tgra	mikado.HiC_scaffold_13.0G739.1	KUTeg_016828, KUTeg_016453
OG0000772	Sbro	mikado.HiC_scaffold_13.0G739.1	EVM0005181.1, EVM0023797.1, EVM0000890.1
OG0000773	Sbro	mikado.HiC_scaffold_19.0G1330.1, mikado.HiC_scaffold_19.0G1329.1, mikado.HiC_scaffold_19.0G562.1, mikado.HiC_scaffold_13.0G825.1	EVM0004845.1
OG0000773	Tgra	mikado.HiC_scaffold_19.0G1330.1, mikado.HiC_scaffold_19.0G1329.1	KUTeg_016896
OG0000773	Tgra	mikado.HiC_scaffold_19.0G562.1	KUTeg_009063
OG0000773	Tgra	mikado.HiC_scaffold_13.0G825.1	KUTeg_016441
OG0000774	Sbro	mikado.HiC_scaffold_13.0G1019.5, mikado.HiC_scaffold_13.0G1019.3, mikado.HiC_scaffold_13.0G1019.1, mikado.HiC_scaffold_13.0G1019.2, mikado.HiC_scaffold_13.0G1019.4	EVM0022719.1
OG0000774	Tgra	mikado.HiC_scaffold_13.0G1019.5, mikado.HiC_scaffold_13.0G1019.3, mikado.HiC_scaffold_13.0G1019.1, mikado.HiC_scaffold_13.0G1019.2, mikado.HiC_scaffold_13.0G1019.4	KUTeg_015998, KUTeg_015999
