Orthogroup	Sbro	Azeb
OG0002488	EVM0002390.1, EVM0003531.1	mikado.HiC_scaffold_15.0G893.1
OG0002489	EVM0007194.1, EVM0013834.1	mikado.HiC_scaffold_15.0G1717.1, mikado.HiC_scaffold_15.0G1716.1, mikado.HiC_scaffold_15.0G902.1
OG0002490	EVM0014162.1	mikado.HiC_scaffold_15.0G916.1, mikado.HiC_scaffold_15.0G915.1, mikado.HiC_scaffold_15.0G917.1, mikado.HiC_scaffold_15.0G918.1
OG0002491	EVM0007071.1, EVM0010166.1	mikado.HiC_scaffold_15.0G997.1
OG0002492	EVM0021361.1	mikado.HiC_scaffold_15.0G1053.1, mikado.HiC_scaffold_12.3160685G1421.1, mikado.HiC_scaffold_12.3160685G1420.1
OG0002493	EVM0022557.1	mikado.HiC_scaffold_15.0G1140.1, mikado.HiC_scaffold_15.0G1140.2
OG0002494	EVM0021758.1, EVM0010925.1, EVM0015261.1	mikado.HiC_scaffold_15.0G1157.1
OG0002495	EVM0015697.1	mikado.HiC_scaffold_15.0G1173.1, mikado.HiC_scaffold_15.0G1179.1
OG0002496	EVM0022138.1	mikado.HiC_scaffold_15.0G1265.1
OG0002497	EVM0023291.1	mikado.HiC_scaffold_15.0G1303.1
OG0002497	EVM0004171.1	mikado.HiC_scaffold_18.0G935.1
OG0002498	EVM0013096.1, EVM0003615.1, EVM0002686.1	mikado.HiC_scaffold_15.0G1324.1
OG0002499	EVM0004147.1, EVM0018093.1, EVM0022534.1	mikado.HiC_scaffold_15.0G1349.1
OG0002500	EVM0022189.1	mikado.HiC_scaffold_15.0G1353.1, mikado.HiC_scaffold_15.0G1355.1
OG0002501	EVM0006350.1	mikado.HiC_scaffold_19.0G1125.1
OG0002502	EVM0018320.1, EVM0003695.1	mikado.HiC_scaffold_15.0G1427.1
OG0002503	EVM0009385.1, EVM0021453.1	mikado.HiC_scaffold_15.0G1434.1, mikado.HiC_scaffold_15.0G1437.1
OG0002504	EVM0007082.1, EVM0007801.1	mikado.HiC_scaffold_15.0G1482.1
OG0002505	EVM0013927.1, EVM0004193.1	mikado.HiC_scaffold_15.0G1492.1
OG0002506	EVM0020968.1	mikado.HiC_scaffold_15.0G1529.1, mikado.HiC_scaffold_15.0G1534.1
OG0002507	EVM0021356.1	mikado.HiC_scaffold_15.0G1559.1, mikado.HiC_scaffold_15.0G1558.1, mikado.HiC_scaffold_15.0G1809.1, mikado.HiC_scaffold_15.0G1812.1
OG0002509	EVM0011214.1, EVM0015107.1	mikado.HiC_scaffold_15.0G1611.1, mikado.HiC_scaffold_15.0G1612.1
OG0002510	EVM0021021.1, EVM0007417.1	mikado.HiC_scaffold_15.0G1651.1
OG0002511	EVM0012037.1	mikado.HiC_scaffold_15.0G1655.1, mikado.HiC_scaffold_19.0G598.1
OG0002512	EVM0009122.1	mikado.HiC_scaffold_15.0G1661.4, mikado.HiC_scaffold_15.0G1661.3, mikado.HiC_scaffold_15.0G1661.2
OG0002513	EVM0013663.1, EVM0021912.1	mikado.HiC_scaffold_15.0G1663.1
OG0002514	EVM0017685.1	mikado.HiC_scaffold_15.0G2268.1, mikado.HiC_scaffold_15.0G1676.1
OG0002515	EVM0001856.1, EVM0014981.1, EVM0013599.1	mikado.HiC_scaffold_15.0G1684.1
OG0002516	EVM0017393.1	mikado.HiC_scaffold_15.0G1721.3, mikado.HiC_scaffold_15.0G1721.2
OG0002517	EVM0009532.1	mikado.HiC_scaffold_15.0G1728.1, mikado.HiC_scaffold_15.0G1727.1, mikado.HiC_scaffold_15.0G1726.1
OG0002518	EVM0005690.1, EVM0005592.1	mikado.HiC_scaffold_15.0G1730.1, mikado.HiC_scaffold_15.0G1730.2
OG0002520	EVM0003796.1, EVM0002765.1	mikado.HiC_scaffold_15.0G1765.1
OG0002521	EVM0017732.1	mikado.HiC_scaffold_15.0G1767.1
OG0002522	EVM0010336.1, EVM0018454.1	mikado.HiC_scaffold_15.0G1817.1
OG0002523	EVM0013364.1	mikado.HiC_scaffold_15.0G1878.1, mikado.HiC_scaffold_15.0G1877.1, mikado.HiC_scaffold_15.0G1876.1
OG0002525	EVM0006097.1	mikado.HiC_scaffold_15.0G1912.1, mikado.HiC_scaffold_15.0G1914.1, mikado.HiC_scaffold_15.0G1913.1
OG0002526	EVM0008685.1	mikado.HiC_scaffold_15.0G1919.1
OG0002527	EVM0014103.1	mikado.HiC_scaffold_15.0G1936.1
OG0002528	EVM0014340.1	mikado.HiC_scaffold_15.0G1938.1, mikado.HiC_scaffold_15.0G1939.1
OG0002529	EVM0022395.1, EVM0019883.1	mikado.HiC_scaffold_15.0G1984.1, mikado.HiC_scaffold_15.0G1985.1
OG0002530	EVM0020056.1	mikado.HiC_scaffold_15.0G2008.1
OG0002530	EVM0018283.1	mikado.HiC_scaffold_15.0G2010.1
OG0002531	EVM0012090.1, EVM0023209.1, EVM0004244.1	mikado.HiC_scaffold_15.0G2035.1
OG0002532	EVM0020820.1	mikado.HiC_scaffold_15.0G2041.1
OG0002533	EVM0020247.1	mikado.HiC_scaffold_15.0G2161.2, mikado.HiC_scaffold_15.0G2161.1
OG0002534	EVM0018721.1, EVM0015504.1, EVM0012126.1	mikado.HiC_scaffold_15.0G2170.1
OG0002535	EVM0015750.1	mikado.HiC_scaffold_15.0G2172.1, mikado.HiC_scaffold_15.0G2173.2
OG0002536	EVM0022793.1, EVM0001315.1	mikado.HiC_scaffold_15.0G2223.1
OG0002537	EVM0006198.1	mikado.HiC_scaffold_15.0G2227.3, mikado.HiC_scaffold_15.0G2227.1, mikado.HiC_scaffold_15.0G2227.2
OG0002538	EVM0010432.1, EVM0001532.1	mikado.HiC_scaffold_15.0G2237.1
OG0002539	EVM0002674.1, EVM0011567.1	mikado.HiC_scaffold_15.0G2244.1
OG0002540	EVM0015849.1	mikado.HiC_scaffold_15.0G2247.1, mikado.HiC_scaffold_15.0G2247.2
OG0002541	EVM0001243.2	mikado.HiC_scaffold_15.0G2252.1, mikado.HiC_scaffold_15.0G2252.2, mikado.HiC_scaffold_15.0G2252.3
OG0002542	EVM0009711.1	mikado.HiC_scaffold_15.0G2265.1, mikado.HiC_scaffold_15.0G2265.3, mikado.HiC_scaffold_15.0G2265.2
OG0002543	EVM0009978.1	mikado.HiC_scaffold_15.0G2288.1
OG0002544	EVM0003962.1, EVM0019970.1, EVM0006869.1	mikado.HiC_scaffold_15.0G2316.1, mikado.HiC_scaffold_15.0G2314.1
OG0002545	EVM0011973.1	mikado.HiC_scaffold_15.0G2330.1, mikado.HiC_scaffold_15.0G2329.1
OG0002546	EVM0001173.1	mikado.HiC_scaffold_15.0G2331.1
OG0002547	EVM0015722.1	mikado.HiC_scaffold_15.0G2333.1, mikado.HiC_scaffold_15.0G2363.1
OG0002548	EVM0010506.1, EVM0007170.1	mikado.HiC_scaffold_15.0G2381.1
OG0002549	EVM0003643.1	mikado.HiC_scaffold_15.0G2383.2, mikado.HiC_scaffold_15.0G2383.1
OG0002550	EVM0005965.1, EVM0020661.1	mikado.HiC_scaffold_15.0G2395.1
OG0002551	EVM0003937.1	mikado.HiC_scaffold_15.0G2457.1, mikado.HiC_scaffold_15.0G2410.1
OG0002552	EVM0019774.1	mikado.HiC_scaffold_15.0G2445.1
OG0002553	EVM0009805.1	mikado.HiC_scaffold_21.0G211.1
OG0002553	EVM0001883.1	mikado.HiC_scaffold_16.0G19.1
OG0002554	EVM0023361.1, EVM0008015.1, EVM0023569.1	mikado.HiC_scaffold_16.0G23.1, mikado.HiC_scaffold_12.3160685G874.1
OG0002555	EVM0005022.1	mikado.HiC_scaffold_16.0G33.1, mikado.HiC_scaffold_4333G4.2, mikado.HiC_scaffold_4333G4.1
OG0002556	EVM0017172.2	mikado.HiC_scaffold_16.0G46.9, mikado.HiC_scaffold_16.0G46.1, mikado.HiC_scaffold_16.0G46.2
OG0002557	EVM0009440.1	mikado.HiC_scaffold_16.0G78.1
OG0002558	EVM0014756.1	mikado.HiC_scaffold_16.0G81.1, mikado.HiC_scaffold_16.0G81.2
OG0002559	EVM0009271.1	mikado.HiC_scaffold_16.0G155.1
OG0002560	EVM0002920.1	mikado.HiC_scaffold_16.0G163.1, mikado.HiC_scaffold_16.0G164.1, mikado.HiC_scaffold_16.0G162.1
OG0002561	EVM0008344.1	mikado.HiC_scaffold_16.0G273.1, mikado.HiC_scaffold_16.0G270.1, mikado.HiC_scaffold_16.0G271.1
OG0002562	EVM0010030.1	mikado.HiC_scaffold_16.0G274.2, mikado.HiC_scaffold_16.0G272.1, mikado.HiC_scaffold_16.0G274.1
OG0002563	EVM0000376.1, EVM0015890.1, EVM0017380.1	mikado.HiC_scaffold_16.0G359.1
OG0002564	EVM0004601.1, EVM0016750.1, EVM0007385.1	mikado.HiC_scaffold_16.0G363.1
OG0002565	EVM0017083.1	mikado.HiC_scaffold_16.0G367.1, mikado.HiC_scaffold_12.3160685G1288.1, mikado.HiC_scaffold_12.3160685G1283.1
OG0002566	EVM0013411.1	mikado.HiC_scaffold_16.0G431.1, mikado.HiC_scaffold_16.0G431.3, mikado.HiC_scaffold_16.0G431.2
OG0002567	EVM0007284.1, EVM0016813.1	mikado.HiC_scaffold_16.0G475.1
OG0002568	EVM0021591.1, EVM0022993.1, EVM0000198.1, EVM0013963.1	mikado.HiC_scaffold_16.0G487.1
OG0002569	EVM0011227.1, EVM0023435.1	mikado.HiC_scaffold_16.0G488.1
OG0002570	EVM0008746.1	mikado.HiC_scaffold_16.0G500.1
OG0002571	EVM0008659.1	mikado.HiC_scaffold_16.0G515.1, mikado.HiC_scaffold_16.0G517.1
OG0002572	EVM0022525.1	mikado.HiC_scaffold_16.0G518.1
OG0002573	EVM0014851.1	mikado.HiC_scaffold_16.0G521.1, mikado.HiC_scaffold_16.0G519.1
OG0002574	EVM0017273.1, EVM0008554.1	mikado.HiC_scaffold_16.0G1303.1, mikado.HiC_scaffold_16.0G579.1
OG0002575	EVM0011531.1, EVM0011177.1	mikado.HiC_scaffold_16.0G581.1
OG0002576	EVM0013011.1	mikado.HiC_scaffold_16.0G603.1, mikado.HiC_scaffold_16.0G602.2, mikado.HiC_scaffold_16.0G604.1, mikado.HiC_scaffold_16.0G602.1
OG0002577	EVM0004922.1	mikado.HiC_scaffold_16.0G626.1, mikado.HiC_scaffold_16.0G627.1
OG0002578	EVM0007212.1	mikado.HiC_scaffold_16.0G648.1
OG0002579	EVM0012486.1, EVM0021204.1	mikado.HiC_scaffold_16.0G654.1
OG0002580	EVM0009566.1	mikado.HiC_scaffold_16.0G679.3, mikado.HiC_scaffold_16.0G679.1, mikado.HiC_scaffold_16.0G679.2
OG0002581	EVM0020201.1	mikado.HiC_scaffold_16.0G715.3, mikado.HiC_scaffold_16.0G715.2, mikado.HiC_scaffold_16.0G715.1
OG0002582	EVM0023701.1	mikado.HiC_scaffold_16.0G729.1
OG0002583	EVM0016031.1	mikado.HiC_scaffold_16.0G731.1
OG0002583	EVM0016475.1	mikado.HiC_scaffold_16.0G732.1
OG0002584	EVM0010778.1	mikado.HiC_scaffold_21.0G586.1, mikado.HiC_scaffold_8.8335562G433.1, mikado.HiC_scaffold_16.0G796.1
OG0002585	EVM0021970.1	mikado.HiC_scaffold_16.0G800.1
OG0002586	EVM0014737.1	mikado.HiC_scaffold_16.0G817.1, mikado.HiC_scaffold_16.0G817.2, mikado.HiC_scaffold_16.0G817.4
OG0002588	EVM0007816.1	mikado.HiC_scaffold_16.0G848.2, mikado.HiC_scaffold_16.0G848.1, mikado.HiC_scaffold_16.0G850.1
OG0002589	EVM0023182.1, EVM0019958.1	mikado.HiC_scaffold_16.0G875.1
OG0002590	EVM0002917.1	mikado.HiC_scaffold_16.0G914.2, mikado.HiC_scaffold_16.0G914.1
OG0002591	EVM0023624.1, EVM0006706.1	mikado.HiC_scaffold_16.0G915.1
OG0002592	EVM0003885.1, EVM0014787.2	mikado.HiC_scaffold_16.0G956.1, mikado.HiC_scaffold_17.0G908.1
OG0002593	EVM0012708.1, EVM0009412.2	mikado.HiC_scaffold_16.0G969.1, mikado.HiC_scaffold_16.0G968.1
OG0002594	EVM0013400.1	mikado.HiC_scaffold_16.0G985.1
OG0002595	EVM0022863.1	mikado.HiC_scaffold_16.0G1026.3, mikado.HiC_scaffold_16.0G1026.1, mikado.HiC_scaffold_16.0G1026.2
OG0002596	EVM0015615.1	mikado.HiC_scaffold_16.0G1037.1
OG0002597	EVM0022964.1, EVM0001980.1	mikado.HiC_scaffold_16.0G1071.1
OG0002598	EVM0002949.1	mikado.HiC_scaffold_16.0G1097.1, mikado.HiC_scaffold_16.0G1093.1
OG0002599	EVM0018516.1	mikado.HiC_scaffold_16.0G1113.2, mikado.HiC_scaffold_16.0G1113.1, mikado.HiC_scaffold_16.0G1113.3
OG0002600	EVM0015348.1	mikado.HiC_scaffold_16.0G1122.1, mikado.HiC_scaffold_16.0G1121.1, mikado.HiC_scaffold_16.0G1123.1
OG0002601	EVM0023055.1	mikado.HiC_scaffold_16.0G1132.1, mikado.HiC_scaffold_16.0G1134.1, mikado.HiC_scaffold_16.0G1137.1
OG0002602	EVM0002542.1	mikado.HiC_scaffold_16.0G1198.3, mikado.HiC_scaffold_16.0G1198.2, mikado.HiC_scaffold_16.0G1198.1
OG0002603	EVM0012224.1	mikado.HiC_scaffold_16.0G1225.1, mikado.HiC_scaffold_16.0G1225.2, mikado.HiC_scaffold_16.0G1225.3
OG0002604	EVM0008409.1, EVM0022484.1	mikado.HiC_scaffold_16.0G1317.1
OG0002605	EVM0011967.1, EVM0020919.1, EVM0002657.1, EVM0023792.1	mikado.HiC_scaffold_16.0G1337.1
OG0002606	EVM0001869.1, EVM0012571.1	mikado.HiC_scaffold_16.0G1339.1, mikado.HiC_scaffold_16.0G1338.1
OG0002607	EVM0003730.1, EVM0008478.1, EVM0003518.1	mikado.HiC_scaffold_16.0G1369.1
OG0002608	EVM0021831.1	mikado.HiC_scaffold_16.0G1371.1, mikado.HiC_scaffold_16.0G1370.1
OG0002609	EVM0002931.1	mikado.HiC_scaffold_19.0G337.1, mikado.HiC_scaffold_16.0G1397.1, mikado.HiC_scaffold_19.0G338.1
OG0002610	EVM0012238.1, EVM0011885.1, EVM0008179.1	mikado.HiC_scaffold_16.0G1487.1, mikado.HiC_scaffold_16.0G1484.1
OG0002611	EVM0007867.1, EVM0012124.1	mikado.HiC_scaffold_16.0G1499.1
OG0002612	EVM0021613.1, EVM0004172.1, EVM0010210.2	mikado.HiC_scaffold_16.0G1503.1
OG0002613	EVM0009960.1	mikado.HiC_scaffold_16.0G1504.1, mikado.HiC_scaffold_16.0G1505.1
OG0002615	EVM0005487.1	mikado.HiC_scaffold_16.0G1535.1
OG0002616	EVM0013746.1	mikado.HiC_scaffold_16.0G1578.1, mikado.HiC_scaffold_16.0G1578.2
OG0002617	EVM0009261.1	mikado.HiC_scaffold_16.0G1638.1
OG0002618	EVM0010223.1, EVM0008556.1	mikado.HiC_scaffold_16.0G1668.1
OG0002619	EVM0014931.1	mikado.HiC_scaffold_16.0G1727.1, mikado.HiC_scaffold_16.0G1725.1, mikado.HiC_scaffold_16.0G1725.2
OG0002620	EVM0001067.1	mikado.HiC_scaffold_16.0G1728.1, mikado.HiC_scaffold_16.0G1724.1
OG0002621	EVM0014038.1	mikado.HiC_scaffold_16.0G1748.3, mikado.HiC_scaffold_16.0G1748.1, mikado.HiC_scaffold_16.0G1748.2
OG0002622	EVM0000288.1	mikado.HiC_scaffold_16.0G1750.1, mikado.HiC_scaffold_16.0G1783.1, mikado.HiC_scaffold_16.0G1751.1
OG0002623	EVM0010126.1, EVM0002661.1	mikado.HiC_scaffold_16.0G1789.1
OG0002624	EVM0017119.1, EVM0006660.1, EVM0022203.1	mikado.HiC_scaffold_16.0G1828.1
OG0002625	EVM0022815.2	mikado.HiC_scaffold_17.0G18.1
OG0002626	EVM0010848.1	mikado.HiC_scaffold_17.0G69.1
OG0002626	EVM0016913.1	mikado.HiC_scaffold_17.0G70.1
OG0002627	EVM0007195.1	mikado.HiC_scaffold_17.0G87.1, mikado.HiC_scaffold_17.0G92.1
OG0002628	EVM0002582.1	mikado.HiC_scaffold_17.0G88.1, mikado.HiC_scaffold_17.0G91.1, mikado.HiC_scaffold_17.0G91.2
OG0002629	EVM0013138.1	mikado.HiC_scaffold_17.0G131.3, mikado.HiC_scaffold_17.0G131.2, mikado.HiC_scaffold_17.0G131.1
OG0002630	EVM0000355.1	mikado.HiC_scaffold_17.0G138.1
OG0002631	EVM0015891.1	mikado.HiC_scaffold_19.0G751.1, mikado.HiC_scaffold_19.0G754.1, mikado.HiC_scaffold_19.0G743.1, mikado.HiC_scaffold_17.0G167.1
OG0002632	EVM0017241.1	mikado.HiC_scaffold_17.0G198.1, mikado.HiC_scaffold_17.0G199.1, mikado.HiC_scaffold_17.0G196.1
OG0002633	EVM0002853.1, EVM0021209.1	mikado.HiC_scaffold_17.0G211.1, mikado.HiC_scaffold_19.0G1414.1, mikado.HiC_scaffold_1293G1.1
OG0002634	EVM0018303.1	mikado.HiC_scaffold_17.0G220.1, mikado.HiC_scaffold_17.0G214.1
OG0002635	EVM0000334.1, EVM0005016.1	mikado.HiC_scaffold_17.0G240.1
OG0002636	EVM0007601.1	mikado.HiC_scaffold_17.0G241.1
OG0002636	EVM0014752.1	mikado.HiC_scaffold_19.0G936.1
OG0002637	EVM0000570.1	mikado.HiC_scaffold_17.0G262.1, mikado.HiC_scaffold_17.0G261.1
OG0002638	EVM0005557.1, EVM0022574.1, EVM0000197.1	mikado.HiC_scaffold_17.0G301.1
OG0002639	EVM0017777.1	mikado.HiC_scaffold_17.0G310.1
OG0002639	EVM0001159.1, EVM0019156.1	mikado.HiC_scaffold_17.0G309.1
OG0002640	EVM0000378.1, EVM0019506.1	mikado.HiC_scaffold_17.0G318.1
OG0002641	EVM0014325.1, EVM0022044.1, EVM0006363.1	mikado.HiC_scaffold_17.0G330.1
OG0002642	EVM0012721.1, EVM0007943.1	mikado.HiC_scaffold_17.0G347.1
OG0002643	EVM0000420.1, EVM0016710.1	mikado.HiC_scaffold_17.0G367.1
OG0002644	EVM0010940.1	mikado.HiC_scaffold_17.0G379.1
OG0002644	EVM0000911.1	mikado.HiC_scaffold_17.0G934.1
OG0002645	EVM0001933.1	mikado.HiC_scaffold_17.0G468.1
OG0002646	EVM0017155.1	mikado.HiC_scaffold_17.0G488.1
OG0002646	EVM0000451.1	mikado.HiC_scaffold_17.0G486.1, mikado.HiC_scaffold_17.0G487.1
OG0002647	EVM0005710.1, EVM0006810.1	mikado.HiC_scaffold_19.0G686.1, mikado.HiC_scaffold_17.0G492.1
OG0002648	EVM0018758.1	mikado.HiC_scaffold_17.0G532.1
OG0002649	EVM0002536.1, EVM0015867.1	mikado.HiC_scaffold_17.0G560.1, mikado.HiC_scaffold_17.0G560.2
OG0002650	EVM0009885.1	mikado.HiC_scaffold_17.0G579.1
OG0002651	EVM0000592.1, EVM0000496.1	mikado.HiC_scaffold_17.0G631.1, mikado.HiC_scaffold_17.0G630.1
OG0002652	EVM0013246.1	mikado.HiC_scaffold_17.0G647.1
OG0002653	EVM0016493.1	mikado.HiC_scaffold_17.0G688.1
OG0002654	EVM0000622.1	mikado.HiC_scaffold_17.0G689.1
OG0002654	EVM0002968.1	mikado.HiC_scaffold_17.0G690.1
OG0002655	EVM0018942.1	mikado.HiC_scaffold_17.0G738.1
OG0002656	EVM0017938.1, EVM0011038.1	mikado.HiC_scaffold_17.0G741.1
OG0002657	EVM0009022.1, EVM0023363.1	mikado.HiC_scaffold_17.0G743.1
OG0002658	EVM0005110.1	mikado.HiC_scaffold_17.0G747.1
OG0002659	EVM0013644.1, EVM0009452.1	mikado.HiC_scaffold_17.0G828.1
OG0002661	EVM0009432.1	mikado.HiC_scaffold_17.0G845.1, mikado.HiC_scaffold_18.0G964.1
OG0002662	EVM0022482.1	mikado.HiC_scaffold_17.0G848.1, mikado.HiC_scaffold_17.0G847.1
OG0002663	EVM0022640.1	mikado.HiC_scaffold_17.0G913.1
OG0002664	EVM0011814.1, EVM0022387.1	mikado.HiC_scaffold_17.0G930.1
OG0002665	EVM0003893.1	mikado.HiC_scaffold_17.0G939.1, mikado.HiC_scaffold_17.0G940.2, mikado.HiC_scaffold_17.0G940.1
OG0002666	EVM0003834.1	mikado.HiC_scaffold_17.0G943.1
OG0002667	EVM0011467.1, EVM0023639.1	mikado.HiC_scaffold_17.0G974.1
OG0002668	EVM0009776.1	mikado.HiC_scaffold_17.0G1016.1
OG0002669	EVM0008655.1	mikado.HiC_scaffold_17.0G1036.1, mikado.HiC_scaffold_17.0G1029.1
OG0002670	EVM0022378.1	mikado.HiC_scaffold_17.0G1032.1, mikado.HiC_scaffold_17.0G1039.1, mikado.HiC_scaffold_17.0G1031.1
OG0002671	EVM0019913.1	mikado.HiC_scaffold_17.0G1057.1
OG0002672	EVM0007115.1, EVM0002221.1, EVM0017534.1	mikado.HiC_scaffold_17.0G1089.1
OG0002673	EVM0014884.1	mikado.HiC_scaffold_17.0G1093.1, mikado.HiC_scaffold_17.0G1093.2
OG0002674	EVM0010975.1	mikado.HiC_scaffold_17.0G1104.1, mikado.HiC_scaffold_17.0G1103.1, mikado.HiC_scaffold_17.0G1101.1
OG0002675	EVM0017074.1, EVM0012394.1	mikado.HiC_scaffold_17.0G1134.1
OG0002676	EVM0004054.1	mikado.HiC_scaffold_17.0G1139.1, mikado.HiC_scaffold_17.0G1139.2, mikado.HiC_scaffold_17.0G1142.1
OG0002677	EVM0008795.1, EVM0013225.1	mikado.HiC_scaffold_18.0G52.1
OG0002678	EVM0002149.1	mikado.HiC_scaffold_18.0G54.1, mikado.HiC_scaffold_18.0G53.1, mikado.HiC_scaffold_18.0G53.2
OG0002679	EVM0017114.1, EVM0014986.1	mikado.HiC_scaffold_18.0G69.1
OG0002680	EVM0012483.1, EVM0011119.1, EVM0017830.1	mikado.HiC_scaffold_18.0G124.1
OG0002681	EVM0019310.1, EVM0001104.1	mikado.HiC_scaffold_18.0G136.1
OG0002682	EVM0007732.1	mikado.HiC_scaffold_18.0G144.2, mikado.HiC_scaffold_18.0G144.1, mikado.HiC_scaffold_18.0G143.1
OG0002684	EVM0014379.2	mikado.HiC_scaffold_18.0G224.1, mikado.HiC_scaffold_8.8335562G394.1
OG0002685	EVM0016662.1	mikado.HiC_scaffold_18.0G269.1
OG0002686	EVM0015246.1	mikado.HiC_scaffold_18.0G270.1
OG0002687	EVM0011767.1, EVM0021482.1, EVM0006388.1	mikado.HiC_scaffold_18.0G274.1
OG0002688	EVM0003284.1, EVM0011626.1	mikado.HiC_scaffold_18.0G375.1
OG0002689	EVM0012671.1, EVM0021605.1, EVM0011133.1, EVM0005961.1	mikado.HiC_scaffold_18.0G404.1
OG0002690	EVM0013931.1, EVM0020329.1	mikado.HiC_scaffold_18.0G476.1, mikado.HiC_scaffold_18.0G479.1
OG0002692	EVM0022538.1, EVM0018767.1, EVM0007672.1	mikado.HiC_scaffold_18.0G547.1
OG0002693	EVM0012207.1	mikado.HiC_scaffold_18.0G558.1, mikado.HiC_scaffold_18.0G559.1, mikado.HiC_scaffold_18.0G560.1
OG0002694	EVM0018214.1, EVM0014799.1, EVM0014384.1	mikado.HiC_scaffold_18.0G617.1
OG0002695	EVM0014946.1, EVM0021346.1	mikado.HiC_scaffold_18.0G620.1
OG0002696	EVM0002635.1	mikado.HiC_scaffold_18.0G672.1
OG0002696	EVM0002608.1	mikado.HiC_scaffold_18.0G671.1
OG0002697	EVM0010255.1, EVM0018084.1	mikado.HiC_scaffold_18.0G704.1
OG0002698	EVM0014193.1, EVM0004518.1	mikado.HiC_scaffold_18.0G709.1, mikado.HiC_scaffold_18.0G708.1
OG0002699	EVM0014324.1, EVM0005939.1, EVM0000228.1	mikado.HiC_scaffold_18.0G716.1
OG0002700	EVM0009955.1, EVM0018101.1, EVM0006666.1	mikado.HiC_scaffold_18.0G723.1
OG0002701	EVM0012850.1	mikado.HiC_scaffold_18.0G741.1, mikado.HiC_scaffold_18.0G740.1
OG0002703	EVM0020475.1	mikado.HiC_scaffold_18.0G781.1
OG0002704	EVM0019695.1, EVM0012171.1	mikado.HiC_scaffold_18.0G811.1
OG0002705	EVM0018822.1, EVM0016317.1, EVM0020963.1	mikado.HiC_scaffold_18.0G837.1
OG0002706	EVM0015831.1, EVM0021315.1	mikado.HiC_scaffold_18.0G880.3, mikado.HiC_scaffold_18.0G880.1
OG0002707	EVM0023909.1	mikado.HiC_scaffold_18.0G981.1, mikado.HiC_scaffold_18.0G930.1, mikado.HiC_scaffold_18.0G929.1
OG0002708	EVM0021175.1	mikado.HiC_scaffold_8.8335562G82.1, mikado.HiC_scaffold_18.0G962.1, mikado.HiC_scaffold_18.0G963.1
OG0002709	EVM0015678.1	mikado.HiC_scaffold_18.0G971.1, mikado.HiC_scaffold_18.0G970.1
OG0002710	EVM0007845.1, EVM0017807.1	mikado.HiC_scaffold_18.0G1054.1
OG0002711	EVM0019323.1	mikado.HiC_scaffold_18.0G1055.1
OG0002712	EVM0005139.1	mikado.HiC_scaffold_18.0G1108.1, mikado.HiC_scaffold_18.0G1104.1
OG0002713	EVM0020809.1	mikado.HiC_scaffold_18.0G1124.1
OG0002713	EVM0014269.1	mikado.HiC_scaffold_18.0G1123.1
OG0002714	EVM0016517.1	mikado.HiC_scaffold_18.0G1190.1, mikado.HiC_scaffold_18.0G1194.1, mikado.HiC_scaffold_18.0G1191.1
OG0002715	EVM0000650.1, EVM0024011.1	mikado.HiC_scaffold_18.0G1205.1
OG0002716	EVM0000858.1	mikado.HiC_scaffold_18.0G1236.1, mikado.HiC_scaffold_18.0G1236.2
OG0002717	EVM0005496.1	mikado.HiC_scaffold_18.0G1305.1
OG0002718	EVM0009734.1	mikado.HiC_scaffold_18.0G1323.1, mikado.HiC_scaffold_18.0G1324.1, mikado.HiC_scaffold_18.0G1322.1
OG0002720	EVM0010782.1, EVM0019526.1, EVM0019888.1	mikado.HiC_scaffold_18.0G1334.1
OG0002721	EVM0021268.1, EVM0012058.1	mikado.HiC_scaffold_18.0G1364.1
OG0002722	EVM0014693.1	mikado.HiC_scaffold_18.0G1379.1, mikado.HiC_scaffold_18.0G1381.1
OG0002723	EVM0005003.1	mikado.HiC_scaffold_18.0G1394.1, mikado.HiC_scaffold_18.0G1397.1
OG0002724	EVM0016601.1	mikado.HiC_scaffold_18.0G1430.1
OG0002725	EVM0023113.1	mikado.HiC_scaffold_18.0G1458.1, mikado.HiC_scaffold_18.0G1457.1
OG0002726	EVM0002079.1	mikado.HiC_scaffold_18.0G1459.1, mikado.HiC_scaffold_18.0G1459.2, mikado.HiC_scaffold_18.0G1459.3, mikado.HiC_scaffold_18.0G1459.4
OG0002727	EVM0002237.1, EVM0002884.1, EVM0002561.1	mikado.HiC_scaffold_18.0G1469.1
OG0002728	EVM0012466.1	mikado.HiC_scaffold_18.0G1470.1, mikado.HiC_scaffold_18.0G1471.1
OG0002729	EVM0016594.1	mikado.HiC_scaffold_19.0G43.1, mikado.HiC_scaffold_19.0G39.1
OG0002730	EVM0017981.1	mikado.HiC_scaffold_19.0G59.1, mikado.HiC_scaffold_19.0G62.1, mikado.HiC_scaffold_19.0G61.1
OG0002731	EVM0021301.1	mikado.HiC_scaffold_19.0G85.1
OG0002732	EVM0004560.1	mikado.HiC_scaffold_19.0G122.1, mikado.HiC_scaffold_19.0G123.1, mikado.HiC_scaffold_19.0G117.1
OG0002733	EVM0001820.1, EVM0001061.1	mikado.HiC_scaffold_19.0G120.1, mikado.HiC_scaffold_19.0G119.1
OG0002735	EVM0013300.1	mikado.HiC_scaffold_19.0G128.1
OG0002736	EVM0003264.1	mikado.HiC_scaffold_19.0G146.1
