Orthogroup	Tgra	Sbro
OG0001706	KUTeg_019452	EVM0017846.1, EVM0003864.1, EVM0017720.1, EVM0010050.1
OG0001707	KUTeg_007670	EVM0016822.1
OG0001707	KUTeg_007305	EVM0017038.1
OG0001708	KUTeg_009421	EVM0005890.1, EVM0016523.1, EVM0015921.1, EVM0023130.1
OG0001710	KUTeg_006652, KUTeg_006653	EVM0022477.1
OG0001711	KUTeg_007739	EVM0008367.1
OG0001712	KUTeg_006796	EVM0016496.1
OG0001713	KUTeg_007386	EVM0006966.1
OG0001713	KUTeg_006801	EVM0017636.1
OG0001714	KUTeg_018692	EVM0023485.1, EVM0020122.1, EVM0002525.1, EVM0010776.1
OG0001715	KUTeg_024120	EVM0021877.1, EVM0015050.1, EVM0005040.1, EVM0000945.1
OG0001717	KUTeg_007718	EVM0009629.1
OG0001718	KUTeg_007975	EVM0018568.1
OG0001719	KUTeg_007303	EVM0020407.1, EVM0019730.1
OG0001720	KUTeg_007783	EVM0010785.1
OG0001721	KUTeg_016799, KUTeg_016800	EVM0022915.1, EVM0018039.1, EVM0008242.1
OG0001723	KUTeg_007078	EVM0004683.1, EVM0019773.1
OG0001725	KUTeg_006588	EVM0023654.1, EVM0012260.1, EVM0005841.1
OG0001726	KUTeg_024941, KUTeg_011141, KUTeg_024939	EVM0007066.1, EVM0023242.1
OG0001727	KUTeg_007053	EVM0004063.1
OG0001727	KUTeg_007999	EVM0020885.1
OG0001728	KUTeg_017811	EVM0016587.1
OG0001728	KUTeg_022607	EVM0008225.1
OG0001729	KUTeg_022593	EVM0008051.1
OG0001732	KUTeg_013891	EVM0004940.1, EVM0011921.1
OG0001732	KUTeg_013890	EVM0017012.1, EVM0022114.1
OG0001734	KUTeg_024655	EVM0006622.1, EVM0013738.1, EVM0018238.1, EVM0004973.1, EVM0018688.1
OG0001735	KUTeg_007072	EVM0008957.1, EVM0020312.1, EVM0019249.1, EVM0009027.1, EVM0006492.1
OG0001737	KUTeg_010674	EVM0020667.1, EVM0007132.1
OG0001737	KUTeg_024643	EVM0005479.1, EVM0019925.1
OG0001738	KUTeg_000170	EVM0011988.1, EVM0013137.1, EVM0021902.1, EVM0004249.1, EVM0023372.1
OG0001741	KUTeg_014168	EVM0021288.1, EVM0003183.1, EVM0003672.1, EVM0022312.1, EVM0008033.1
OG0001742	KUTeg_007948	EVM0013865.1, EVM0014169.1
OG0001742	KUTeg_007553	EVM0007717.1, EVM0015288.1
OG0001743	KUTeg_015242	EVM0018982.1, EVM0005612.1, EVM0007389.1, EVM0014746.1, EVM0006823.1
OG0001744	KUTeg_006324, KUTeg_006121	EVM0015947.1, EVM0022355.1, EVM0005122.1, EVM0002895.1
OG0001745	KUTeg_009317	EVM0013480.1, EVM0011184.1, EVM0003898.1, EVM0020164.1, EVM0023915.1
OG0001746	KUTeg_017726	EVM0012824.1, EVM0009380.1
OG0001746	KUTeg_014278	EVM0016880.1, EVM0011771.1
OG0001749	KUTeg_003614	EVM0023727.1, EVM0003235.1, EVM0001429.1, EVM0012901.1, EVM0016049.1
OG0001750	KUTeg_009137	EVM0019106.1, EVM0003975.1, EVM0013722.1, EVM0002444.1, EVM0011757.1
OG0001751	KUTeg_022360	EVM0016737.1, EVM0008258.1
OG0001751	KUTeg_021496	EVM0004906.1, EVM0005078.1
OG0001752	KUTeg_007557	EVM0005845.1, EVM0019799.1, EVM0022346.1, EVM0003907.1, EVM0003014.1
OG0001753	KUTeg_002821, KUTeg_002822, KUTeg_019620, KUTeg_023698	EVM0022776.1, EVM0008827.1
OG0001754	KUTeg_023088, KUTeg_018785, KUTeg_000931, KUTeg_013438, KUTeg_015025	EVM0016686.1
OG0001755	KUTeg_000117	EVM0004548.1
OG0001755	KUTeg_010290	EVM0013212.1, EVM0007889.1, EVM0013809.1
OG0001756	KUTeg_001721, KUTeg_022024, KUTeg_009287, KUTeg_004364, KUTeg_006916	EVM0009931.1
OG0001757	KUTeg_014385	EVM0009988.1, EVM0015084.1, EVM0007557.1, EVM0008557.1, EVM0014976.1
OG0001758	KUTeg_014415	EVM0009174.2, EVM0000437.1
OG0001758	KUTeg_014414	EVM0014936.1, EVM0020045.1
OG0001760	KUTeg_005472	EVM0020659.1, EVM0008340.1, EVM0000901.1, EVM0010470.1, EVM0020284.1
OG0001761	KUTeg_023272	EVM0000063.1
OG0001761	KUTeg_005086	EVM0021372.1, EVM0001957.1, EVM0005000.1
OG0001763	KUTeg_012782	EVM0011235.1
OG0001763	KUTeg_012774	EVM0010654.1, EVM0022354.1, EVM0023343.1
OG0001765	KUTeg_001234, KUTeg_001263	EVM0011738.1
OG0001765	KUTeg_000845	EVM0011139.1, EVM0007324.1
OG0001766	KUTeg_002014, KUTeg_002642, KUTeg_002008, KUTeg_002009, KUTeg_002641	EVM0009972.1
OG0001767	KUTeg_006366	EVM0015219.1
OG0001767	KUTeg_006367	EVM0003843.1, EVM0014590.1, EVM0019697.1
OG0001768	KUTeg_019894, KUTeg_019130	EVM0012338.1
OG0001768	KUTeg_019366	EVM0012929.2, EVM0016911.1
OG0001769	KUTeg_006544, KUTeg_005586, KUTeg_007738, KUTeg_004696	EVM0000788.1, EVM0011747.1
OG0001771	KUTeg_000510	EVM0019337.1
OG0001771	KUTeg_000731	EVM0005639.1
OG0001771	KUTeg_000835	EVM0008120.1
OG0001772	KUTeg_015342, KUTeg_015339, KUTeg_011827, KUTeg_015195, KUTeg_015340	EVM0008895.1
OG0001773	KUTeg_009083, KUTeg_009117	EVM0000076.1
OG0001773	KUTeg_009116	EVM0017346.1, EVM0021866.1
OG0001774	KUTeg_000085	EVM0006500.1
OG0001774	KUTeg_000083, KUTeg_000084	EVM0013059.1, EVM0007982.1
OG0001775	KUTeg_011007, KUTeg_000881, KUTeg_010821, KUTeg_010822, KUTeg_010823	EVM0021908.1
OG0001776	KUTeg_010696	EVM0004226.1
OG0001776	KUTeg_010981, KUTeg_010989	EVM0018903.1, EVM0013222.1
OG0001778	KUTeg_010881, KUTeg_010732, KUTeg_010884, KUTeg_010887, KUTeg_010888	EVM0011003.1
OG0001779	KUTeg_013876	EVM0009431.1
OG0001779	KUTeg_013254	EVM0002794.1, EVM0003593.1, EVM0019348.1
OG0001780	KUTeg_012773	EVM0018079.1
OG0001780	KUTeg_023664, KUTeg_022792, KUTeg_023666	EVM0020033.1
OG0001781	KUTeg_002673, KUTeg_002676	EVM0018312.1
OG0001781	KUTeg_002143, KUTeg_002140	EVM0011455.1
OG0001782	KUTeg_007606, KUTeg_009307, KUTeg_001163, KUTeg_009308, KUTeg_018702	EVM0020331.1
OG0001783	KUTeg_012819, KUTeg_014657, KUTeg_012820, KUTeg_002155, KUTeg_012818	EVM0016731.1
OG0001785	KUTeg_008977	EVM0004603.1
OG0001785	KUTeg_021290, KUTeg_020430	EVM0003680.1, EVM0005144.1
OG0001786	KUTeg_001835, KUTeg_011425	EVM0017894.1
OG0001786	KUTeg_020302, KUTeg_021179	EVM0020138.1
OG0001787	KUTeg_020586	EVM0008238.1
OG0001787	KUTeg_008753, KUTeg_020714, KUTeg_020857	EVM0009660.1
OG0001788	KUTeg_020820	EVM0009865.1
OG0001788	KUTeg_020816, KUTeg_021309, KUTeg_020821	EVM0020153.1
OG0001789	KUTeg_021468, KUTeg_012414, KUTeg_014597, KUTeg_014770, KUTeg_008248	EVM0010648.1
OG0001790	KUTeg_023041, KUTeg_023037, KUTeg_023038, KUTeg_022976	EVM0000350.1, EVM0000589.1
OG0001806	Tgra-peropsin, KUTeg_003026	Sbro-peropsin
OG0001807	Tgra-opnGq-nc1	Sbro-opnGq_nc1
OG0001808	Tgra-opnGx-n2	Sbro-opnGx12, EVM0003028.1
OG0001810	KUTeg_006283, KUTeg_007981	EVM0000805.1
OG0001815	KUTeg_000587	EVM0002072.1
OG0001816	KUTeg_011224	EVM0004562.1
OG0001818	KUTeg_000458	EVM0018188.1
OG0001819	KUTeg_009156, KUTeg_006521	EVM0016706.1
OG0001821	KUTeg_006101, KUTeg_006102, KUTeg_006293	EVM0003068.1
OG0001830	KUTeg_014501	EVM0002836.1
OG0001830	KUTeg_014500	EVM0010268.1
OG0001832	KUTeg_011013	EVM0001164.1
OG0001833	KUTeg_003670	EVM0020893.1
OG0001834	KUTeg_006197	EVM0016961.1
OG0001835	KUTeg_006475, KUTeg_006135, KUTeg_018440	EVM0015524.1
OG0001839	KUTeg_016910, KUTeg_016579, KUTeg_016580	EVM0012282.1
OG0001840	KUTeg_006017	EVM0013840.1
OG0001841	KUTeg_006016	EVM0006708.1
OG0001842	KUTeg_005871, KUTeg_010619	EVM0006722.1
OG0001843	KUTeg_006365, KUTeg_016946	EVM0004334.1
OG0001844	KUTeg_006373	EVM0001788.1, EVM0018585.1, EVM0009100.1
OG0001847	KUTeg_006210	EVM0021052.1
OG0001849	KUTeg_006458	EVM0015591.1
OG0001850	KUTeg_019464	EVM0018575.1
OG0001856	KUTeg_002875, KUTeg_002807	EVM0022240.1
OG0001857	KUTeg_010416, KUTeg_009959	EVM0010091.1
OG0001861	KUTeg_006118, KUTeg_006120	EVM0004205.1
OG0001862	KUTeg_006358	EVM0004049.1
OG0001863	KUTeg_006409	EVM0015378.1
OG0001863	KUTeg_006408	EVM0010133.1
OG0001864	KUTeg_006410	EVM0010149.1, EVM0022011.1, EVM0016344.1
OG0001865	KUTeg_006230, KUTeg_006371, KUTeg_006231	EVM0002228.1
OG0001868	KUTeg_014491, KUTeg_006104, KUTeg_014492	EVM0018453.1
OG0001869	KUTeg_006462, KUTeg_006463, KUTeg_006246	EVM0005662.1
OG0001870	KUTeg_006249, KUTeg_006457	EVM0011284.1
OG0001871	KUTeg_006166, KUTeg_006170	EVM0004093.1
OG0001874	KUTeg_011502, KUTeg_005832	EVM0019981.1
OG0001876	KUTeg_006023	EVM0018622.1
OG0001877	KUTeg_010055, KUTeg_010049	EVM0001591.1
OG0001878	KUTeg_010601	EVM0010208.1, EVM0009070.1
OG0001881	KUTeg_009337	EVM0011656.1
OG0001884	KUTeg_019543, KUTeg_011771	EVM0004376.1
OG0001885	KUTeg_013885	EVM0004109.1
OG0001887	KUTeg_009905	EVM0017166.1, EVM0016189.1, EVM0021281.1
OG0001888	KUTeg_010205	EVM0022139.1
OG0001889	KUTeg_008337, KUTeg_008336	EVM0010626.1
OG0001890	KUTeg_009874	EVM0006365.1
OG0001891	KUTeg_009748, KUTeg_009749	EVM0008909.1
OG0001892	KUTeg_009858	EVM0014084.1
OG0001892	KUTeg_003669	EVM0017288.1
OG0001893	KUTeg_009857, KUTeg_010308, KUTeg_009854	EVM0005077.1
OG0001896	KUTeg_024204	EVM0011443.1
OG0001896	KUTeg_024106	EVM0023525.1
OG0001897	KUTeg_009849	EVM0002151.1
OG0001898	KUTeg_009622, KUTeg_009623, KUTeg_009624	EVM0001231.1
OG0001899	KUTeg_010392	EVM0000055.1
OG0001900	KUTeg_009451, KUTeg_009759, KUTeg_009758	EVM0016055.1
OG0001901	KUTeg_010170, KUTeg_000894	EVM0008473.1, EVM0017824.1
OG0001902	KUTeg_010194	EVM0000238.1
OG0001903	KUTeg_010190, KUTeg_011538	EVM0016988.1, EVM0014280.1
OG0001905	KUTeg_012598	EVM0020453.1, EVM0006193.1
OG0001906	KUTeg_010066	EVM0011097.1
OG0001907	KUTeg_009626, KUTeg_009625, KUTeg_010017	EVM0023119.1
OG0001908	KUTeg_010060, KUTeg_010294	EVM0013732.1
OG0001909	KUTeg_010238, KUTeg_010237	EVM0003725.1, EVM0011866.1
OG0001910	KUTeg_010239	EVM0015432.1, EVM0013144.1, EVM0005771.1
OG0001911	KUTeg_009908	EVM0002555.1
OG0001912	KUTeg_009481	EVM0015886.2
OG0001914	KUTeg_009773	EVM0018620.1
OG0001915	KUTeg_010084, KUTeg_010081	EVM0005862.1, EVM0000395.1
OG0001916	KUTeg_001787	EVM0001388.1, EVM0000809.1
OG0001917	KUTeg_010665, KUTeg_010012	EVM0021804.1
OG0001918	KUTeg_009354, KUTeg_010087	EVM0005050.1
OG0001919	KUTeg_010120	EVM0019785.2, EVM0021827.1
OG0001920	KUTeg_009553	EVM0001974.1
OG0001921	KUTeg_009975, KUTeg_009981	EVM0000820.1, EVM0020225.1
OG0001922	KUTeg_009747	EVM0009799.1
OG0001923	KUTeg_010251, KUTeg_010249, KUTeg_015215	EVM0014446.1
OG0001924	KUTeg_009648	EVM0006560.1, EVM0021430.1, EVM0010136.1
OG0001928	KUTeg_009703	EVM0001060.1
OG0001929	KUTeg_010381, KUTeg_010335	EVM0009042.1
OG0001930	KUTeg_010143	EVM0017123.1, EVM0005030.1, EVM0009190.1
OG0001931	KUTeg_010102	EVM0023480.1, EVM0020958.1, EVM0020279.1
OG0001933	KUTeg_010573, KUTeg_011359	EVM0021507.1
OG0001934	KUTeg_010364	EVM0022048.1, EVM0008558.1
OG0001935	KUTeg_023254	EVM0008807.1
OG0001939	KUTeg_009566	EVM0007346.1, EVM0007228.1, EVM0006249.1
OG0001941	KUTeg_010265	EVM0008624.1
OG0001942	KUTeg_010337, KUTeg_010342	EVM0019027.1, EVM0024039.1
OG0001944	KUTeg_009616	EVM0016891.1, EVM0011190.1
OG0001945	KUTeg_009795, KUTeg_009800	EVM0003091.1
OG0001946	KUTeg_012100, KUTeg_012692	EVM0007522.1
OG0001947	KUTeg_018039, KUTeg_017636	EVM0015783.1
OG0001948	KUTeg_009473	EVM0018408.1
OG0001949	KUTeg_000626	EVM0022949.1
OG0001950	KUTeg_010182	EVM0015029.1, EVM0023784.1
OG0001951	KUTeg_017326, KUTeg_017327, KUTeg_010059	EVM0018917.1
OG0001952	KUTeg_014283	EVM0008254.1
OG0001954	KUTeg_009935	EVM0007442.1
OG0001955	KUTeg_018654	EVM0019713.1, EVM0012864.1, EVM0017400.1
OG0001958	KUTeg_001386	EVM0012810.1
OG0001959	KUTeg_000100	EVM0003738.1, EVM0013570.1, EVM0001790.1
OG0001960	KUTeg_000110	EVM0000054.1
OG0001961	KUTeg_000081, KUTeg_000080	EVM0019259.1
OG0001962	KUTeg_004806, KUTeg_000079, KUTeg_004799	EVM0023019.1
OG0001963	KUTeg_000674, KUTeg_000678, KUTeg_000191	EVM0007128.1
OG0001966	KUTeg_020978, KUTeg_000571, KUTeg_000570	EVM0022733.1
OG0001967	KUTeg_000501, KUTeg_000502	EVM0012096.3
OG0001968	KUTeg_000352, KUTeg_000244	EVM0013372.1
OG0001969	KUTeg_000351, KUTeg_000243	EVM0003490.1
OG0001970	KUTeg_000808	EVM0008150.1
OG0001971	KUTeg_000813	EVM0009430.1, EVM0023271.1, EVM0001128.1
OG0001974	KUTeg_000187	EVM0012110.1, EVM0000306.1
OG0001975	KUTeg_001195, KUTeg_001193	EVM0001050.1, EVM0019429.1
OG0001976	KUTeg_000545	EVM0007226.1
OG0001976	KUTeg_000553	EVM0021307.1
OG0001979	KUTeg_000404, KUTeg_000405	EVM0007140.1
OG0001983	KUTeg_000701, KUTeg_000707, KUTeg_000843	EVM0006333.1
OG0001984	KUTeg_000841	EVM0012537.1
OG0001986	KUTeg_000440, KUTeg_000446	EVM0007306.1
OG0001987	KUTeg_000668	EVM0021322.1
OG0001988	KUTeg_018656	EVM0007490.1, EVM0005768.1, EVM0018202.1
OG0001989	KUTeg_000443, KUTeg_000556, KUTeg_000444	EVM0015177.1
OG0001991	KUTeg_023137, KUTeg_023136, KUTeg_023529	EVM0021388.1
OG0001992	KUTeg_014616, KUTeg_006563	EVM0007839.1, EVM0020556.1
OG0001995	KUTeg_000449, KUTeg_000457	EVM0006343.1, EVM0012862.1
OG0001996	KUTeg_000649	EVM0018404.1, EVM0019022.1
OG0001997	KUTeg_000165	EVM0019943.1, EVM0017378.1
OG0001998	KUTeg_000598, KUTeg_000796	EVM0011480.1
OG0001999	KUTeg_000087, KUTeg_000094	EVM0006187.1
OG0002000	KUTeg_000093, KUTeg_000095	EVM0009163.1
OG0002002	KUTeg_000652	EVM0023437.1
OG0002003	KUTeg_000658	EVM0018177.1
OG0002004	KUTeg_009949	EVM0003830.1
OG0002004	KUTeg_001576	EVM0017885.1
OG0002005	KUTeg_000582	EVM0020776.1
OG0002006	KUTeg_000768	EVM0008737.1
OG0002006	KUTeg_000769	EVM0014584.1
OG0002007	KUTeg_000369, KUTeg_000368	EVM0017960.1
OG0002008	KUTeg_000565, KUTeg_000363	EVM0007765.1, EVM0015474.1
OG0002009	KUTeg_020324	EVM0012007.1
OG0002010	KUTeg_017228, KUTeg_003557	EVM0015016.1
OG0002011	KUTeg_000636, KUTeg_000141	EVM0002399.1
OG0002013	KUTeg_006502, KUTeg_001083	EVM0005538.1, EVM0023438.1
OG0002014	KUTeg_000233	EVM0012107.1
OG0002014	KUTeg_001097	EVM0012336.1
OG0002015	KUTeg_000481	EVM0019202.1
OG0002016	KUTeg_015617	EVM0008946.1
OG0002018	KUTeg_015522, KUTeg_015520, KUTeg_015521	EVM0008652.1
OG0002019	KUTeg_014883	EVM0009695.1, EVM0000059.1
OG0002020	KUTeg_019807	EVM0023477.1
OG0002022	KUTeg_014877, KUTeg_015399	EVM0000908.1
OG0002024	KUTeg_015393	EVM0006449.1
OG0002026	KUTeg_021077	EVM0013578.1
OG0002031	KUTeg_006192, KUTeg_006190	EVM0004823.1, EVM0021803.1
OG0002033	KUTeg_015599	EVM0010354.1, EVM0009913.1
OG0002036	KUTeg_015443, KUTeg_015449, KUTeg_015444	EVM0000975.1
OG0002037	KUTeg_015092	EVM0000816.1
OG0002038	KUTeg_012794, KUTeg_012797	EVM0010561.1
OG0002039	KUTeg_002825, KUTeg_002823, KUTeg_014650	EVM0016191.1
OG0002040	KUTeg_015488	EVM0019721.1
OG0002041	KUTeg_011262, KUTeg_015000	EVM0012464.1, EVM0018546.1
OG0002043	KUTeg_011039	EVM0003450.1
OG0002044	KUTeg_023572	EVM0016486.1, EVM0021693.1, EVM0014792.1
OG0002047	KUTeg_005762, KUTeg_014963	EVM0017201.1, EVM0018847.1
OG0002048	KUTeg_015212, KUTeg_014944	EVM0014237.1
OG0002049	KUTeg_015613	EVM0002138.1
OG0002050	KUTeg_015428, KUTeg_015427, KUTeg_015422	EVM0005167.1
OG0002051	KUTeg_010587	EVM0013942.1
OG0002052	KUTeg_005067	EVM0006521.1
OG0002055	KUTeg_017950, KUTeg_024834	EVM0011503.2
OG0002056	KUTeg_010620, KUTeg_017704	EVM0001206.1
OG0002057	KUTeg_018526	EVM0011486.1, EVM0005728.1
OG0002060	KUTeg_018513	EVM0020161.1
OG0002061	KUTeg_017973	EVM0023257.1, EVM0010389.1, EVM0011712.1
OG0002062	KUTeg_017519, KUTeg_020007, KUTeg_020006	EVM0011155.1
OG0002064	KUTeg_017444, KUTeg_017420	EVM0004960.1
OG0002065	KUTeg_017453	EVM0010292.1, EVM0016360.1, EVM0017150.1
OG0002066	KUTeg_017729, KUTeg_017725	EVM0007634.1
OG0002067	KUTeg_018300	EVM0019054.1
OG0002068	KUTeg_018143	EVM0020152.1
OG0002069	KUTeg_018052	EVM0011955.1
OG0002070	KUTeg_018058, KUTeg_009003	EVM0013892.1
OG0002071	KUTeg_018477	EVM0018479.1
OG0002072	KUTeg_018342	EVM0002966.1
OG0002073	KUTeg_018139, KUTeg_018136	EVM0003571.1, EVM0023621.1
OG0002074	KUTeg_017435, KUTeg_018140	EVM0004935.1, EVM0015357.1
OG0002075	KUTeg_008374	EVM0019367.1
OG0002076	KUTeg_018119	EVM0003220.1
OG0002078	KUTeg_018419	EVM0015513.1, EVM0016015.1
OG0002079	KUTeg_018417, KUTeg_011520	EVM0018005.1
OG0002081	KUTeg_000021, KUTeg_018339	EVM0015400.1, EVM0005980.1
OG0002082	KUTeg_017971, KUTeg_018053, KUTeg_018054	EVM0000468.1
OG0002083	KUTeg_019145, KUTeg_019143	EVM0002797.1
OG0002084	KUTeg_017927, KUTeg_014590	EVM0017492.1
OG0002086	KUTeg_017610	EVM0005150.1
OG0002087	KUTeg_017656	EVM0006705.1, EVM0004822.1
OG0002088	KUTeg_018276, KUTeg_018278, KUTeg_018279	EVM0016609.1
OG0002089	KUTeg_007688, KUTeg_017490	EVM0004310.1
OG0002091	KUTeg_018131	EVM0002112.1
OG0002092	KUTeg_018077	EVM0018232.1
OG0002093	KUTeg_017572	EVM0004810.1
OG0002094	KUTeg_017555	EVM0018993.1
OG0002095	KUTeg_018142, KUTeg_018141	EVM0001166.1, EVM0023946.1
OG0002096	KUTeg_018559	EVM0023975.1
OG0002097	KUTeg_018040, KUTeg_018037	EVM0014431.1
OG0002100	KUTeg_018194	EVM0018210.1
OG0002100	KUTeg_019095	EVM0009387.1
OG0002101	KUTeg_018152, KUTeg_018153, KUTeg_018129	EVM0008369.1
OG0002102	KUTeg_017734	EVM0001713.1, EVM0009880.1, EVM0016108.1
OG0002103	KUTeg_017860, KUTeg_017859, KUTeg_017863	EVM0008360.1
OG0002105	KUTeg_017523	EVM0019621.1
OG0002105	KUTeg_017526	EVM0015340.1
OG0002107	KUTeg_018085	EVM0022487.1
OG0002107	KUTeg_017743	EVM0008027.1
OG0002108	KUTeg_018258, KUTeg_017828	EVM0021509.1
OG0002109	KUTeg_018461	EVM0016798.1
OG0002110	KUTeg_018567	EVM0019575.1
OG0002111	KUTeg_018370	EVM0020275.1
OG0002111	KUTeg_017928	EVM0013981.1
OG0002112	KUTeg_018305	EVM0006135.2
OG0002113	KUTeg_017989	EVM0019741.1, EVM0006393.1
OG0002114	KUTeg_007597	EVM0022768.1
OG0002115	KUTeg_017575, KUTeg_017574	EVM0013156.1, EVM0012056.1
OG0002116	KUTeg_024651	EVM0007413.1
OG0002116	KUTeg_024645	EVM0015981.1
OG0002118	KUTeg_017232	EVM0016580.1
OG0002119	KUTeg_024544, KUTeg_024543	EVM0007492.1
OG0002120	KUTeg_024768, KUTeg_024017	EVM0019931.1
OG0002122	KUTeg_024195	EVM0000642.1, EVM0002226.1, EVM0015086.1
OG0002123	KUTeg_011707	EVM0004662.1
OG0002123	KUTeg_024965	EVM0022273.1
OG0002124	KUTeg_008812	EVM0006629.1
OG0002124	KUTeg_024057	EVM0019520.1
OG0002125	KUTeg_024266, KUTeg_024698	EVM0011694.1, EVM0020951.1
OG0002127	KUTeg_024302	EVM0013255.1, EVM0002535.1, EVM0012531.1
OG0002128	KUTeg_024311	EVM0003534.1
OG0002128	KUTeg_024310	EVM0017880.1
OG0002129	KUTeg_015372, KUTeg_010680, KUTeg_011576	EVM0002368.1
OG0002130	KUTeg_024711, KUTeg_024719, KUTeg_024716	EVM0019031.1
OG0002131	KUTeg_023976, KUTeg_023975, KUTeg_023979	EVM0020565.1
OG0002132	KUTeg_024248, KUTeg_024247	EVM0018460.1
OG0002135	KUTeg_024874, KUTeg_024424	EVM0013175.1, EVM0019194.1
OG0002136	KUTeg_014192	EVM0011942.1, EVM0002279.1, EVM0007080.1
OG0002137	KUTeg_024583, KUTeg_024284	EVM0021031.1
OG0002138	KUTeg_024083, KUTeg_025033	EVM0001839.1
OG0002139	KUTeg_024087	EVM0023505.1, EVM0004024.1, EVM0011298.1
OG0002141	KUTeg_010760	EVM0020589.1
OG0002141	KUTeg_010800	EVM0007849.1
OG0002144	KUTeg_024203	EVM0016063.1, EVM0010497.1
OG0002145	KUTeg_024749, KUTeg_024746	EVM0021941.1
OG0002147	KUTeg_024620, KUTeg_024492	EVM0000247.1
OG0002148	KUTeg_023950	EVM0014991.1, EVM0002735.1
OG0002149	KUTeg_011193, KUTeg_011191, KUTeg_024572	EVM0002400.1
OG0002150	KUTeg_024290, KUTeg_024539	EVM0021226.1
OG0002151	KUTeg_001749, KUTeg_002634	EVM0020898.1
OG0002152	KUTeg_024918, KUTeg_024540	EVM0012994.1
OG0002153	KUTeg_024089	EVM0007840.1, EVM0008582.1
OG0002154	KUTeg_024413	EVM0017237.1
OG0002155	KUTeg_023986, KUTeg_023982, KUTeg_023987	EVM0014497.1
OG0002156	KUTeg_024603	EVM0009602.1
OG0002159	KUTeg_024877, KUTeg_024331, KUTeg_024419	EVM0005926.1
OG0002160	KUTeg_024420, KUTeg_023939, KUTeg_023940	EVM0013034.1
OG0002161	KUTeg_024197	EVM0007832.1
OG0002162	KUTeg_024587, KUTeg_024857	EVM0009548.1
OG0002163	KUTeg_024855, KUTeg_024989	EVM0014645.1
OG0002164	KUTeg_023922, KUTeg_023921, KUTeg_023917	EVM0014135.1
OG0002165	KUTeg_024147, KUTeg_024418	EVM0018947.1
OG0002166	KUTeg_018331	EVM0011511.1, EVM0003989.1, EVM0007715.1
OG0002167	KUTeg_024981	EVM0003127.1
OG0002169	KUTeg_024888, KUTeg_016193	EVM0015926.1
OG0002170	KUTeg_024027	EVM0016278.1
OG0002171	KUTeg_024838, KUTeg_024837	EVM0017907.1
OG0002172	KUTeg_012468	EVM0022045.1
OG0002173	KUTeg_020215, KUTeg_024936	EVM0015990.1
OG0002174	KUTeg_023924, KUTeg_025002, KUTeg_024228	EVM0004824.1
OG0002175	KUTeg_024131	EVM0003090.1
OG0002176	KUTeg_025004, KUTeg_025001	EVM0020696.1
OG0002177	KUTeg_024819	EVM0013227.1, EVM0023092.1
OG0002178	KUTeg_025008	EVM0006473.1, EVM0014566.1
OG0002180	KUTeg_024235, KUTeg_024996	EVM0023243.1, EVM0017121.1
OG0002181	KUTeg_024485	EVM0008761.1, EVM0021219.1, EVM0010110.1
OG0002182	KUTeg_002754, KUTeg_022119	EVM0006367.1, EVM0023627.1
OG0002183	KUTeg_011493, KUTeg_002757, KUTeg_024687	EVM0018099.1
OG0002184	KUTeg_005825, KUTeg_020917	EVM0023980.1, EVM0003574.1
OG0002187	KUTeg_024870	EVM0012369.1, EVM0009470.1, EVM0014778.1
OG0002188	KUTeg_024743, KUTeg_023991, KUTeg_024742	EVM0017362.1
OG0002189	KUTeg_003741	EVM0018395.1
OG0002190	KUTeg_023063, KUTeg_023066	EVM0008092.1
OG0002191	KUTeg_023255	EVM0018377.1, EVM0022194.1, EVM0020061.1
OG0002192	KUTeg_022673	EVM0013249.1, EVM0004022.1
OG0002193	KUTeg_022677	EVM0018314.1
OG0002193	KUTeg_022678	EVM0004779.1
OG0002194	KUTeg_023225, KUTeg_018352, KUTeg_018351	EVM0017655.1
OG0002195	KUTeg_023277	EVM0012769.5
OG0002195	KUTeg_023278	EVM0020352.1
OG0002196	KUTeg_003697, KUTeg_004354, KUTeg_003696	EVM0001136.1
OG0002197	KUTeg_004147	EVM0019148.2, EVM0018280.1
OG0002198	KUTeg_002960	EVM0011479.1
OG0002199	KUTeg_003381	EVM0002137.1, EVM0015893.1
OG0002200	KUTeg_003375	EVM0012719.2
OG0002202	KUTeg_009225, KUTeg_004402	EVM0006514.1
OG0002203	KUTeg_003146	EVM0016396.1, EVM0017264.1, EVM0010215.1
OG0002204	KUTeg_003883	EVM0001490.1, EVM0011100.1
OG0002205	KUTeg_003198, KUTeg_000955, KUTeg_003197	EVM0000466.1
OG0002206	KUTeg_003543	EVM0002158.4
OG0002207	KUTeg_003028	EVM0019102.1
OG0002208	KUTeg_003658	EVM0002613.1
OG0002209	KUTeg_003293, KUTeg_004370	EVM0018476.1
OG0002210	KUTeg_004404	EVM0018417.1
OG0002211	KUTeg_003967, KUTeg_003969	EVM0014223.1, EVM0020399.1
OG0002213	KUTeg_003962	EVM0021588.1
OG0002213	KUTeg_003004	EVM0013268.1
OG0002214	KUTeg_003564, KUTeg_003558	EVM0019908.1
OG0002215	KUTeg_002942, KUTeg_002142, KUTeg_001646	EVM0013984.1
OG0002217	KUTeg_023419	EVM0006859.1, EVM0015726.1, EVM0005971.1
OG0002219	KUTeg_003549	EVM0002519.1, EVM0016703.1, EVM0018637.1
OG0002220	KUTeg_004180, KUTeg_001223	EVM0015427.1
