Orthogroup	Tgra	Azeb
OG0000400	KUTeg_022387, KUTeg_022394	mikado.HiC_scaffold_3.0G263.1, mikado.HiC_scaffold_16.0G1703.1, mikado.HiC_scaffold_3.0G869.1, mikado.HiC_scaffold_3.0G262.1
OG0000401	KUTeg_000503	mikado.HiC_scaffold_3.0G667.1
OG0000402	KUTeg_000614	mikado.HiC_scaffold_3.0G736.1
OG0000402	KUTeg_000114	mikado.HiC_scaffold_3.0G737.1
OG0000403	KUTeg_013361, KUTeg_014241, KUTeg_013963	mikado.HiC_scaffold_3.0G958.1, mikado.HiC_scaffold_3.0G957.1, mikado.HiC_scaffold_19.0G546.1
OG0000404	KUTeg_000622, KUTeg_000621, KUTeg_006483, KUTeg_001212	mikado.HiC_scaffold_3.0G1028.1, mikado.HiC_scaffold_3.0G1029.1
OG0000405	KUTeg_022104	mikado.HiC_scaffold_4.0G187.1, mikado.HiC_scaffold_19.0G874.1, mikado.HiC_scaffold_18.0G51.1, mikado.HiC_scaffold_5.0G1093.1
OG0000405	KUTeg_022219	mikado.HiC_scaffold_13.0G1385.1, mikado.HiC_scaffold_17.0G365.1
OG0000409	KUTeg_015622	mikado.HiC_scaffold_4.0G265.1
OG0000409	KUTeg_008853	mikado.HiC_scaffold_4.0G267.1
OG0000409	KUTeg_018102, KUTeg_023906	mikado.HiC_scaffold_16.0G876.1
OG0000410	KUTeg_008117	mikado.HiC_scaffold_17.0G37.1, mikado.HiC_scaffold_4.0G568.1
OG0000410	KUTeg_008869	mikado.HiC_scaffold_17.0G455.1, mikado.HiC_scaffold_18.0G900.1
OG0000411	KUTeg_014995, KUTeg_015151	mikado.HiC_scaffold_8.8335562G1174.1, mikado.HiC_scaffold_4.0G585.1, mikado.HiC_scaffold_4.0G584.1
OG0000411	KUTeg_015157	mikado.HiC_scaffold_4.0G587.1, mikado.HiC_scaffold_4.0G586.1
OG0000412	KUTeg_005919	mikado.HiC_scaffold_17.0G545.1
OG0000412	KUTeg_000012, KUTeg_001000, KUTeg_014602, KUTeg_001199, KUTeg_014855, KUTeg_002810	mikado.HiC_scaffold_4.0G597.1, mikado.HiC_scaffold_4.0G599.1
OG0000413	KUTeg_016370	mikado.HiC_scaffold_4.0G949.1
OG0000413	KUTeg_015185	mikado.HiC_scaffold_4.0G948.1
OG0000413	KUTeg_022570	mikado.HiC_scaffold_13.0G378.1, mikado.HiC_scaffold_13.0G377.1
OG0000414	KUTeg_020385, KUTeg_017434	mikado.HiC_scaffold_5.0G624.1
OG0000414	KUTeg_018133, KUTeg_020386, KUTeg_020391, KUTeg_020922, KUTeg_020392	mikado.HiC_scaffold_5.0G86.1
OG0000416	KUTeg_022332	mikado.HiC_scaffold_10.0G342.1, mikado.HiC_scaffold_19.0G172.1
OG0000416	KUTeg_011082	mikado.HiC_scaffold_5.0G872.1, mikado.HiC_scaffold_7.0G1150.1
OG0000419	KUTeg_022359	mikado.HiC_scaffold_5.0G1167.1
OG0000421	KUTeg_006833, KUTeg_009639, KUTeg_005814, KUTeg_014941, KUTeg_010676, KUTeg_009615, KUTeg_017362, KUTeg_016730	mikado.HiC_scaffold_7.0G324.1, mikado.HiC_scaffold_7.0G1203.1
OG0000423	KUTeg_006205, KUTeg_006001, KUTeg_006214	mikado.HiC_scaffold_18.0G294.1, mikado.HiC_scaffold_18.0G290.1, mikado.HiC_scaffold_7.0G1167.1, mikado.HiC_scaffold_18.0G289.1, mikado.HiC_scaffold_18.0G292.1, mikado.HiC_scaffold_18.0G161.1
OG0000424	KUTeg_013788, KUTeg_013786, KUTeg_013787, KUTeg_013785, KUTeg_013199	mikado.HiC_scaffold_8.0G4.1, mikado.HiC_scaffold_8.0G55.1
OG0000425	KUTeg_005312	mikado.HiC_scaffold_14.0G24.1, mikado.HiC_scaffold_14.0G23.1
OG0000425	KUTeg_003769	mikado.HiC_scaffold_9.0G141.1
OG0000425	KUTeg_020507	mikado.HiC_scaffold_9.0G540.1
OG0000426	KUTeg_004482	mikado.HiC_scaffold_9.0G679.1, mikado.HiC_scaffold_9.0G680.1, mikado.HiC_scaffold_9.0G681.1, mikado.HiC_scaffold_9.0G687.1, mikado.HiC_scaffold_9.0G682.1, mikado.HiC_scaffold_9.0G683.1, mikado.HiC_scaffold_9.0G688.1
OG0000427	KUTeg_003420, KUTeg_011802, KUTeg_011801	mikado.HiC_scaffold_9.0G1601.1
OG0000428	KUTeg_009204, KUTeg_019144, KUTeg_015381, KUTeg_015276, KUTeg_007252, KUTeg_008277, KUTeg_011881, KUTeg_008278, KUTeg_000941	mikado.HiC_scaffold_10.0G20.1
OG0000429	KUTeg_018296, KUTeg_001159, KUTeg_004821, KUTeg_021818, KUTeg_022559, KUTeg_022556, KUTeg_022565	mikado.HiC_scaffold_10.0G136.1
OG0000430	KUTeg_011127	mikado.HiC_scaffold_10.0G452.1
OG0000430	KUTeg_002846, KUTeg_010895, KUTeg_002848	mikado.HiC_scaffold_10.0G451.1, mikado.HiC_scaffold_10.0G454.1, mikado.HiC_scaffold_10.0G454.2
OG0000432	KUTeg_016552	mikado.HiC_scaffold_13.0G1346.1
OG0000433	KUTeg_011103, KUTeg_000229	mikado.HiC_scaffold_10.0G862.1, mikado.HiC_scaffold_10.0G862.3, mikado.HiC_scaffold_10.0G862.2, mikado.HiC_scaffold_14.0G792.1, mikado.HiC_scaffold_14.0G785.1, mikado.HiC_scaffold_13.0G8.1, mikado.HiC_scaffold_18.0G733.1
OG0000434	KUTeg_006175	mikado.HiC_scaffold_14.0G933.1, mikado.HiC_scaffold_14.0G934.2, mikado.HiC_scaffold_14.0G934.1, mikado.HiC_scaffold_11.0G175.1, mikado.HiC_scaffold_11.0G176.1, mikado.HiC_scaffold_11.0G204.1, mikado.HiC_scaffold_11.0G205.1
OG0000435	KUTeg_001550	mikado.HiC_scaffold_11.0G360.1
OG0000435	KUTeg_017355, KUTeg_001945	mikado.HiC_scaffold_11.0G362.1, mikado.HiC_scaffold_11.0G361.1
OG0000436	KUTeg_023115, KUTeg_023458, KUTeg_023847, KUTeg_023846, KUTeg_023455, KUTeg_001571	mikado.HiC_scaffold_11.0G458.1
OG0000438	KUTeg_016333, KUTeg_016336	mikado.HiC_scaffold_13.0G262.1
OG0000438	KUTeg_016332, KUTeg_016335, KUTeg_016331	mikado.HiC_scaffold_13.0G263.1
OG0000439	KUTeg_016997	mikado.HiC_scaffold_13.0G630.1, mikado.HiC_scaffold_13.0G618.1
OG0000440	KUTeg_006497, KUTeg_010067	mikado.HiC_scaffold_13.0G1086.1
OG0000441	KUTeg_016605	mikado.HiC_scaffold_13.0G1239.14, mikado.HiC_scaffold_13.0G1239.1, mikado.HiC_scaffold_13.0G1239.2, mikado.HiC_scaffold_13.0G1239.8, mikado.HiC_scaffold_13.0G1239.13, mikado.HiC_scaffold_13.0G1239.11, mikado.HiC_scaffold_13.0G1239.3, mikado.HiC_scaffold_13.0G1239.9
OG0000442	KUTeg_001818	mikado.HiC_scaffold_14.0G513.1, mikado.HiC_scaffold_14.0G509.1, mikado.HiC_scaffold_21.0G1163.1, mikado.HiC_scaffold_21.0G152.1, mikado.HiC_scaffold_21.0G1161.2, mikado.HiC_scaffold_21.0G1161.1, mikado.HiC_scaffold_21.0G1162.1, mikado.HiC_scaffold_21.0G754.1
OG0000443	KUTeg_024803, KUTeg_011286, KUTeg_013154, KUTeg_012835, KUTeg_019460, KUTeg_018664, KUTeg_018708, KUTeg_015664, KUTeg_013153	mikado.HiC_scaffold_14.0G694.1
OG0000444	KUTeg_021840, KUTeg_021993, KUTeg_022108, KUTeg_022107, KUTeg_021839, KUTeg_021837, KUTeg_021838	mikado.HiC_scaffold_14.0G736.1
OG0000445	KUTeg_004877, KUTeg_005177, KUTeg_002228, KUTeg_002224, KUTeg_001418	mikado.HiC_scaffold_14.0G958.1
OG0000446	KUTeg_004750	mikado.HiC_scaffold_14.0G1148.1
OG0000446	KUTeg_008964, KUTeg_015929, KUTeg_018357, KUTeg_008054, KUTeg_014674, KUTeg_004749	mikado.HiC_scaffold_14.0G1150.1, mikado.HiC_scaffold_14.0G1146.1
OG0000447	KUTeg_021347, KUTeg_020187	mikado.HiC_scaffold_15.0G50.1, mikado.HiC_scaffold_15.0G48.1, mikado.HiC_scaffold_15.0G47.1
OG0000448	KUTeg_011737, KUTeg_011260, KUTeg_005861	mikado.HiC_scaffold_15.0G258.1
OG0000449	KUTeg_020733, KUTeg_020734, KUTeg_020050, KUTeg_020048	mikado.HiC_scaffold_15.0G705.1, mikado.HiC_scaffold_15.0G706.1
OG0000450	KUTeg_012276, KUTeg_010589	mikado.HiC_scaffold_15.0G1964.1, mikado.HiC_scaffold_15.0G1963.1
OG0000450	KUTeg_012277	mikado.HiC_scaffold_15.0G1962.1, mikado.HiC_scaffold_15.0G1445.1, mikado.HiC_scaffold_15.0G1448.1
OG0000451	KUTeg_014943, KUTeg_015390	mikado.HiC_scaffold_21.0G59.1
OG0000451	KUTeg_021556	mikado.HiC_scaffold_15.0G1517.1, mikado.HiC_scaffold_15.0G1518.1
OG0000452	KUTeg_023019, KUTeg_012795	mikado.HiC_scaffold_15.0G1659.1
OG0000453	KUTeg_015343, KUTeg_001166, KUTeg_001155	mikado.HiC_scaffold_15.0G2075.1, mikado.HiC_scaffold_21.0G649.1
OG0000453	KUTeg_006811	mikado.HiC_scaffold_18.0G241.1
OG0000454	KUTeg_012301	mikado.HiC_scaffold_15.0G2520.1
OG0000454	KUTeg_012300, KUTeg_012790	mikado.HiC_scaffold_15.0G2521.1, mikado.HiC_scaffold_15.0G2525.1
OG0000455	KUTeg_013350, KUTeg_013348	mikado.HiC_scaffold_16.0G389.1, mikado.HiC_scaffold_16.0G392.1
OG0000455	KUTeg_013349	mikado.HiC_scaffold_16.0G388.1, mikado.HiC_scaffold_16.0G387.1, mikado.HiC_scaffold_16.0G622.1, mikado.HiC_scaffold_16.0G393.1
OG0000456	KUTeg_008791, KUTeg_008789, KUTeg_008790	mikado.HiC_scaffold_17.0G542.1, mikado.HiC_scaffold_17.0G169.1, mikado.HiC_scaffold_17.0G172.1, mikado.HiC_scaffold_17.0G173.1, mikado.HiC_scaffold_17.0G168.1, mikado.HiC_scaffold_17.0G170.1
OG0000457	KUTeg_000736, KUTeg_005967, KUTeg_005963, KUTeg_005965, KUTeg_005964, KUTeg_012387, KUTeg_012206, KUTeg_012376	mikado.HiC_scaffold_17.0G1077.1
OG0000458	KUTeg_018156	mikado.HiC_scaffold_17.0G1185.1
OG0000459	KUTeg_019881	mikado.HiC_scaffold_18.0G1304.1
OG0000459	KUTeg_019496	mikado.HiC_scaffold_18.0G614.1
OG0000460	KUTeg_019676	mikado.HiC_scaffold_18.0G1081.1, mikado.HiC_scaffold_18.0G1461.1
OG0000461	KUTeg_019970, KUTeg_011467	mikado.HiC_scaffold_18.0G792.1
OG0000461	KUTeg_018892	mikado.HiC_scaffold_18.0G790.1, mikado.HiC_scaffold_18.0G791.1
OG0000461	KUTeg_018893	mikado.HiC_scaffold_18.0G789.1
OG0000462	KUTeg_022412, KUTeg_021846	mikado.HiC_scaffold_19.0G137.1
OG0000463	KUTeg_014853, KUTeg_005688, KUTeg_006080, KUTeg_008451, KUTeg_005802, KUTeg_014608, KUTeg_012410, KUTeg_002811, KUTeg_009259	mikado.HiC_scaffold_19.0G666.1
OG0000464	KUTeg_009907, KUTeg_021633, KUTeg_021634, KUTeg_009912	mikado.HiC_scaffold_19.0G1018.1
OG0000465	KUTeg_011916, KUTeg_005755, KUTeg_001217, KUTeg_013864, KUTeg_022801, KUTeg_023748, KUTeg_005858, KUTeg_022201, KUTeg_023400	mikado.HiC_scaffold_19.0G1202.1
OG0000467	KUTeg_017215	mikado.HiC_scaffold_21.0G833.1
OG0000467	KUTeg_002522, KUTeg_002524, KUTeg_008972, KUTeg_002520	mikado.HiC_scaffold_4276G1.1, mikado.HiC_scaffold_21.0G610.1
OG0000468	KUTeg_001589	mikado.HiC_scaffold_21.0G766.1, mikado.HiC_scaffold_21.0G765.1
OG0000468	KUTeg_001588	mikado.HiC_scaffold_21.0G764.1
OG0000469	KUTeg_004798, KUTeg_004797, KUTeg_021910, KUTeg_001786	mikado.HiC_scaffold_21.0G1313.1, mikado.HiC_scaffold_21.0G1249.1, mikado.HiC_scaffold_21.0G1001.1
OG0000470	KUTeg_005782	mikado.HiC_scaffold_8.8335562G141.1, mikado.HiC_scaffold_8.8335562G146.1, mikado.HiC_scaffold_8.8335562G147.1, mikado.HiC_scaffold_8.8335562G145.1, mikado.HiC_scaffold_8.8335562G144.1
OG0000471	KUTeg_023801	mikado.HiC_scaffold_8.8335562G1115.1
OG0000471	KUTeg_023024, KUTeg_022886, KUTeg_023792, KUTeg_023027, KUTeg_023348	mikado.HiC_scaffold_8.8335562G466.1
OG0000472	KUTeg_007950	mikado.HiC_scaffold_12.3160685G172.1, mikado.HiC_scaffold_12.3160685G171.1
OG0000472	KUTeg_006911, KUTeg_007430, KUTeg_007954	mikado.HiC_scaffold_12.3160685G169.1
OG0000473	KUTeg_011225, KUTeg_012133, KUTeg_024815, KUTeg_010692, KUTeg_002887, KUTeg_005703, KUTeg_015277	mikado.HiC_scaffold_12.3160685G299.1
OG0000475	KUTeg_006614, KUTeg_007659, KUTeg_002787, KUTeg_007660, KUTeg_014478, KUTeg_007128, KUTeg_007658, KUTeg_007657	mikado.HiC_scaffold_12.3160685G1152.1
OG0000476	KUTeg_007254	mikado.HiC_scaffold_12.3160685G1214.1
OG0000476	KUTeg_007131	mikado.HiC_scaffold_12.3160685G1212.1, mikado.HiC_scaffold_12.3160685G1293.1, mikado.HiC_scaffold_12.3160685G1216.1
OG0000477	KUTeg_006595, KUTeg_005729, KUTeg_005730, KUTeg_006598	mikado.HiC_scaffold_12.3160685G1364.1, mikado.HiC_scaffold_12.3160685G1368.1
OG0000478	KUTeg_001087, KUTeg_014748, KUTeg_001522, KUTeg_008975, KUTeg_022181, KUTeg_009065, KUTeg_009146	mikado.HiC_scaffold_12.3160685G1456.1
OG0000503	Tgra-opnGx10, KUTeg_000959, KUTeg_000961	Azeb-opnGx7
OG0000503	KUTeg_017796	Azeb-opnGx3, Azeb-opnGx2
OG0000505	KUTeg_015024	mikado.HiC_scaffold_13.0G1376.1, mikado.HiC_scaffold_16.0G1556.1, mikado.HiC_scaffold_19.0G954.1, mikado.HiC_scaffold_7.0G1302.1, mikado.HiC_scaffold_1.0G70.1, mikado.HiC_scaffold_4.0G322.1, mikado.HiC_scaffold_14.0G997.1, mikado.HiC_scaffold_2319G1.1
OG0000509	KUTeg_006317	mikado.HiC_scaffold_1.0G914.1
OG0000509	KUTeg_006109	mikado.HiC_scaffold_1.0G287.1
OG0000510	KUTeg_020764	mikado.HiC_scaffold_2.0G1239.1, mikado.HiC_scaffold_1.0G362.1, mikado.HiC_scaffold_4349G1.1, mikado.HiC_scaffold_14.0G336.1, mikado.HiC_scaffold_14.0G336.2, mikado.HiC_scaffold_2.0G1386.1, mikado.HiC_scaffold_14.0G339.1
OG0000511	KUTeg_012836, KUTeg_015199, KUTeg_015461	mikado.HiC_scaffold_4.0G901.1
OG0000512	KUTeg_016390, KUTeg_016716	mikado.HiC_scaffold_1.0G385.1
OG0000513	KUTeg_005956	mikado.HiC_scaffold_1.0G423.4, mikado.HiC_scaffold_1.0G423.3, mikado.HiC_scaffold_1.0G423.2, mikado.HiC_scaffold_1.0G423.1, mikado.HiC_scaffold_1.0G424.1
OG0000513	KUTeg_005955	mikado.HiC_scaffold_1.0G425.1
OG0000516	KUTeg_011741	mikado.HiC_scaffold_13.0G541.1, mikado.HiC_scaffold_1.0G737.1, mikado.HiC_scaffold_1.0G739.1, mikado.HiC_scaffold_1.0G738.1, mikado.HiC_scaffold_1.0G736.1, mikado.HiC_scaffold_1.0G740.1, mikado.HiC_scaffold_1.0G744.1, mikado.HiC_scaffold_1.0G603.1
OG0000517	KUTeg_005927, KUTeg_014706, KUTeg_005928, KUTeg_005934, KUTeg_005935, KUTeg_014711, KUTeg_014708, KUTeg_005926	mikado.HiC_scaffold_1.0G706.1
OG0000518	KUTeg_005708	mikado.HiC_scaffold_10.0G700.1
OG0000518	KUTeg_007869	mikado.HiC_scaffold_1.0G826.1, mikado.HiC_scaffold_9.0G820.1
OG0000519	KUTeg_016112	mikado.HiC_scaffold_11.0G636.1, mikado.HiC_scaffold_14.0G167.1, mikado.HiC_scaffold_1.0G860.1, mikado.HiC_scaffold_14.0G394.1, mikado.HiC_scaffold_4.0G972.1
OG0000520	KUTeg_014387	mikado.HiC_scaffold_21.0G941.1, mikado.HiC_scaffold_12.3160685G893.1, mikado.HiC_scaffold_9.0G585.1, mikado.HiC_scaffold_19.0G695.1, mikado.HiC_scaffold_4.0G1022.1, mikado.HiC_scaffold_21.0G942.1, mikado.HiC_scaffold_1.0G1031.1
OG0000521	KUTeg_005726, KUTeg_002313, KUTeg_002318, KUTeg_002321	mikado.HiC_scaffold_1.0G1066.1
OG0000522	KUTeg_005941, KUTeg_006079	mikado.HiC_scaffold_1.0G1072.6, mikado.HiC_scaffold_1.0G1072.1, mikado.HiC_scaffold_1.0G1072.2, mikado.HiC_scaffold_1.0G1072.4, mikado.HiC_scaffold_1.0G1072.5, mikado.HiC_scaffold_1.0G1072.7
OG0000524	KUTeg_005776, KUTeg_008973	mikado.HiC_scaffold_12.3160685G790.1, mikado.HiC_scaffold_4276G5.1, mikado.HiC_scaffold_2.0G3.1, mikado.HiC_scaffold_3.0G511.1, mikado.HiC_scaffold_2.0G1.1, mikado.HiC_scaffold_2.0G2.1
OG0000525	KUTeg_018972	mikado.HiC_scaffold_2.0G37.1, mikado.HiC_scaffold_2.0G38.1, mikado.HiC_scaffold_2.0G39.1, mikado.HiC_scaffold_2.0G40.1
OG0000526	KUTeg_001177	mikado.HiC_scaffold_19.0G308.1
OG0000527	KUTeg_010868, KUTeg_010867	mikado.HiC_scaffold_2.0G171.1, mikado.HiC_scaffold_2.0G853.1
OG0000528	KUTeg_010000	mikado.HiC_scaffold_2.0G215.1, mikado.HiC_scaffold_2.0G213.1
OG0000528	KUTeg_010003	mikado.HiC_scaffold_2.0G216.1, mikado.HiC_scaffold_2.0G214.1
OG0000529	KUTeg_001371, KUTeg_014553	mikado.HiC_scaffold_9.0G591.1
OG0000529	KUTeg_014544, KUTeg_013005, KUTeg_000737, KUTeg_012065	mikado.HiC_scaffold_2.0G362.1, mikado.HiC_scaffold_3.0G550.1
OG0000530	KUTeg_001391	mikado.HiC_scaffold_21.0G431.1
OG0000530	KUTeg_021795	mikado.HiC_scaffold_19.0G139.1, mikado.HiC_scaffold_2.0G446.1, mikado.HiC_scaffold_19.0G550.1, mikado.HiC_scaffold_19.0G553.1, mikado.HiC_scaffold_9.0G1577.1
OG0000532	KUTeg_021154	mikado.HiC_scaffold_2.0G936.1, mikado.HiC_scaffold_2.0G588.1, mikado.HiC_scaffold_5.0G106.1, mikado.HiC_scaffold_5.0G106.2, mikado.HiC_scaffold_2.0G587.1, mikado.HiC_scaffold_2.0G935.1
OG0000533	KUTeg_009493	mikado.HiC_scaffold_2.0G617.1, mikado.HiC_scaffold_2.0G615.1
OG0000535	KUTeg_020797, KUTeg_020799, KUTeg_020798	mikado.HiC_scaffold_15.0G187.1, mikado.HiC_scaffold_15.0G242.1, mikado.HiC_scaffold_2.0G873.1
OG0000536	KUTeg_010950	mikado.HiC_scaffold_10.0G293.1
OG0000536	KUTeg_010533	mikado.HiC_scaffold_2.0G1212.1, mikado.HiC_scaffold_15.0G1331.1, mikado.HiC_scaffold_10.0G610.1
OG0000537	KUTeg_017405, KUTeg_022567	mikado.HiC_scaffold_21.0G547.1, mikado.HiC_scaffold_14.0G980.1, mikado.HiC_scaffold_2.0G1389.1
OG0000538	KUTeg_001271, KUTeg_003202	mikado.HiC_scaffold_18.0G262.1, mikado.HiC_scaffold_18.0G1297.1
OG0000539	KUTeg_011544	mikado.HiC_scaffold_13.0G1070.1, mikado.HiC_scaffold_13.0G1081.1, mikado.HiC_scaffold_13.0G1470.1, mikado.HiC_scaffold_13.0G1083.1, mikado.HiC_scaffold_2.0G1459.1, mikado.HiC_scaffold_13.0G1253.1, mikado.HiC_scaffold_13.0G1079.1
OG0000540	KUTeg_011115	mikado.HiC_scaffold_18.0G187.1
OG0000540	KUTeg_011113	mikado.HiC_scaffold_18.0G132.1
OG0000540	KUTeg_011114	mikado.HiC_scaffold_21.0G476.1, mikado.HiC_scaffold_3.0G238.1, mikado.HiC_scaffold_3.0G239.1
OG0000541	KUTeg_000856	mikado.HiC_scaffold_3.0G675.1
OG0000543	KUTeg_017887, KUTeg_008742	mikado.HiC_scaffold_3.0G1006.1, mikado.HiC_scaffold_5.0G450.1, mikado.HiC_scaffold_5.0G1030.1, mikado.HiC_scaffold_5.0G1031.1, mikado.HiC_scaffold_3.0G1008.1, mikado.HiC_scaffold_3.0G1007.1
OG0000544	KUTeg_008215	mikado.HiC_scaffold_4.0G368.1
OG0000545	KUTeg_015593	mikado.HiC_scaffold_4.0G735.1, mikado.HiC_scaffold_4.0G736.1, mikado.HiC_scaffold_11.0G551.1, mikado.HiC_scaffold_4.0G738.1, mikado.HiC_scaffold_4.0G419.1, mikado.HiC_scaffold_4.0G419.2
OG0000548	KUTeg_015021, KUTeg_008761, KUTeg_018550, KUTeg_020085, KUTeg_000029	mikado.HiC_scaffold_5.0G778.1, mikado.HiC_scaffold_4.0G643.1
OG0000549	KUTeg_015183	mikado.HiC_scaffold_4.0G945.1
OG0000549	KUTeg_015527	mikado.HiC_scaffold_4.0G940.1, mikado.HiC_scaffold_4.0G941.1, mikado.HiC_scaffold_7.0G1137.1
OG0000550	KUTeg_015094	mikado.HiC_scaffold_4.0G975.1, mikado.HiC_scaffold_18.0G1048.1
OG0000551	KUTeg_017430, KUTeg_001557	mikado.HiC_scaffold_5.0G99.1
OG0000552	KUTeg_022351, KUTeg_022350	mikado.HiC_scaffold_18.0G329.1, mikado.HiC_scaffold_11.0G512.1, mikado.HiC_scaffold_17.0G515.1, mikado.HiC_scaffold_5.0G481.1
OG0000553	KUTeg_017933	mikado.HiC_scaffold_5.0G794.1
OG0000553	KUTeg_017936, KUTeg_017934, KUTeg_017935	mikado.HiC_scaffold_5.0G793.1, mikado.HiC_scaffold_5.0G792.1
OG0000554	KUTeg_018145, KUTeg_018146	mikado.HiC_scaffold_5.0G859.1, mikado.HiC_scaffold_8.0G3.1, mikado.HiC_scaffold_5.0G861.1
OG0000555	KUTeg_009454	mikado.HiC_scaffold_5.0G1122.1
OG0000557	KUTeg_002394	mikado.HiC_scaffold_7.0G119.1, mikado.HiC_scaffold_18.0G907.1
OG0000558	KUTeg_024947	mikado.HiC_scaffold_7.0G357.1
OG0000559	KUTeg_024950	mikado.HiC_scaffold_7.0G380.1
OG0000560	KUTeg_024658	mikado.HiC_scaffold_7.0G395.1
OG0000562	KUTeg_024907	mikado.HiC_scaffold_7.0G476.1, mikado.HiC_scaffold_7.0G480.1, mikado.HiC_scaffold_7.0G521.1, mikado.HiC_scaffold_4346G3.1, mikado.HiC_scaffold_7.0G475.1
OG0000563	KUTeg_006525, KUTeg_017617, KUTeg_018447, KUTeg_006526	mikado.HiC_scaffold_7.0G680.1, mikado.HiC_scaffold_7.0G677.1, mikado.HiC_scaffold_11.0G364.1, mikado.HiC_scaffold_11.0G363.1
OG0000564	KUTeg_012431	mikado.HiC_scaffold_13.0G253.1, mikado.HiC_scaffold_9.0G587.1
OG0000564	KUTeg_012430	mikado.HiC_scaffold_15.0G2233.1
OG0000564	KUTeg_011943	mikado.HiC_scaffold_15.0G2234.1
OG0000565	KUTeg_003357, KUTeg_018502, KUTeg_001573, KUTeg_016965, KUTeg_022485, KUTeg_021540, KUTeg_003122	mikado.HiC_scaffold_9.0G703.1
OG0000566	KUTeg_003426	mikado.HiC_scaffold_9.0G758.1
OG0000566	KUTeg_016161, KUTeg_016165	mikado.HiC_scaffold_12.3160685G1463.1
OG0000567	KUTeg_004135, KUTeg_012801	mikado.HiC_scaffold_19.0G1354.1, mikado.HiC_scaffold_9.0G882.1
OG0000568	KUTeg_003465, KUTeg_000676, KUTeg_000677	mikado.HiC_scaffold_9.0G1006.1
OG0000569	KUTeg_018722	mikado.HiC_scaffold_19.0G50.1
OG0000570	KUTeg_003949, KUTeg_010613, KUTeg_003588	mikado.HiC_scaffold_9.0G1664.1, mikado.HiC_scaffold_9.0G1665.1, mikado.HiC_scaffold_9.0G1666.1
OG0000571	KUTeg_021831	mikado.HiC_scaffold_10.0G14.1, mikado.HiC_scaffold_18.0G1128.1
OG0000571	KUTeg_005849	mikado.HiC_scaffold_19.0G596.1, mikado.HiC_scaffold_10.0G15.1
OG0000571	KUTeg_021834	mikado.HiC_scaffold_8.8335562G38.1
OG0000572	KUTeg_010933, KUTeg_011002, KUTeg_000882	mikado.HiC_scaffold_10.0G91.1, mikado.HiC_scaffold_13.0G503.1
OG0000573	KUTeg_014147, KUTeg_014144	mikado.HiC_scaffold_11.0G421.1, mikado.HiC_scaffold_21.0G1099.1, mikado.HiC_scaffold_11.0G295.1, mikado.HiC_scaffold_11.0G294.1, mikado.HiC_scaffold_11.0G296.1, mikado.HiC_scaffold_10.0G95.1
OG0000576	KUTeg_002445	mikado.HiC_scaffold_10.0G439.1, mikado.HiC_scaffold_19.0G1021.1, mikado.HiC_scaffold_11.0G31.1
OG0000577	KUTeg_001872	mikado.HiC_scaffold_19.0G667.1
OG0000578	KUTeg_020597, KUTeg_020603, KUTeg_020598	mikado.HiC_scaffold_13.0G1.1
OG0000579	KUTeg_007884, KUTeg_007890, KUTeg_007887	mikado.HiC_scaffold_12.3160685G529.1, mikado.HiC_scaffold_12.3160685G534.1, mikado.HiC_scaffold_13.0G91.1, mikado.HiC_scaffold_12.3160685G526.1
OG0000581	KUTeg_016626	mikado.HiC_scaffold_13.0G553.1
OG0000581	KUTeg_014230	mikado.HiC_scaffold_13.0G520.1
OG0000582	KUTeg_007796, KUTeg_007797, KUTeg_007192, KUTeg_006912, KUTeg_017120	mikado.HiC_scaffold_13.0G664.1, mikado.HiC_scaffold_13.0G665.1
OG0000583	KUTeg_008106	mikado.HiC_scaffold_13.0G799.1
OG0000583	KUTeg_008492	mikado.HiC_scaffold_15.0G528.1, mikado.HiC_scaffold_15.0G525.1, mikado.HiC_scaffold_17.0G108.1
OG0000584	KUTeg_016024, KUTeg_016021	mikado.HiC_scaffold_13.0G1261.1, mikado.HiC_scaffold_13.0G1254.1, mikado.HiC_scaffold_13.0G1262.1, mikado.HiC_scaffold_13.0G1252.1
OG0000585	KUTeg_016878, KUTeg_016883, KUTeg_016881, KUTeg_016880, KUTeg_016877	mikado.HiC_scaffold_13.0G1319.3, mikado.HiC_scaffold_13.0G1319.2, mikado.HiC_scaffold_13.0G1319.1
OG0000587	KUTeg_004757, KUTeg_004762, KUTeg_004758, KUTeg_004759	mikado.HiC_scaffold_14.0G129.1, mikado.HiC_scaffold_14.0G515.1
OG0000588	KUTeg_013826, KUTeg_013446	mikado.HiC_scaffold_12.3160685G935.1, mikado.HiC_scaffold_14.0G764.1, mikado.HiC_scaffold_18.0G204.1, mikado.HiC_scaffold_12.3160685G936.1, mikado.HiC_scaffold_12.3160685G934.1
OG0000589	KUTeg_013659	mikado.HiC_scaffold_16.0G1044.1, mikado.HiC_scaffold_16.0G1043.1, mikado.HiC_scaffold_16.0G1042.1, mikado.HiC_scaffold_16.0G1471.1, mikado.HiC_scaffold_14.0G1209.1
OG0000590	KUTeg_021239, KUTeg_011297	mikado.HiC_scaffold_15.0G13.1
OG0000590	KUTeg_020064	mikado.HiC_scaffold_15.0G2364.1
OG0000591	KUTeg_020169, KUTeg_020706, KUTeg_020707	mikado.HiC_scaffold_15.0G56.1
