0_0: Azeb-opn5a
0_12414: mikado.HiC_scaffold_13.0G1200.1
0_12415: mikado.HiC_scaffold_13.0G1197.1
0_12416: mikado.HiC_scaffold_13.0G1197.2
0_12417: mikado.HiC_scaffold_13.0G1202.1
0_12418: mikado.HiC_scaffold_13.0G1203.1
0_12419: mikado.HiC_scaffold_13.0G1204.1
0_12420: mikado.HiC_scaffold_13.0G1206.1
0_12421: mikado.HiC_scaffold_13.0G1207.1
0_12422: mikado.HiC_scaffold_13.0G1208.1
0_12423: mikado.HiC_scaffold_13.0G1209.1
0_12424: mikado.HiC_scaffold_13.0G1210.1
0_12425: mikado.HiC_scaffold_13.0G1211.1
0_12426: mikado.HiC_scaffold_13.0G1212.1
0_12427: mikado.HiC_scaffold_13.0G1213.1
0_12428: mikado.HiC_scaffold_13.0G1214.1
0_12429: mikado.HiC_scaffold_13.0G1215.1
0_12430: mikado.HiC_scaffold_13.0G1216.1
0_12431: mikado.HiC_scaffold_13.0G1217.1
0_12432: mikado.HiC_scaffold_13.0G1219.1
0_12433: mikado.HiC_scaffold_13.0G1220.1
0_12434: mikado.HiC_scaffold_13.0G1221.1
0_12435: mikado.HiC_scaffold_13.0G1222.1
0_12436: mikado.HiC_scaffold_13.0G1223.1
0_12437: mikado.HiC_scaffold_13.0G1225.1
0_12438: mikado.HiC_scaffold_13.0G1226.1
0_12439: mikado.HiC_scaffold_13.0G1227.1
0_12440: mikado.HiC_scaffold_13.0G1227.2
0_12441: mikado.HiC_scaffold_13.0G1228.1
0_12442: mikado.HiC_scaffold_13.0G1229.1
0_12443: mikado.HiC_scaffold_13.0G1230.1
0_12444: mikado.HiC_scaffold_13.0G1231.1
0_12445: mikado.HiC_scaffold_13.0G1232.1
0_12446: mikado.HiC_scaffold_13.0G1233.1
0_12447: mikado.HiC_scaffold_13.0G1234.1
0_12448: mikado.HiC_scaffold_13.0G1235.1
0_12449: mikado.HiC_scaffold_13.0G1236.1
0_12450: mikado.HiC_scaffold_13.0G1237.1
0_12451: mikado.HiC_scaffold_13.0G1238.1
0_12452: mikado.HiC_scaffold_13.0G1239.1
0_12453: mikado.HiC_scaffold_13.0G1239.11
0_12454: mikado.HiC_scaffold_13.0G1239.13
0_12455: mikado.HiC_scaffold_13.0G1239.14
0_12456: mikado.HiC_scaffold_13.0G1239.2
0_12457: mikado.HiC_scaffold_13.0G1239.3
0_12458: mikado.HiC_scaffold_13.0G1239.8
0_12459: mikado.HiC_scaffold_13.0G1239.9
0_12460: mikado.HiC_scaffold_13.0G1240.1
0_12461: mikado.HiC_scaffold_13.0G1241.1
0_12462: mikado.HiC_scaffold_13.0G1243.1
0_12463: mikado.HiC_scaffold_13.0G1242.1
0_12464: mikado.HiC_scaffold_13.0G1244.1
0_12465: mikado.HiC_scaffold_13.0G1245.1
0_12466: mikado.HiC_scaffold_13.0G1246.1
0_12467: mikado.HiC_scaffold_13.0G1247.1
0_12468: mikado.HiC_scaffold_13.0G1248.1
0_12469: mikado.HiC_scaffold_13.0G1249.1
0_12470: mikado.HiC_scaffold_13.0G1251.1
0_12471: mikado.HiC_scaffold_13.0G1252.1
0_12472: mikado.HiC_scaffold_13.0G1253.1
0_12473: mikado.HiC_scaffold_13.0G1254.1
0_12474: mikado.HiC_scaffold_13.0G1255.1
0_12475: mikado.HiC_scaffold_13.0G1256.1
0_12476: mikado.HiC_scaffold_13.0G1257.1
0_12477: mikado.HiC_scaffold_13.0G1260.1
0_12478: mikado.HiC_scaffold_13.0G1261.1
0_12479: mikado.HiC_scaffold_13.0G1262.1
0_12480: mikado.HiC_scaffold_13.0G1264.1
0_12481: mikado.HiC_scaffold_13.0G1263.1
0_12482: mikado.HiC_scaffold_13.0G1263.2
0_12483: mikado.HiC_scaffold_13.0G1266.1
0_12484: mikado.HiC_scaffold_13.0G1267.1
0_12485: mikado.HiC_scaffold_13.0G1268.1
0_12486: mikado.HiC_scaffold_13.0G1269.1
0_12487: mikado.HiC_scaffold_13.0G1270.1
0_12488: mikado.HiC_scaffold_13.0G1271.1
0_12489: mikado.HiC_scaffold_13.0G1272.1
0_12490: mikado.HiC_scaffold_13.0G1273.1
0_12491: mikado.HiC_scaffold_13.0G1274.1
0_12492: mikado.HiC_scaffold_13.0G1275.1
0_12493: mikado.HiC_scaffold_13.0G1276.1
0_12494: mikado.HiC_scaffold_13.0G1277.1
0_12495: mikado.HiC_scaffold_13.0G1278.1
0_12496: mikado.HiC_scaffold_13.0G1279.1
0_12497: mikado.HiC_scaffold_13.0G1280.1
0_12498: mikado.HiC_scaffold_13.0G1281.1
0_12499: mikado.HiC_scaffold_13.0G1282.1
0_12500: mikado.HiC_scaffold_13.0G1283.1
0_12501: mikado.HiC_scaffold_13.0G1284.1
0_12502: mikado.HiC_scaffold_13.0G1285.2
0_12503: mikado.HiC_scaffold_13.0G1285.1
0_12504: mikado.HiC_scaffold_13.0G1286.1
0_12505: mikado.HiC_scaffold_13.0G1287.1
0_12506: mikado.HiC_scaffold_13.0G1288.1
0_12507: mikado.HiC_scaffold_13.0G1289.1
0_12508: mikado.HiC_scaffold_13.0G1290.1
0_12509: mikado.HiC_scaffold_13.0G1291.1
0_12510: mikado.HiC_scaffold_13.0G1292.1
0_12511: mikado.HiC_scaffold_13.0G1293.1
0_12512: mikado.HiC_scaffold_13.0G1294.1
0_12513: mikado.HiC_scaffold_13.0G1295.1
0_12514: mikado.HiC_scaffold_13.0G1296.1
0_12515: mikado.HiC_scaffold_13.0G1297.1
0_12516: mikado.HiC_scaffold_13.0G1298.1
0_12517: mikado.HiC_scaffold_13.0G1299.1
0_12518: mikado.HiC_scaffold_13.0G1300.1
0_12519: mikado.HiC_scaffold_13.0G1301.1
0_12520: mikado.HiC_scaffold_13.0G1302.1
0_12521: mikado.HiC_scaffold_13.0G1304.1
0_12522: mikado.HiC_scaffold_13.0G1305.1
0_12523: mikado.HiC_scaffold_13.0G1305.4
0_12524: mikado.HiC_scaffold_13.0G1306.1
0_12525: mikado.HiC_scaffold_13.0G1306.2
0_12526: mikado.HiC_scaffold_13.0G1307.1
0_12527: mikado.HiC_scaffold_13.0G1308.1
0_12528: mikado.HiC_scaffold_13.0G1309.1
0_12529: mikado.HiC_scaffold_13.0G1310.1
0_12530: mikado.HiC_scaffold_13.0G1311.1
0_12531: mikado.HiC_scaffold_13.0G1312.1
0_12532: mikado.HiC_scaffold_13.0G1313.1
0_12533: mikado.HiC_scaffold_13.0G1315.1
0_12534: mikado.HiC_scaffold_13.0G1316.1
0_12535: mikado.HiC_scaffold_13.0G1316.2
0_12536: mikado.HiC_scaffold_13.0G1317.1
0_12537: mikado.HiC_scaffold_13.0G1318.1
0_12538: mikado.HiC_scaffold_13.0G1319.1
0_12539: mikado.HiC_scaffold_13.0G1319.2
0_12540: mikado.HiC_scaffold_13.0G1319.3
0_12541: mikado.HiC_scaffold_13.0G1320.1
0_12542: mikado.HiC_scaffold_13.0G1321.1
0_12543: mikado.HiC_scaffold_13.0G1321.2
0_12544: mikado.HiC_scaffold_13.0G1322.1
0_12545: mikado.HiC_scaffold_13.0G1323.1
0_12546: mikado.HiC_scaffold_13.0G1324.1
0_12547: mikado.HiC_scaffold_13.0G1325.1
0_12548: mikado.HiC_scaffold_13.0G1326.1
0_12549: mikado.HiC_scaffold_13.0G1327.1
0_12550: mikado.HiC_scaffold_13.0G1328.1
0_12551: mikado.HiC_scaffold_13.0G1329.1
0_12552: mikado.HiC_scaffold_13.0G1330.1
0_12553: mikado.HiC_scaffold_13.0G1331.1
0_12554: mikado.HiC_scaffold_13.0G1332.1
0_12555: mikado.HiC_scaffold_13.0G1333.1
0_12556: mikado.HiC_scaffold_13.0G1334.1
0_12557: mikado.HiC_scaffold_13.0G1335.1
0_12558: mikado.HiC_scaffold_13.0G1336.1
0_12559: mikado.HiC_scaffold_13.0G1337.1
0_12560: mikado.HiC_scaffold_13.0G1338.1
0_12561: mikado.HiC_scaffold_13.0G1340.1
0_12562: mikado.HiC_scaffold_13.0G1341.1
0_12563: mikado.HiC_scaffold_13.0G1342.1
0_12564: mikado.HiC_scaffold_13.0G1343.1
0_12565: mikado.HiC_scaffold_13.0G1344.1
0_12566: mikado.HiC_scaffold_13.0G1345.1
0_12567: mikado.HiC_scaffold_13.0G1346.1
0_12568: mikado.HiC_scaffold_13.0G1347.1
0_12569: mikado.HiC_scaffold_13.0G1348.1
0_12570: mikado.HiC_scaffold_13.0G1349.1
0_12571: mikado.HiC_scaffold_13.0G1350.1
0_12572: mikado.HiC_scaffold_13.0G1351.1
0_12573: mikado.HiC_scaffold_13.0G1352.1
0_12574: mikado.HiC_scaffold_13.0G1353.1
0_12575: mikado.HiC_scaffold_13.0G1354.1
0_12576: mikado.HiC_scaffold_13.0G1355.1
0_12577: mikado.HiC_scaffold_13.0G1356.1
0_12578: mikado.HiC_scaffold_13.0G1357.1
0_12579: mikado.HiC_scaffold_13.0G1358.1
0_12580: mikado.HiC_scaffold_13.0G1359.2
0_12581: mikado.HiC_scaffold_13.0G1359.5
0_12582: mikado.HiC_scaffold_13.0G1360.1
0_12583: mikado.HiC_scaffold_13.0G1361.1
0_12584: mikado.HiC_scaffold_13.0G1362.1
0_12585: mikado.HiC_scaffold_13.0G1363.1
0_12586: mikado.HiC_scaffold_13.0G1364.1
0_12587: mikado.HiC_scaffold_13.0G1365.1
0_12588: mikado.HiC_scaffold_13.0G1366.1
0_12589: mikado.HiC_scaffold_13.0G1367.1
0_12590: mikado.HiC_scaffold_13.0G1368.1
0_12591: mikado.HiC_scaffold_13.0G1368.2
0_12592: mikado.HiC_scaffold_13.0G1369.1
0_12593: mikado.HiC_scaffold_13.0G1370.1
0_12594: mikado.HiC_scaffold_13.0G1373.1
0_12595: mikado.HiC_scaffold_13.0G1372.1
0_12596: mikado.HiC_scaffold_13.0G1374.1
0_12597: mikado.HiC_scaffold_13.0G1375.1
0_12598: mikado.HiC_scaffold_13.0G1376.1
0_12599: mikado.HiC_scaffold_13.0G1377.1
0_12600: mikado.HiC_scaffold_13.0G1378.1
0_12601: mikado.HiC_scaffold_13.0G1379.1
0_12602: mikado.HiC_scaffold_13.0G1380.1
0_12603: mikado.HiC_scaffold_13.0G1381.1
0_12604: mikado.HiC_scaffold_13.0G1382.1
0_12605: mikado.HiC_scaffold_13.0G1383.1
0_12606: mikado.HiC_scaffold_13.0G1384.1
0_12607: mikado.HiC_scaffold_13.0G1385.1
0_12608: mikado.HiC_scaffold_13.0G1386.1
0_12609: mikado.HiC_scaffold_13.0G1388.1
0_12610: mikado.HiC_scaffold_13.0G1387.1
0_12611: mikado.HiC_scaffold_13.0G1389.1
0_12612: mikado.HiC_scaffold_13.0G1390.1
0_12613: mikado.HiC_scaffold_13.0G1392.1
0_12614: mikado.HiC_scaffold_13.0G1393.1
0_12615: mikado.HiC_scaffold_13.0G1394.1
0_12616: mikado.HiC_scaffold_13.0G1395.1
0_12617: mikado.HiC_scaffold_13.0G1396.1
0_12618: mikado.HiC_scaffold_13.0G1397.1
0_12619: mikado.HiC_scaffold_13.0G1398.1
0_12620: mikado.HiC_scaffold_13.0G1398.2
0_12621: mikado.HiC_scaffold_13.0G1399.1
0_12622: mikado.HiC_scaffold_13.0G1400.1
0_12623: mikado.HiC_scaffold_13.0G1402.1
0_12624: mikado.HiC_scaffold_13.0G1401.1
0_12625: mikado.HiC_scaffold_13.0G1404.1
0_12626: mikado.HiC_scaffold_13.0G1403.1
0_12627: mikado.HiC_scaffold_13.0G1406.1
0_12628: mikado.HiC_scaffold_13.0G1405.1
0_12629: mikado.HiC_scaffold_13.0G1407.1
0_12630: mikado.HiC_scaffold_13.0G1408.1
0_12631: mikado.HiC_scaffold_13.0G1409.1
0_12632: mikado.HiC_scaffold_13.0G1410.1
0_12633: mikado.HiC_scaffold_13.0G1411.1
0_12634: mikado.HiC_scaffold_13.0G1412.1
0_12635: mikado.HiC_scaffold_13.0G1413.1
0_12636: mikado.HiC_scaffold_13.0G1414.1
0_12637: mikado.HiC_scaffold_13.0G1415.1
0_12638: mikado.HiC_scaffold_13.0G1416.1
0_12639: mikado.HiC_scaffold_13.0G1417.1
0_12640: mikado.HiC_scaffold_13.0G1418.1
0_12641: mikado.HiC_scaffold_13.0G1419.1
0_12642: mikado.HiC_scaffold_13.0G1420.1
0_12643: mikado.HiC_scaffold_13.0G1421.1
0_12644: mikado.HiC_scaffold_13.0G1422.1
0_12645: mikado.HiC_scaffold_13.0G1423.1
0_12646: mikado.HiC_scaffold_13.0G1424.1
0_12647: mikado.HiC_scaffold_13.0G1425.1
0_12648: mikado.HiC_scaffold_13.0G1426.1
0_12649: mikado.HiC_scaffold_13.0G1427.1
0_12650: mikado.HiC_scaffold_13.0G1428.1
0_12651: mikado.HiC_scaffold_13.0G1430.1
0_12652: mikado.HiC_scaffold_13.0G1431.1
0_12653: mikado.HiC_scaffold_13.0G1432.1
0_12654: mikado.HiC_scaffold_13.0G1433.1
0_12655: mikado.HiC_scaffold_13.0G1434.1
0_12656: mikado.HiC_scaffold_13.0G1435.1
0_12657: mikado.HiC_scaffold_13.0G1436.1
0_12658: mikado.HiC_scaffold_13.0G1437.1
0_12659: mikado.HiC_scaffold_13.0G1438.1
0_12660: mikado.HiC_scaffold_13.0G1439.1
0_12661: mikado.HiC_scaffold_13.0G1440.1
0_12662: mikado.HiC_scaffold_13.0G1441.1
0_12663: mikado.HiC_scaffold_13.0G1442.1
0_12664: mikado.HiC_scaffold_13.0G1443.1
0_12665: mikado.HiC_scaffold_13.0G1444.1
0_12666: mikado.HiC_scaffold_13.0G1445.1
0_12667: mikado.HiC_scaffold_13.0G1446.1
0_12668: mikado.HiC_scaffold_13.0G1447.1
0_12669: mikado.HiC_scaffold_13.0G1448.1
0_12670: mikado.HiC_scaffold_13.0G1449.1
0_12671: mikado.HiC_scaffold_13.0G1450.1
0_12672: mikado.HiC_scaffold_13.0G1451.1
0_12673: mikado.HiC_scaffold_13.0G1451.2
0_12674: mikado.HiC_scaffold_13.0G1451.3
0_12675: mikado.HiC_scaffold_13.0G1452.1
0_12676: mikado.HiC_scaffold_13.0G1453.1
0_12677: mikado.HiC_scaffold_13.0G1454.2
0_12678: mikado.HiC_scaffold_13.0G1454.1
0_12679: mikado.HiC_scaffold_13.0G1455.1
0_12680: mikado.HiC_scaffold_13.0G1456.1
0_12681: mikado.HiC_scaffold_13.0G1457.1
0_12682: mikado.HiC_scaffold_13.0G1458.1
0_12683: mikado.HiC_scaffold_13.0G1459.1
0_12684: mikado.HiC_scaffold_13.0G1460.1
0_12685: mikado.HiC_scaffold_13.0G1460.2
0_12686: mikado.HiC_scaffold_13.0G1461.1
0_12687: mikado.HiC_scaffold_13.0G1462.1
0_12688: mikado.HiC_scaffold_13.0G1463.1
0_12689: mikado.HiC_scaffold_13.0G1464.1
0_12690: mikado.HiC_scaffold_13.0G1465.1
0_12691: mikado.HiC_scaffold_13.0G1466.1
0_12692: mikado.HiC_scaffold_13.0G1467.1
0_12693: mikado.HiC_scaffold_13.0G1468.1
0_12694: mikado.HiC_scaffold_13.0G1469.1
0_12695: mikado.HiC_scaffold_13.0G1470.1
0_12696: mikado.HiC_scaffold_13.0G1471.1
0_12697: mikado.HiC_scaffold_13.0G1472.1
0_12698: mikado.HiC_scaffold_13.0G1474.1
0_12699: mikado.HiC_scaffold_13.0G1473.1
0_12700: mikado.HiC_scaffold_13.0G1475.1
0_12701: mikado.HiC_scaffold_13.0G1476.1
0_12702: mikado.HiC_scaffold_13.0G1477.1
0_12703: mikado.HiC_scaffold_13.0G1479.1
0_12704: mikado.HiC_scaffold_13.0G1478.1
0_12705: mikado.HiC_scaffold_13.0G1480.1
0_12706: mikado.HiC_scaffold_13.0G1481.1
0_12707: mikado.HiC_scaffold_13.0G1482.1
0_12708: mikado.HiC_scaffold_13.0G1482.3
0_12709: mikado.HiC_scaffold_13.0G1482.4
0_12710: mikado.HiC_scaffold_13.0G1483.1
0_12711: mikado.HiC_scaffold_13.0G1484.1
0_12712: mikado.HiC_scaffold_13.0G1485.1
0_12713: mikado.HiC_scaffold_13.0G1486.1
0_12714: mikado.HiC_scaffold_13.0G1487.1
0_12715: mikado.HiC_scaffold_13.0G1488.1
0_12716: mikado.HiC_scaffold_13.0G1489.1
0_12717: mikado.HiC_scaffold_13.0G1490.1
0_12718: mikado.HiC_scaffold_13.0G1491.1
0_12719: mikado.HiC_scaffold_13.0G1492.1
0_12720: mikado.HiC_scaffold_13.0G1493.1
0_12721: mikado.HiC_scaffold_13.0G1494.1
0_12722: mikado.HiC_scaffold_13.0G1495.1
0_12723: mikado.HiC_scaffold_13.0G1496.1
0_12724: mikado.HiC_scaffold_13.0G1497.1
0_12725: mikado.HiC_scaffold_13.0G1498.1
0_12726: mikado.HiC_scaffold_13.0G1499.1
0_12727: mikado.HiC_scaffold_13.0G1500.1
0_12728: mikado.HiC_scaffold_13.0G1501.1
0_12729: mikado.HiC_scaffold_13.0G1503.1
0_12730: mikado.HiC_scaffold_13.0G1502.1
0_12731: mikado.HiC_scaffold_13.0G1504.1
0_12732: mikado.HiC_scaffold_13.0G1504.2
0_12733: mikado.HiC_scaffold_13.0G1505.1
0_12734: mikado.HiC_scaffold_13.0G1506.1
0_12735: mikado.HiC_scaffold_13.0G1507.1
0_12736: mikado.HiC_scaffold_13.0G1508.1
0_12737: mikado.HiC_scaffold_13.0G1509.1
0_12738: mikado.HiC_scaffold_13.0G1510.1
0_12739: mikado.HiC_scaffold_13.0G1511.1
0_12740: mikado.HiC_scaffold_13.0G1512.1
0_12741: mikado.HiC_scaffold_13.0G1513.1
0_12742: mikado.HiC_scaffold_13.0G1514.1
0_12743: mikado.HiC_scaffold_13.0G1514.2
0_12744: mikado.HiC_scaffold_13.0G1515.1
0_12745: mikado.HiC_scaffold_13.0G1516.1
0_12746: mikado.HiC_scaffold_13.0G1517.1
0_12747: mikado.HiC_scaffold_13.0G1518.1
0_12748: mikado.HiC_scaffold_13.0G1519.1
0_12749: mikado.HiC_scaffold_13.0G1520.1
0_12750: mikado.HiC_scaffold_13.0G1521.1
0_12751: mikado.HiC_scaffold_13.0G1522.1
0_12752: mikado.HiC_scaffold_13.0G1524.1
0_12753: mikado.HiC_scaffold_13.0G1525.1
0_12754: mikado.HiC_scaffold_13.0G1526.1
0_12755: mikado.HiC_scaffold_13.0G1527.1
0_12756: mikado.HiC_scaffold_13.0G1528.1
0_12757: mikado.HiC_scaffold_13.0G1529.1
0_12758: mikado.HiC_scaffold_13.0G1530.1
0_12759: mikado.HiC_scaffold_13.0G1531.1
0_12760: mikado.HiC_scaffold_13.0G1532.1
0_12761: mikado.HiC_scaffold_13.0G1533.1
0_12762: mikado.HiC_scaffold_13.0G1534.1
0_12763: mikado.HiC_scaffold_13.0G1535.1
0_12764: mikado.HiC_scaffold_13.0G1536.1
0_12765: mikado.HiC_scaffold_13.0G1537.1
0_12766: mikado.HiC_scaffold_13.0G1538.1
0_12767: mikado.HiC_scaffold_13.0G1539.1
0_12768: mikado.HiC_scaffold_13.0G1540.1
0_12769: mikado.HiC_scaffold_13.0G1541.1
0_12770: mikado.HiC_scaffold_13.0G1542.1
0_12771: mikado.HiC_scaffold_13.0G1543.1
0_12772: mikado.HiC_scaffold_13.0G1544.1
0_12773: mikado.HiC_scaffold_13.0G1545.1
0_12774: mikado.HiC_scaffold_13.0G1546.1
0_12775: mikado.HiC_scaffold_13.0G1547.1
0_12776: mikado.HiC_scaffold_13.0G1548.1
0_12777: mikado.HiC_scaffold_13.0G1549.1
0_12778: mikado.HiC_scaffold_13.0G1550.1
0_12779: mikado.HiC_scaffold_13.0G1551.1
0_12780: mikado.HiC_scaffold_13.0G1552.1
0_12781: mikado.HiC_scaffold_13.0G1553.1
0_12782: mikado.HiC_scaffold_13.0G1553.2
0_12783: mikado.HiC_scaffold_13.0G1554.1
0_12784: mikado.HiC_scaffold_13.0G1555.1
0_12785: mikado.HiC_scaffold_13.0G1556.1
0_12786: mikado.HiC_scaffold_13.0G1558.1
0_12787: mikado.HiC_scaffold_13.0G1559.1
0_12788: mikado.HiC_scaffold_13.0G1560.1
0_12789: mikado.HiC_scaffold_13.0G1561.1
0_12790: mikado.HiC_scaffold_13.0G1562.1
0_12791: mikado.HiC_scaffold_13.0G1563.1
0_12792: mikado.HiC_scaffold_13.0G1564.1
0_12793: mikado.HiC_scaffold_13.0G1565.1
0_12794: mikado.HiC_scaffold_13.0G1566.1
0_12795: mikado.HiC_scaffold_13.0G1567.1
0_12796: mikado.HiC_scaffold_13.0G1568.1
0_12797: mikado.HiC_scaffold_13.0G1569.1
0_12798: mikado.HiC_scaffold_13.0G1569.2
0_12799: mikado.HiC_scaffold_13.0G1570.1
0_12800: mikado.HiC_scaffold_13.0G1571.1
0_12801: mikado.HiC_scaffold_13.0G1572.1
0_12802: mikado.HiC_scaffold_13.0G1573.1
0_12803: mikado.HiC_scaffold_13.0G1574.1
0_12804: mikado.HiC_scaffold_13.0G1575.1
0_12805: mikado.HiC_scaffold_13.0G1576.1
0_12806: mikado.HiC_scaffold_13.0G1577.1
0_12807: mikado.HiC_scaffold_13.0G1578.1
0_12808: mikado.HiC_scaffold_13.0G1579.1
0_12809: mikado.HiC_scaffold_13.0G1580.1
0_12810: mikado.HiC_scaffold_13.0G1581.1
0_12811: mikado.HiC_scaffold_13.0G1581.2
0_12812: mikado.HiC_scaffold_13.0G1582.1
0_12813: mikado.HiC_scaffold_13.0G1583.1
0_12814: mikado.HiC_scaffold_13.0G1584.1
0_12815: mikado.HiC_scaffold_13.0G1585.1
0_12816: mikado.HiC_scaffold_132G1.1
0_12817: mikado.HiC_scaffold_132G2.1
0_12818: mikado.HiC_scaffold_133G1.1
0_12819: mikado.HiC_scaffold_133G2.1
0_12820: mikado.HiC_scaffold_133G3.1
0_12821: mikado.HiC_scaffold_133G4.1
0_12822: mikado.HiC_scaffold_133G5.1
0_12823: mikado.HiC_scaffold_134G1.1
0_12824: mikado.HiC_scaffold_134G2.1
0_12825: mikado.HiC_scaffold_134G3.1
0_12826: mikado.HiC_scaffold_134G4.1
0_12827: mikado.HiC_scaffold_134G5.1
0_12828: mikado.HiC_scaffold_134G6.1
0_12829: mikado.HiC_scaffold_134G7.1
0_12830: mikado.HiC_scaffold_135G1.1
0_12831: mikado.HiC_scaffold_135G2.1
0_12832: mikado.HiC_scaffold_135G3.1
0_12833: mikado.HiC_scaffold_136G1.1
0_12834: mikado.HiC_scaffold_136G2.1
0_12835: mikado.HiC_scaffold_137G1.1
0_12836: mikado.HiC_scaffold_138G1.1
0_12837: mikado.HiC_scaffold_139G1.1
0_12838: mikado.HiC_scaffold_14.0G1.1
0_12839: mikado.HiC_scaffold_14.0G2.1
0_12840: mikado.HiC_scaffold_14.0G3.1
0_12841: mikado.HiC_scaffold_14.0G4.1
0_12842: mikado.HiC_scaffold_14.0G5.1
0_12843: mikado.HiC_scaffold_14.0G6.1
0_12844: mikado.HiC_scaffold_14.0G7.1
0_12845: mikado.HiC_scaffold_14.0G8.1
0_12846: mikado.HiC_scaffold_14.0G8.2
0_12847: mikado.HiC_scaffold_14.0G8.3
0_12848: mikado.HiC_scaffold_14.0G9.1
0_12849: mikado.HiC_scaffold_14.0G10.1
0_12850: mikado.HiC_scaffold_14.0G11.1
0_12851: mikado.HiC_scaffold_14.0G12.1
0_12852: mikado.HiC_scaffold_14.0G13.1
0_12853: mikado.HiC_scaffold_14.0G14.1
0_12854: mikado.HiC_scaffold_14.0G15.1
0_12855: mikado.HiC_scaffold_14.0G16.1
0_12856: mikado.HiC_scaffold_14.0G17.1
0_12857: mikado.HiC_scaffold_14.0G17.2
0_12858: mikado.HiC_scaffold_14.0G18.1
0_12859: mikado.HiC_scaffold_14.0G19.1
0_12860: mikado.HiC_scaffold_14.0G20.1
0_12861: mikado.HiC_scaffold_14.0G21.1
0_12862: mikado.HiC_scaffold_14.0G22.1
0_12863: mikado.HiC_scaffold_14.0G23.1
0_12864: mikado.HiC_scaffold_14.0G24.1
0_12865: mikado.HiC_scaffold_14.0G25.1
0_12866: mikado.HiC_scaffold_14.0G26.1
0_12867: mikado.HiC_scaffold_14.0G27.1
0_12868: mikado.HiC_scaffold_14.0G28.1
0_12869: mikado.HiC_scaffold_14.0G29.1
0_12870: mikado.HiC_scaffold_14.0G30.1
0_12871: mikado.HiC_scaffold_14.0G31.1
0_12872: mikado.HiC_scaffold_14.0G32.1
0_12873: mikado.HiC_scaffold_14.0G33.1
0_12874: mikado.HiC_scaffold_14.0G34.1
0_12875: mikado.HiC_scaffold_14.0G35.1
0_12876: mikado.HiC_scaffold_14.0G36.1
0_12877: mikado.HiC_scaffold_14.0G37.1
0_12878: mikado.HiC_scaffold_14.0G38.1
0_12879: mikado.HiC_scaffold_14.0G39.1
0_12880: mikado.HiC_scaffold_14.0G40.1
0_12881: mikado.HiC_scaffold_14.0G41.1
0_12882: mikado.HiC_scaffold_14.0G42.1
0_12883: mikado.HiC_scaffold_14.0G43.1
0_12884: mikado.HiC_scaffold_14.0G44.1
0_12885: mikado.HiC_scaffold_14.0G46.1
0_12886: mikado.HiC_scaffold_14.0G48.1
0_12887: mikado.HiC_scaffold_14.0G49.1
0_12888: mikado.HiC_scaffold_14.0G50.1
0_12889: mikado.HiC_scaffold_14.0G51.1
0_12890: mikado.HiC_scaffold_14.0G52.1
0_12891: mikado.HiC_scaffold_14.0G53.1
0_12892: mikado.HiC_scaffold_14.0G54.1
0_12893: mikado.HiC_scaffold_14.0G54.2
0_12894: mikado.HiC_scaffold_14.0G55.1
0_12895: mikado.HiC_scaffold_14.0G56.1
0_12896: mikado.HiC_scaffold_14.0G57.1
0_12897: mikado.HiC_scaffold_14.0G58.1
0_12898: mikado.HiC_scaffold_14.0G59.1
0_12899: mikado.HiC_scaffold_14.0G60.1
0_12900: mikado.HiC_scaffold_14.0G61.1
0_12901: mikado.HiC_scaffold_14.0G62.1
0_12902: mikado.HiC_scaffold_14.0G63.1
0_12903: mikado.HiC_scaffold_14.0G64.1
0_12904: mikado.HiC_scaffold_14.0G65.1
0_12905: mikado.HiC_scaffold_14.0G66.1
0_12906: mikado.HiC_scaffold_14.0G67.1
0_12907: mikado.HiC_scaffold_14.0G68.1
0_12908: mikado.HiC_scaffold_14.0G69.1
0_12909: mikado.HiC_scaffold_14.0G70.1
0_12910: mikado.HiC_scaffold_14.0G71.1
0_12911: mikado.HiC_scaffold_14.0G72.1
0_12912: mikado.HiC_scaffold_14.0G73.1
0_12913: mikado.HiC_scaffold_14.0G74.1
0_12914: mikado.HiC_scaffold_14.0G75.1
0_12915: mikado.HiC_scaffold_14.0G76.1
0_12916: mikado.HiC_scaffold_14.0G77.1
0_12917: mikado.HiC_scaffold_14.0G78.1
0_12918: mikado.HiC_scaffold_14.0G79.1
0_12919: mikado.HiC_scaffold_14.0G80.1
0_12920: mikado.HiC_scaffold_14.0G81.1
0_12921: mikado.HiC_scaffold_14.0G82.1
0_12922: mikado.HiC_scaffold_14.0G83.1
0_12923: mikado.HiC_scaffold_14.0G84.1
0_12924: mikado.HiC_scaffold_14.0G85.1
0_12925: mikado.HiC_scaffold_14.0G87.1
0_12926: mikado.HiC_scaffold_14.0G88.1
0_12927: mikado.HiC_scaffold_14.0G89.1
0_12928: mikado.HiC_scaffold_14.0G90.1
0_12929: mikado.HiC_scaffold_14.0G91.1
0_12930: mikado.HiC_scaffold_14.0G92.1
0_12931: mikado.HiC_scaffold_14.0G93.1
0_12932: mikado.HiC_scaffold_14.0G94.1
0_12933: mikado.HiC_scaffold_14.0G94.2
0_12934: mikado.HiC_scaffold_14.0G95.1
0_12935: mikado.HiC_scaffold_14.0G96.1
0_12936: mikado.HiC_scaffold_14.0G97.1
0_12937: mikado.HiC_scaffold_14.0G98.1
